step_idx,forward_wall_ms
0,9.5842
1,8.6169
2,10.8369
3,7.9562
4,8.6870
5,8.6959
6,10.0968
7,9.5408
8,8.3989
9,8.6485
10,8.4585
11,9.4998
12,8.4934
13,9.0185
14,8.5688
15,8.8671
16,10.8805
17,8.9379
18,9.6935
19,10.3638
20,8.6331
21,8.8439
22,9.8233
23,9.0761
24,8.5435
25,8.5969
26,8.9956
27,8.7602
28,8.4210
29,8.6785
30,9.8394
31,8.9283
32,9.3541
33,8.7064
34,8.4888
35,8.8077
36,9.1860
37,10.2095
38,8.7074
39,8.9481
40,8.4728
41,10.0065
42,8.4434
43,8.7999
44,8.5557
45,9.9890
46,9.7332
47,8.4663
48,8.3101
49,8.6449
50,8.8321
51,8.5235
52,8.4176
53,8.4255
54,8.5866
55,8.7976
56,8.0283
57,8.6343
58,8.2855
59,8.7579
60,8.6935
61,10.3187
62,8.7496
63,8.8136
64,8.8446
65,8.6139
66,9.2072
67,8.4568
68,8.8942
69,8.5399
70,10.5369
71,9.5903
72,10.2578
73,8.4245
74,8.9073
75,8.7933
76,10.0718
77,8.4615
78,10.3917
79,8.5656
80,9.9226
81,10.1737
82,9.7942
83,10.7026
84,8.6713
85,8.6266
86,9.6029
87,8.7325
88,10.1474
89,9.1078
90,9.5524
91,8.7663
92,8.6496
93,8.0627
94,9.1374
95,8.6615
96,8.6567
97,8.6894
98,10.1259
99,8.5746
100,8.9080
101,8.8868
102,8.9594
103,8.4868
104,11.6341
105,8.5363
106,8.9103
107,8.6263
108,10.6007
109,8.1262
110,8.7765
111,8.4125
112,8.4879
113,8.5459
114,8.9344
115,8.3978
116,8.6817
117,11.3173
118,8.5106
119,8.6079
120,9.0274
121,8.7971
122,8.6285
123,10.0160
124,8.6412
125,10.0519
126,8.7829
127,8.6222
128,8.7491
129,8.4202
130,8.9551
131,8.6522
132,8.9814
133,8.7117
134,8.7170
135,8.4961
136,8.6098
137,8.4326
138,8.7203
139,11.7027
140,8.3383
141,8.3959
142,10.1558
143,9.2954
144,9.5188
145,9.6839
146,10.2178
147,8.9325
148,9.8209
149,8.6881
150,8.5730
151,8.9418
152,9.2550
153,11.0689
154,8.4280
155,10.9275
156,8.6826
157,9.7216
158,8.6039
159,11.1142
160,8.6679
161,10.2942
162,10.3411
163,8.2459
164,8.6947
165,8.7309
166,9.6333
167,8.6954
168,10.8286
169,8.5552
170,10.5569
171,8.6976
172,8.4820
173,8.8975
174,11.0170
175,8.5959
176,8.9125
177,8.5579
178,8.2746
179,8.5949
180,8.6249
181,8.9700
182,9.5190
183,8.5199
184,10.8062
185,8.6103
186,8.4388
187,8.4928
188,8.2515
189,8.8047
190,9.5207
191,9.4557
192,8.3513
193,8.5516
194,8.5201
195,9.0076
196,8.5982
197,8.7270
198,10.7231
199,8.5592
