step_idx,forward_wall_ms
0,12.5516
1,11.7447
2,12.7109
3,10.8359
4,14.0180
5,11.7892
6,12.1963
7,13.3799
8,13.3342
9,13.3934
10,12.2775
11,13.4935
12,11.4995
13,11.6185
14,11.5658
15,12.0927
16,11.5011
17,13.4941
18,11.1065
19,12.2532
20,12.3998
21,11.9172
22,13.0140
23,14.2396
24,11.6774
25,11.7079
26,11.7618
27,12.0143
28,11.6162
29,11.9326
30,11.0532
31,12.1247
32,14.1475
33,13.9316
34,13.1019
35,12.7360
36,12.8735
37,13.8881
38,12.4937
39,11.9951
40,11.8924
41,11.9052
42,11.2909
43,11.8252
44,11.5533
45,11.7652
46,12.0320
47,11.8924
48,12.0965
49,12.3227
50,13.6098
51,13.1356
52,11.1949
53,11.2714
54,11.6426
55,11.9266
56,10.9035
57,11.6293
58,11.7554
59,11.6878
60,12.3581
61,13.5704
62,14.5025
63,13.6585
64,13.5452
65,12.9912
66,13.0200
67,13.0099
68,13.0711
69,13.2528
70,11.8154
71,11.8961
72,13.1697
73,11.8126
74,12.9787
75,11.9694
76,11.4681
77,11.4869
78,12.0266
79,11.6911
80,12.9130
81,11.4115
82,13.0627
83,13.1748
84,11.6452
85,12.0289
86,11.6544
87,12.4578
88,11.7995
89,13.7156
90,11.2158
91,11.6347
92,11.7605
93,12.8816
94,11.6821
95,13.5153
96,11.4040
97,11.5545
98,11.6287
99,10.8836
100,14.6819
101,12.9513
102,13.2708
103,13.6952
104,15.8308
105,11.9475
106,12.2150
107,11.7629
108,11.4971
109,10.9520
110,12.9269
111,11.4101
112,11.5565
113,11.5357
114,13.8787
115,11.3352
116,13.5501
117,11.6579
118,11.4169
119,11.8290
120,13.5473
121,12.4206
122,13.2383
123,11.4412
124,11.6744
125,12.0775
126,11.8905
127,11.8095
128,11.7885
129,13.5232
130,12.0312
131,13.8692
132,11.5904
133,11.8827
134,13.6056
135,11.6186
136,11.5814
137,12.3330
138,11.7905
139,12.2522
140,11.1354
141,11.4521
142,11.4579
143,11.6899
144,11.1977
145,11.5692
146,13.1527
147,11.8341
148,11.5788
149,14.0358
150,11.5255
151,12.3502
152,11.5185
153,11.8735
154,11.4061
155,12.2588
156,11.8745
157,13.8377
158,11.8009
159,11.7942
160,12.5522
161,12.0397
162,11.4382
163,11.3315
164,11.5321
165,15.0156
166,13.0023
167,11.6751
168,13.4630
169,11.5075
170,11.6920
171,13.5656
172,11.4411
173,12.0676
174,11.5182
175,11.4783
176,12.2276
177,11.5703
178,11.6423
179,13.3352
180,11.8146
181,11.9348
182,11.2320
183,11.6087
184,12.7395
185,11.5662
186,11.4173
187,11.2928
188,10.9417
189,11.7174
190,11.1813
191,14.6413
192,12.4749
193,12.3666
194,11.3122
195,12.7980
196,11.5918
197,11.6626
198,11.2512
199,11.3657
