step_idx,forward_wall_ms
0,4.7970
1,5.2228
2,5.0827
3,4.5690
4,5.0506
5,5.1717
6,4.8570
7,4.8942
8,4.7867
9,6.6546
10,4.9154
11,5.3201
12,5.0759
13,5.1894
14,4.9398
15,5.0795
16,6.4095
17,5.1033
18,4.8236
19,5.0645
20,7.5097
21,5.0567
22,7.1206
23,7.5529
24,4.7709
25,4.9910
26,6.8672
27,6.8905
28,4.8090
29,5.1066
30,7.1125
31,5.1024
32,7.5101
33,7.6117
34,4.8098
35,5.1112
36,7.6972
37,5.0282
38,7.0528
39,5.1051
40,4.9795
41,6.4610
42,4.8429
43,6.2261
44,4.8371
45,5.0179
46,8.0540
47,4.9827
48,4.5275
49,5.0133
50,5.9949
51,4.8244
52,7.5533
53,4.7532
54,6.1591
55,6.7033
56,6.1094
57,5.0410
58,4.6426
59,5.1068
60,4.8338
61,5.0679
62,4.8903
63,5.2551
64,4.9608
65,6.6087
66,5.0613
67,4.8889
68,5.0385
69,4.9457
70,4.9809
71,5.3607
72,4.8547
73,4.8866
74,5.0187
75,4.9998
76,4.9735
77,5.3917
78,4.9688
79,7.3464
80,5.0676
81,5.9713
82,4.9977
83,4.9502
84,4.9257
85,5.0226
86,5.0041
87,7.1087
88,5.0088
89,6.4900
90,4.8258
91,5.0437
92,4.9668
93,6.4512
94,4.8250
95,6.6233
96,4.7489
97,4.9980
98,4.8308
99,4.4771
100,4.7863
101,4.8969
102,6.8468
103,4.7556
104,5.0099
105,4.9328
106,6.7606
107,4.8585
108,5.0029
109,4.6060
110,5.3341
111,4.8838
112,5.1693
113,4.9663
114,5.0380
115,7.3774
116,5.0703
117,5.2772
118,5.0211
119,4.8048
120,5.3282
121,6.7209
122,5.1120
123,4.8326
124,5.3260
125,5.0156
126,5.3833
127,4.9966
128,5.1051
129,4.7016
130,5.2177
131,5.0198
132,4.9818
133,4.8268
134,5.0866
135,4.8697
136,5.2074
137,4.8780
138,5.1275
139,4.9807
140,4.8748
141,4.7339
142,7.3315
143,4.8547
144,6.7138
145,4.9326
146,4.9986
147,5.0093
148,5.0646
149,4.9177
150,5.0038
151,4.8985
152,4.8873
153,4.9160
154,4.8572
155,5.1396
156,5.0156
157,7.0898
158,4.9859
159,7.7585
160,4.8958
161,5.2034
162,4.9355
163,4.7905
164,4.8379
165,5.1989
166,4.8357
167,5.1745
168,4.8528
169,5.1625
170,4.9083
171,5.1536
172,7.5978
173,5.3635
174,7.5712
175,5.1852
176,5.0639
177,5.1255
178,4.8558
179,7.8749
180,4.8510
181,5.2804
182,4.7888
183,5.1928
184,4.9312
185,5.1522
186,6.3819
187,4.8420
188,6.1634
189,5.0968
190,8.2851
191,7.1302
192,4.5775
193,4.8863
194,6.9603
195,6.8384
196,4.8824
197,5.1080
198,7.3107
199,5.1350
