timestamp_s,power_W
1.3207,146.54
1.3708,146.93
1.4211,146.93
1.4713,146.75
1.5215,146.75
1.5718,147.19
1.6218,147.19
1.6720,147.34
1.7224,147.34
1.7732,147.43
1.8234,147.43
1.8738,147.32
1.9242,147.32
1.9753,146.92
2.0265,146.92
2.0767,147.83
2.1270,147.83
2.1781,148.13
2.2285,148.13
2.2796,147.99
2.3297,147.99
2.3800,147.09
2.4308,147.09
2.4808,146.62
2.5318,146.62
2.5819,146.72
2.6320,146.72
2.6821,146.66
2.7322,146.66
2.7824,146.33
2.8326,146.33
2.8827,146.50
2.9328,146.50
2.9829,146.55
3.0339,146.55
3.0849,146.79
3.1352,146.79
3.1855,146.47
3.2356,146.47
3.2859,145.69
3.3364,145.69
3.3873,146.87
3.4374,146.87
3.4879,147.93
3.5380,147.93
3.5881,147.49
3.6384,147.49
3.6886,147.17
