timestamp_s,power_W
1.3566,143.55
1.4067,144.24
1.4570,144.24
1.5071,143.68
1.5583,143.68
1.6084,144.26
1.6587,144.26
1.7089,144.01
1.7592,144.01
1.8095,143.64
1.8598,143.64
1.9103,143.67
1.9605,143.67
2.0118,144.07
2.0621,144.07
2.1123,144.25
2.1627,144.25
2.2137,143.84
2.2640,143.84
2.3142,144.41
2.3644,144.41
2.4148,144.85
2.4651,144.85
2.5160,145.09
2.5662,145.09
2.6172,145.48
2.6677,145.48
2.7180,146.56
2.7686,146.56
2.8189,147.12
2.8701,147.12
2.9203,147.30
2.9706,147.30
3.0208,146.76
3.0718,146.76
3.1220,147.38
3.1723,147.38
3.2232,146.80
3.2743,146.80
3.3247,146.55
3.3753,146.55
3.4261,146.02
3.4763,146.02
3.5266,146.26
3.5768,146.26
3.6270,146.57
3.6773,146.57
3.7274,145.57
