step_idx,forward_wall_ms
0,4.8784
1,4.7059
2,4.9040
3,5.0004
4,5.0206
5,4.7062
6,4.8449
7,4.9220
8,4.6426
9,4.5964
10,5.2692
11,4.9428
12,4.8068
13,5.3658
14,4.6644
15,4.5847
16,4.8010
17,4.9167
18,4.6848
19,4.6070
20,4.8245
21,4.7357
22,4.6881
23,4.6909
24,4.6786
25,4.5346
26,4.8079
27,4.6950
28,4.5398
29,10.8046
30,4.5880
31,4.7251
32,4.7641
33,4.9428
34,4.7525
35,4.6146
36,4.6554
37,4.5300
38,4.5849
39,4.8300
40,4.7915
41,4.7409
42,4.8088
43,4.7286
44,4.5998
45,4.8210
46,24.0642
47,4.8591
48,4.4154
49,4.8294
50,5.2460
51,4.8093
52,4.7869
53,4.6895
54,4.7115
55,4.6701
56,4.4056
57,4.6690
58,4.4273
59,4.7167
60,4.8039
61,4.4760
62,4.5377
63,8.2589
64,4.7922
65,4.8991
66,5.0159
67,4.8649
68,4.7550
69,4.6430
70,4.7170
71,4.8009
72,4.6873
73,4.6049
74,5.0436
75,4.6034
76,4.7379
77,4.5154
78,4.5216
79,6.4197
80,4.9217
81,4.7971
82,4.8307
83,4.6755
84,4.8753
85,4.7931
86,4.6250
87,4.3739
88,4.7459
89,4.5988
90,4.6061
91,5.1290
92,4.5820
93,4.1815
94,4.6966
95,4.6507
96,4.8499
97,4.8406
98,4.8473
99,4.2800
100,4.6907
101,4.7474
102,5.5953
103,4.6438
104,4.4047
105,4.9341
106,4.7724
107,4.4735
108,4.7750
109,4.6856
110,4.8108
111,4.6486
112,4.7116
113,4.9717
114,4.5315
115,4.6938
116,4.7625
117,4.7219
118,4.5672
119,4.5836
120,5.4012
121,4.5328
122,4.6767
123,4.5922
124,4.7317
125,4.7569
126,4.8057
127,4.8832
128,4.7704
129,4.6816
130,4.7551
131,4.6726
132,4.2382
133,4.5284
134,4.7193
135,8.1354
136,5.2034
137,4.5702
138,4.4190
139,4.6816
140,4.6851
141,4.8150
142,4.7571
143,4.9741
144,4.5853
145,4.7142
146,4.6492
147,4.7744
148,4.7016
149,4.5362
150,5.0286
151,4.6358
152,4.8426
153,4.5873
154,4.5786
155,5.3715
156,4.5034
157,4.4835
158,4.7013
159,4.6239
160,4.5234
161,4.6603
162,4.4905
163,4.3908
164,5.0479
165,4.6372
166,5.9252
167,4.5228
168,4.5259
169,4.6309
170,4.4986
171,5.2679
172,4.6862
173,4.9518
174,4.9096
175,4.7978
176,4.8252
177,4.5909
178,4.6505
179,4.8132
180,4.5904
181,4.5758
182,4.5002
183,4.4866
184,4.6079
185,4.5224
186,4.6071
187,4.4631
188,4.4226
189,4.5590
190,23.8122
191,4.8245
192,4.3766
193,4.8248
194,5.1763
195,4.8893
196,4.8894
197,5.0454
198,4.7241
199,4.9482
