timestamp_s,power_W
2.3274,76.12
2.3806,76.12
2.4338,62.16
2.4889,62.16
2.5417,55.70
2.5948,55.70
2.6490,64.08
2.7044,68.93
2.7636,68.93
2.8170,70.31
2.8708,70.31
2.9305,62.85
2.9901,62.85
3.0530,70.26
3.1088,59.16
3.1631,59.16
3.2173,71.08
3.2709,71.08
3.3243,59.14
3.3790,59.14
3.4353,60.01
3.4959,60.01
3.5547,72.19
3.6084,65.26
3.6615,65.26
3.7160,58.61
3.7792,58.61
3.8359,64.91
3.8899,64.91
3.9450,61.65
4.0038,61.65
4.0592,47.65
4.1128,47.65
4.1732,69.53
4.2423,62.07
4.2966,62.07
4.3497,70.39
4.4050,70.39
4.4606,77.25
4.5144,77.25
4.5677,73.09
4.6221,68.95
4.6758,68.95
4.7348,52.63
4.7941,52.63
4.8551,70.75
4.9082,70.75
4.9620,64.77
5.0172,64.77
5.0772,66.77
5.1357,66.67
5.1896,66.67
5.2432,64.32
5.2972,64.32
5.3510,61.52
5.4061,61.52
5.4602,54.17
5.5149,54.17
5.5687,76.71
5.6229,76.71
5.6766,51.58
5.7300,60.15
5.7932,60.15
5.8657,63.69
5.9187,63.69
5.9744,68.86
6.0277,68.86
6.0892,67.22
6.1456,64.75
6.1999,64.75
6.2541,72.50
6.3118,72.50
6.3666,68.86
6.4193,68.86
6.4732,75.83
6.5286,75.83
6.5841,64.08
