timestamp_s,power_W
1.9813,69.91
2.0351,69.91
2.0887,61.91
2.1421,61.91
2.1952,72.11
2.2482,69.03
2.3116,69.03
2.3656,65.34
2.4196,65.34
2.4731,74.66
2.5283,74.66
2.5814,69.81
2.6347,69.81
2.6895,62.34
2.7427,62.34
2.7978,69.56
2.8542,69.56
2.9084,64.38
2.9625,56.26
3.0187,56.26
3.0724,71.91
3.1258,71.91
3.1792,60.32
3.2341,60.32
3.2881,69.80
3.3413,69.80
3.3987,69.41
3.4594,69.41
3.5126,64.50
3.5662,61.89
3.6260,61.89
3.6842,63.08
3.7443,63.08
3.7985,61.20
3.8529,61.20
3.9069,73.48
3.9663,73.48
4.0195,59.40
4.0733,60.97
4.1319,60.97
4.1891,57.90
4.2438,57.90
4.2968,52.00
4.3497,52.00
4.4033,69.61
4.4713,69.61
4.5254,64.08
4.5790,67.02
4.6342,67.02
4.6891,60.57
4.7434,60.57
4.8037,63.87
4.8592,63.87
4.9164,58.65
4.9718,58.65
5.0263,60.57
5.0810,62.69
5.1443,62.69
5.1987,73.68
5.2624,73.68
5.3277,75.24
5.3860,75.24
5.4445,62.04
5.5285,61.85
5.5891,61.85
5.6428,66.18
