step_idx,forward_wall_ms
0,11.4193
1,14.0436
2,11.8420
3,10.5857
4,12.0675
5,11.4921
6,11.5706
7,11.3785
8,12.3300
9,11.4074
10,12.1317
11,11.7519
12,11.2791
13,11.4376
14,11.2587
15,11.4296
16,11.9437
17,11.3593
18,12.0231
19,11.2165
20,11.2656
21,11.3049
22,11.0714
23,11.5416
24,11.1538
25,11.3597
26,11.0657
27,11.2608
28,11.1882
29,11.2761
30,10.9200
31,11.5852
32,11.7021
33,11.4029
34,11.1421
35,11.3583
36,11.0294
37,11.3492
38,11.2721
39,11.8292
40,11.1439
41,11.5948
42,11.2006
43,11.3279
44,12.0332
45,11.3717
46,11.7227
47,11.8236
48,11.7808
49,11.4616
50,11.6105
51,11.3153
52,11.3686
53,11.1079
54,11.4172
55,11.6929
56,11.2285
57,11.5211
58,11.2477
59,11.5966
60,12.0540
61,11.3909
62,11.7088
63,11.9437
64,11.5730
65,11.4711
66,11.7703
67,11.4289
68,11.6418
69,11.3047
70,11.3818
71,11.3293
72,11.4327
73,11.4042
74,11.6773
75,14.0578
76,11.4525
77,11.2139
78,11.5858
79,13.5834
80,18.7107
81,12.1023
82,11.3275
83,11.3712
84,11.1513
85,11.6942
86,12.2796
87,11.4607
88,11.8084
89,11.9976
90,11.2237
91,11.4044
92,11.8989
93,10.4668
94,11.2663
95,11.2253
96,11.0127
97,11.4700
98,11.0787
99,10.5449
100,11.2211
101,11.2769
102,11.4858
103,11.2532
104,11.3876
105,11.1486
106,11.9256
107,11.6059
108,13.2253
109,12.2379
110,11.5308
111,11.2783
112,11.6560
113,11.9380
114,11.2229
115,11.1259
116,11.6540
117,11.6138
118,11.1970
119,12.9299
120,12.1410
121,11.9777
122,21.4747
123,12.5434
124,13.3476
125,11.6815
126,12.0074
127,11.5719
128,11.4188
129,11.4184
130,11.7030
131,11.3516
132,10.8869
133,11.6644
134,11.1450
135,11.3742
136,11.1192
137,11.1950
138,11.5761
139,11.5535
140,11.1849
141,11.2431
142,11.3546
143,11.2449
144,11.8138
145,25.0829
146,11.4193
147,11.5364
148,11.2921
149,11.1281
150,11.0958
151,11.1211
152,11.4709
153,11.3351
154,11.2286
155,11.3614
156,11.5789
157,11.0729
158,11.7530
159,11.4863
160,11.7741
161,12.4251
162,11.4368
163,11.0774
164,11.1118
165,11.7297
166,12.0275
167,11.2609
168,43.5446
169,11.9249
170,11.5475
171,11.4704
172,12.0075
173,11.8971
174,11.6800
175,11.3982
176,12.0739
177,36.0235
178,11.0740
179,11.5598
180,11.6760
181,11.4855
182,11.3356
183,25.3375
184,11.3321
185,11.2614
186,11.3605
187,11.5786
188,10.8290
189,11.4667
190,11.0728
191,11.0907
192,11.0915
193,11.7453
194,11.7348
195,11.4038
196,11.1663
197,11.5137
198,11.4007
199,11.2474
