timestamp_s,power_W
29.6351,40.57
29.6884,41.38
29.7420,41.08
29.7983,41.08
29.8535,53.94
29.9071,53.94
29.9614,48.98
30.0143,48.98
30.0675,52.00
30.1219,52.00
30.1779,53.55
30.2318,53.55
30.2851,45.69
30.3399,45.69
30.3936,55.05
30.4473,49.48
30.5015,49.48
30.5550,61.59
30.6081,61.59
30.6611,56.20
30.7169,56.20
30.7722,54.49
30.8254,54.49
30.8783,57.48
30.9314,57.48
30.9856,47.87
31.0420,47.87
31.0951,45.07
31.1484,51.71
31.2046,51.71
31.2576,62.26
31.3121,62.26
31.3661,56.20
31.4202,56.20
31.4744,59.89
31.5285,59.89
31.5838,62.20
31.6383,62.20
31.6914,45.27
31.7451,45.27
31.7986,42.91
31.8518,43.87
31.9066,43.87
31.9603,60.75
32.0134,60.75
32.0669,49.84
32.1201,49.84
32.1732,52.27
32.2275,52.27
32.2812,41.62
32.3368,41.62
32.3899,54.20
32.4429,54.20
32.4972,63.12
32.5505,63.12
32.6053,61.46
32.6604,35.01
32.7138,35.01
32.7690,45.27
32.8221,45.27
32.8752,56.95
32.9294,56.95
32.9856,58.13
33.0389,58.13
33.0921,48.29
33.1459,48.29
33.2006,45.07
33.2570,53.71
33.3109,53.71
33.3642,53.02
33.4194,53.02
33.4754,42.91
33.5410,42.91
33.5945,60.97
33.6473,60.97
33.7008,60.83
33.7549,52.00
33.8314,52.00
33.8850,62.89
33.9382,62.89
33.9925,62.14
34.0460,62.14
34.0995,57.89
34.1528,57.89
34.2063,60.15
34.2593,44.36
34.3188,44.36
34.3742,58.92
34.4283,58.92
34.4819,58.68
34.5363,58.68
34.5902,52.46
