step_idx,forward_wall_ms
0,100.2420
1,8.7621
2,8.1668
3,7.6738
4,9.6193
5,7.9837
6,8.1262
7,8.0017
8,7.9170
9,7.9859
10,9.4707
11,7.7527
12,7.8871
13,8.6588
14,10.9073
15,7.5703
16,8.1685
17,9.8121
18,9.3531
19,9.1806
20,7.6597
21,8.7095
22,7.8996
23,8.0374
24,10.1371
25,7.6499
26,7.6292
27,8.6207
28,8.6231
29,9.7113
30,7.3364
31,9.2241
32,7.8625
33,9.7618
34,7.9115
35,10.1733
36,8.8333
37,8.5631
38,8.0499
39,7.5741
40,7.9450
41,8.0191
42,7.8342
43,7.6483
44,8.7422
45,7.8765
46,9.5179
47,8.0530
48,7.9664
49,7.6732
