timestamp_s,power_W
0.0580,65.37
0.1085,65.46
0.1608,65.46
0.2139,65.46
0.2725,65.45
0.3276,65.45
0.3934,65.45
0.4500,65.45
0.5079,65.52
0.5679,65.52
0.6241,65.55
0.6749,65.53
0.7279,65.53
0.7858,62.83
0.8395,62.83
0.8928,58.45
0.9551,58.45
1.0071,58.39
1.0621,58.39
1.1140,58.37
1.1662,58.37
1.2176,58.30
1.2694,58.30
1.3211,58.32
1.3719,58.31
1.4236,58.31
1.4759,58.31
1.5274,58.31
1.5792,58.23
1.6333,58.23
1.6852,58.21
1.7364,58.21
1.7875,58.23
1.8438,58.23
1.8977,58.23
1.9503,58.23
2.0038,58.23
2.0557,58.23
2.1076,58.23
2.1584,58.23
2.2131,58.23
2.2660,58.23
2.3171,58.23
2.3738,58.23
2.4351,58.23
2.4881,58.23
2.5390,58.23
2.5896,58.23
2.6409,58.23
2.6945,58.23
2.7463,58.23
2.8352,57.91
2.9082,57.91
2.9671,57.91
3.0457,57.91
3.1134,57.91
3.1673,57.91
3.2438,57.91
3.3181,57.91
3.3912,57.91
3.4466,57.91
3.5078,57.91
3.5682,57.91
3.6299,57.91
3.6903,57.91
3.7506,57.91
3.8132,57.91
3.8734,57.91
3.9341,57.91
3.9943,57.91
4.0546,57.91
4.1149,57.91
4.1751,57.91
4.2353,57.91
4.2956,57.91
4.3564,57.91
4.4167,57.91
4.4770,57.91
4.5372,57.91
4.5974,57.91
4.6577,57.91
4.7179,57.91
4.7781,58.31
4.8389,58.31
4.8991,58.31
4.9600,58.31
5.0201,58.31
5.0803,58.31
5.1412,58.31
5.2014,58.31
5.2624,58.31
5.3225,58.31
5.3826,58.31
5.4428,58.31
5.5035,58.31
5.5637,58.31
5.6239,58.31
5.6841,58.31
5.7394,58.31
5.7933,58.32
5.8443,58.32
5.9068,58.00
5.9609,58.00
6.0117,58.02
6.0648,58.02
6.1335,58.02
6.1840,58.05
6.2347,58.05
6.2869,58.05
6.3428,58.05
6.3935,58.05
6.4490,58.05
6.5238,58.06
6.5891,58.06
6.6494,58.06
6.7101,58.08
6.7705,58.08
6.8313,58.12
6.8916,58.12
6.9518,58.12
7.0120,58.12
7.0722,58.12
7.1328,58.12
7.1930,58.12
7.2481,58.12
7.3051,61.84
7.3613,61.84
7.4127,61.66
7.4640,61.66
7.5166,62.08
7.5701,62.08
7.6252,62.09
7.6780,62.12
7.7383,62.12
7.7959,62.09
7.8479,62.09
7.8994,62.03
7.9556,62.03
8.0071,61.69
8.0607,61.69
8.1169,61.44
8.1751,61.21
8.2252,61.21
8.2809,61.01
8.3355,61.01
8.3875,58.65
8.4398,58.65
8.4913,58.62
8.5428,58.62
8.6028,58.22
8.6575,58.22
8.7084,58.20
8.7642,58.20
8.8150,58.19
8.8660,58.19
8.9184,58.19
8.9704,58.19
9.0237,58.19
9.0764,58.19
9.1284,58.19
9.1811,58.19
9.2328,58.19
9.2896,58.19
9.3467,58.19
9.3986,58.19
9.4495,58.19
9.4999,58.19
9.5517,58.19
9.6083,58.19
9.6901,58.19
9.7480,58.19
9.8160,58.35
9.8734,58.35
9.9248,58.35
10.2231,58.35
10.3005,58.35
10.3755,58.35
10.4369,58.35
10.5032,58.35
10.5538,58.35
10.6211,58.35
10.6875,58.35
10.7484,58.35
10.8081,58.08
10.8744,58.08
10.9295,58.08
10.9896,58.08
11.0498,58.08
11.1084,58.08
11.1736,58.08
11.2343,58.08
11.2945,58.08
11.3546,58.08
11.4149,58.08
11.4751,58.08
11.5357,58.08
11.5959,58.08
11.6561,58.08
11.7168,58.08
11.7772,57.85
11.8373,57.85
11.8982,57.85
11.9594,57.85
12.0196,57.85
12.0798,57.85
12.1410,57.85
12.2011,57.85
12.2614,57.85
12.3219,57.85
12.3826,57.85
12.4428,57.85
12.5029,57.85
12.5633,57.85
12.6235,57.85
12.6838,57.85
12.7442,57.85
12.8047,57.95
12.8616,57.95
12.9248,57.95
12.9792,60.04
13.0469,60.04
13.0990,59.90
13.1551,59.90
13.2106,59.77
13.2719,59.77
13.3251,59.68
13.3831,59.58
13.4363,59.58
13.4919,59.50
13.5430,59.50
13.5982,59.42
13.6551,59.42
13.7189,59.35
13.7846,59.30
13.8448,59.30
13.9057,60.38
13.9659,60.38
14.0260,60.38
14.0866,60.38
14.1468,60.38
14.2070,60.38
14.2713,60.38
14.3316,60.38
14.3886,60.38
14.4427,60.38
14.4958,61.88
14.5529,61.88
14.6109,61.86
14.6615,61.86
14.7118,65.90
14.7627,65.90
14.8139,67.66
14.8649,67.66
14.9158,70.83
14.9672,70.83
15.0183,75.29
15.0692,75.29
15.1203,77.97
15.1713,77.97
