step_idx,forward_wall_ms
0,6131.5494
1,5724.5201
2,9.5818
3,9.4865
4,12.1069
5,11.8052
6,12.3847
7,9.7825
8,17.2660
9,11.4321
10,10.3663
11,11.0190
12,9.8684
13,10.4666
14,11.8306
15,9.4981
16,9.7900
17,10.5340
18,9.9799
19,11.0847
20,9.7114
21,9.5935
22,11.9652
23,9.6732
24,11.0791
25,11.5522
26,9.7464
27,9.8343
28,9.0807
29,12.8143
30,9.1195
31,10.7060
32,9.5750
33,11.4213
34,9.7075
35,11.2870
36,10.1497
37,9.3920
38,9.7083
39,9.5676
40,12.0162
41,9.7905
42,9.7771
43,9.5880
44,10.0664
45,11.6729
46,11.4169
47,9.9831
48,10.8500
49,9.7179
50,9.7341
51,12.1246
52,11.1934
53,9.7424
54,9.5057
55,10.7572
56,12.4331
57,9.4823
58,9.3215
59,10.0100
60,13.1101
61,9.6195
62,12.2951
63,9.9178
64,11.6264
65,9.5048
66,11.4224
67,9.5785
68,9.5425
69,9.8749
70,12.5261
71,12.2460
72,10.5095
73,11.3662
74,11.8510
75,12.6748
76,9.3942
77,9.2607
78,9.5580
79,12.3814
80,12.3738
81,12.5507
82,12.7134
83,9.8269
84,9.5361
85,9.5002
86,9.4045
87,10.0974
88,11.5073
89,9.5170
90,12.6718
91,10.5459
92,14.3479
93,9.6838
94,9.3344
95,9.6925
96,10.7908
97,11.4165
98,9.7757
99,9.4596
100,11.8844
101,9.7967
102,14.1853
103,9.8133
104,10.3450
105,10.3691
106,12.4332
107,10.9974
108,11.7482
109,9.9933
110,14.0919
111,9.8644
112,13.8860
113,10.2356
114,14.1530
115,10.1614
116,12.6952
117,12.0663
118,12.2564
119,11.6743
120,13.5919
121,10.1109
122,10.9682
123,13.5712
124,12.8098
125,9.8042
126,11.7037
127,12.0211
128,9.5197
129,10.4159
130,9.6748
131,10.0192
132,9.8555
133,10.2020
134,12.8284
135,10.2400
136,14.0379
137,10.6778
138,11.5942
139,10.8986
140,10.1587
141,14.3451
142,12.9895
143,10.2367
144,10.2231
145,10.4199
146,12.8066
147,9.9878
148,13.8328
149,12.7728
150,10.7379
151,9.8313
152,9.7362
153,9.3642
154,13.1626
155,10.2518
156,13.1809
157,10.4494
158,10.1473
159,10.2343
160,9.8792
161,9.7008
162,12.1676
163,9.7059
164,10.5407
165,9.5605
166,10.1541
167,9.5243
168,9.8422
169,9.5974
170,10.1643
171,12.2809
172,9.4911
173,13.0024
174,9.7175
175,11.8319
176,9.6404
177,12.9033
178,9.6626
179,9.4758
180,11.5667
181,10.2384
182,9.4590
183,9.6500
184,9.6383
185,12.0290
186,9.7359
187,9.7131
188,9.6311
189,9.2346
190,9.3582
191,10.1758
192,10.4758
193,8.8925
194,11.5564
195,12.5306
196,10.0721
197,12.5637
198,9.4902
199,8.9965
200,12.5784
201,9.5396
202,9.8145
203,10.1942
204,14.2091
205,13.5682
206,10.0550
207,9.9525
208,9.8245
209,10.7205
210,10.6167
211,13.5582
212,10.8745
213,10.1291
214,12.5794
215,11.4798
216,9.5703
217,13.8277
218,9.6534
219,10.0099
220,10.1959
221,13.6361
222,10.0173
223,13.6386
224,10.3742
225,11.3761
226,12.2309
227,13.0200
228,11.1369
229,9.5454
230,11.8768
231,9.8744
232,11.9210
233,11.9670
234,11.8724
235,12.5469
236,9.8108
237,9.6039
238,11.8494
239,11.5127
240,9.3837
241,9.5828
242,12.4606
243,12.5300
244,9.4231
245,11.0514
246,9.7479
247,9.7113
248,9.5651
249,9.5642
250,9.6620
251,9.4887
252,9.6526
253,12.4943
254,9.4600
255,9.7291
256,9.7050
257,11.4207
258,9.7438
259,9.9263
260,9.9158
261,10.1771
262,9.7121
263,10.2162
264,12.3799
265,9.8160
266,11.7280
267,9.8570
268,13.3856
269,9.6604
270,10.1432
271,9.6969
272,10.4954
273,9.9818
274,11.9687
275,12.3552
276,12.7289
277,10.7868
278,9.4132
279,11.9495
280,12.8810
281,10.8734
282,12.0328
283,9.4928
284,9.6208
285,10.1488
286,10.6984
287,10.1270
288,9.1220
289,10.3065
290,11.9915
291,12.0571
292,10.4303
293,10.0245
294,11.8618
295,9.8986
296,12.4189
297,9.9294
298,14.4757
299,9.8589
300,13.0228
301,12.5504
302,10.1027
303,10.1453
304,10.5234
305,13.1913
306,10.1002
307,12.2181
308,11.0418
309,11.9363
310,11.1926
311,9.4011
312,12.4179
313,9.5677
314,9.7178
315,9.5450
316,12.4072
317,9.7221
318,9.7275
319,9.9430
320,12.5194
321,11.9813
322,9.7916
323,9.4318
324,9.0891
325,10.1349
326,9.6941
327,9.0255
328,11.4407
329,9.7063
330,11.7564
331,9.4021
332,9.2142
333,9.7528
334,12.1010
335,9.5644
336,9.4157
337,10.8842
338,9.8327
339,10.2344
340,9.6310
341,9.3370
342,9.4278
343,9.3876
344,10.0651
345,9.9538
346,9.9102
347,9.2344
348,12.0392
349,9.7413
350,10.8310
351,9.7096
352,12.1112
353,9.5505
354,9.4363
355,9.7785
356,9.5134
357,11.4516
358,9.8335
359,10.1855
360,9.7937
361,12.1732
362,12.0577
363,10.4599
364,12.1575
365,9.3764
366,10.8983
367,10.3480
368,9.6143
369,10.2365
370,9.9212
371,10.1195
372,10.9018
373,10.7369
374,9.9137
375,10.2863
376,10.3633
377,10.3028
378,9.9066
379,10.6079
380,9.7604
381,9.0216
382,13.4101
383,12.8074
384,10.0641
385,11.3151
386,11.8959
387,9.7880
388,10.2982
389,10.7363
390,11.6173
391,10.0967
392,10.9606
393,9.6778
394,9.9180
395,9.6595
396,11.5603
397,9.5613
398,13.4284
399,10.1268
400,9.9519
401,12.9227
402,12.3610
403,11.1305
404,10.2163
405,9.8172
406,9.5681
407,10.9821
408,12.0586
409,9.7291
410,12.3215
411,9.8467
412,9.7422
413,12.1516
414,10.5087
415,9.4910
416,12.2802
417,9.8449
418,12.6466
419,10.0107
420,12.0762
421,12.8123
422,9.7858
423,10.0473
424,12.1256
425,9.7754
426,11.5696
427,12.5913
428,9.4237
429,9.5261
430,9.6855
431,9.5826
432,9.5554
433,11.5324
434,11.6288
435,11.1343
436,9.6470
437,11.1676
438,9.7273
439,11.7100
440,13.1677
441,9.7992
442,9.9219
443,9.8326
444,10.5814
445,11.5605
446,12.8929
447,10.3901
448,10.0852
449,10.8639
450,9.5972
451,11.7630
452,9.5738
453,12.2438
454,13.1677
455,9.7863
456,10.5840
457,10.1291
458,14.3669
459,10.0364
460,10.3440
461,10.2268
462,13.5022
463,10.0914
464,14.3914
465,10.6592
466,13.0179
467,10.6036
468,10.4011
469,14.5988
470,11.9350
471,10.4458
472,9.9693
473,12.0966
474,13.1803
475,12.0132
476,9.8467
477,14.2627
478,9.8611
479,13.1180
480,11.5666
481,13.8358
482,11.1320
483,12.1673
484,9.8919
485,13.0963
486,9.5443
487,12.3280
488,9.8284
489,12.5939
490,9.6392
491,12.1835
492,9.9430
493,12.9380
494,9.6980
495,11.8946
496,9.3417
497,10.0544
498,10.6578
499,9.9217
