step_idx,forward_wall_ms
0,118.9732
1,9.8576
2,9.2262
3,9.2014
4,13.1913
5,9.4965
6,9.2208
7,9.8691
8,9.2847
9,9.5037
10,12.5311
11,9.3167
12,9.3842
13,9.6931
14,10.3790
15,9.0180
16,9.7822
17,11.4666
18,9.9858
19,10.2470
20,10.8243
21,11.8763
22,9.4103
23,9.4095
24,9.3457
25,8.9848
26,9.0129
27,9.1525
28,8.8751
29,12.0199
30,8.6557
31,9.5569
32,9.1361
33,9.3949
34,9.1943
35,9.4775
36,11.2032
37,11.4705
38,9.2572
39,9.2453
40,9.8052
41,9.8801
42,9.1550
43,9.3148
44,9.6358
45,10.4399
46,9.9616
47,10.6498
48,10.6642
49,9.1536
