timestamp_s,power_W
0.0655,110.98
0.1157,110.98
0.1668,107.17
0.2181,107.17
0.2693,102.93
0.3195,102.93
0.3696,101.22
0.4199,101.22
0.4702,100.52
0.5205,100.52
0.5726,100.83
0.6234,100.83
0.6736,102.28
0.7239,102.28
0.7740,105.32
0.8249,105.32
0.8752,105.91
0.9253,105.91
0.9754,108.23
1.0263,108.23
1.0768,107.56
1.1271,107.56
1.1772,113.39
1.2275,113.39
1.2776,119.90
1.3277,119.90
1.3788,124.80
1.4292,124.80
1.4794,126.67
1.5302,126.67
1.5803,125.52
1.6308,125.52
1.6811,127.26
1.7313,127.26
1.7823,126.10
1.8325,126.10
1.8830,123.88
1.9338,123.88
1.9849,122.75
2.0350,122.75
2.0855,120.91
2.1356,120.91
2.1858,118.35
2.2360,118.35
2.2862,115.85
2.3365,115.85
2.3869,115.84
2.4380,115.84
2.4886,113.71
2.5386,113.71
2.5888,113.91
2.6396,113.91
2.6903,115.30
2.7418,115.30
2.7922,115.68
2.8426,115.68
2.8930,117.51
2.9439,117.51
2.9950,115.78
3.0459,115.78
3.0960,115.78
3.1463,115.78
3.1966,117.36
3.2474,119.88
3.2986,119.88
3.3492,122.14
3.4001,122.14
3.4506,123.00
3.5016,123.00
3.5518,125.74
3.6028,125.74
3.6534,125.92
3.7040,125.92
3.7546,124.23
3.8055,124.23
3.8566,123.31
3.9076,123.31
3.9578,124.44
4.0080,124.44
4.0587,127.55
4.1097,127.55
4.1607,127.02
4.2109,127.02
4.2610,126.23
4.3112,126.23
4.3622,127.30
4.4124,127.30
4.4625,128.61
4.5128,128.61
4.5631,129.10
4.6132,129.10
4.6634,129.60
4.7139,129.60
4.7645,130.48
4.8150,130.48
4.8659,133.14
4.9161,133.14
4.9666,133.11
5.0182,133.11
5.0683,129.58
5.1192,129.58
5.1700,130.13
5.2203,130.13
5.2711,130.45
5.3221,130.45
5.3730,128.54
5.4238,128.54
5.4748,125.57
5.5258,125.57
5.5767,124.52
5.6278,124.52
5.6788,124.27
5.7295,124.27
5.7799,124.54
5.8302,124.54
5.8803,124.66
5.9308,124.66
5.9809,122.28
6.0315,122.28
6.0825,121.04
6.1333,121.04
6.1834,121.87
6.2335,121.87
6.2837,120.79
6.3338,120.79
6.3839,120.41
6.4340,120.41
6.4843,120.17
6.5353,120.17
6.5863,121.77
6.6373,121.77
