step_idx,forward_wall_ms
0,108.0020
1,9.3469
2,9.4266
3,8.1777
4,10.1279
5,8.5670
6,8.3741
7,8.7062
8,8.5265
9,8.6977
10,11.1603
11,8.9246
12,8.6059
13,8.5420
14,11.8834
15,8.8198
16,8.4567
17,8.3643
18,9.7704
19,11.3510
20,8.3429
21,8.9092
22,8.5192
23,8.8623
24,8.8277
25,8.5212
26,23.5412
27,14.1215
28,8.5059
29,11.0819
30,8.6415
31,9.4805
32,9.0798
33,8.7907
34,9.2052
35,20.8762
36,10.1205
37,8.4913
38,11.9546
39,8.2908
40,10.7260
41,8.4847
42,8.7313
43,8.4290
44,11.6277
45,8.8305
46,8.3637
47,9.7831
48,9.2265
49,8.5275
50,10.7187
51,8.5161
52,9.1022
53,9.9393
54,8.2187
55,8.7936
56,10.2539
57,8.3089
58,8.7512
59,8.6123
60,9.1425
61,8.3574
62,10.6391
63,8.8752
64,8.3815
65,8.0020
66,8.7318
67,11.1119
68,11.4505
69,8.6270
70,10.1606
71,8.4085
72,8.5371
73,8.1551
74,9.3933
75,10.6585
76,11.4425
77,8.9934
78,8.4192
79,8.3275
80,8.6925
81,8.0240
82,8.4332
83,8.3357
84,8.6029
85,8.3659
86,8.3330
87,8.5537
88,8.5349
89,8.1218
90,10.8947
91,8.4714
92,8.9925
93,10.2331
94,9.3954
95,10.3631
96,8.2208
97,8.6274
98,9.6703
99,9.8113
100,8.3616
101,8.9120
102,9.7396
103,7.7669
104,8.8047
105,8.5764
106,8.7360
107,8.2082
108,9.6858
109,8.0383
110,8.3860
111,8.3966
112,8.3398
113,8.2717
114,10.3666
115,10.7796
116,8.8992
117,8.3655
118,8.0106
119,9.8259
120,8.4269
121,10.2914
122,8.0944
123,8.6030
124,8.2603
125,8.4851
126,8.2058
127,8.5311
128,8.2538
129,8.4955
130,8.6086
131,8.5098
132,8.5017
133,10.5534
134,8.3162
135,8.5166
136,8.3848
137,8.4835
138,10.3994
139,8.6695
140,8.2749
141,10.4343
142,8.1417
143,8.5232
144,8.2696
145,8.4417
146,12.7077
147,8.2063
148,8.4740
149,8.3784
150,8.5289
151,8.3773
152,8.1831
153,8.2091
154,8.3860
155,8.6664
156,9.5001
157,8.4227
158,8.1294
159,8.5166
160,8.5066
161,10.5625
162,8.5101
163,8.9154
164,8.6043
165,8.3133
166,11.0333
167,8.2401
168,9.3623
169,8.1885
170,10.9490
171,9.9297
172,9.5013
173,8.2708
174,8.6501
175,8.3278
176,10.0028
177,8.0890
178,10.2850
179,8.3366
