step_idx,forward_wall_ms
0,81.4946
1,13.1361
2,12.3885
3,16.0565
4,13.1154
5,13.2159
6,12.8042
7,15.9753
8,12.8163
9,13.3779
10,12.8851
11,12.9414
12,13.7509
13,13.2521
14,13.4490
15,12.9341
16,13.7584
17,13.0042
18,13.4822
19,13.0087
20,13.0572
21,13.8144
22,13.9402
23,13.3293
24,13.3147
25,15.5479
26,13.1081
27,13.1931
28,12.6070
29,16.0237
30,13.0945
31,17.9175
32,12.8310
33,14.8489
34,13.0309
35,13.8508
36,13.0465
37,12.9481
38,13.5783
39,12.8159
40,14.0665
41,13.3012
42,17.6729
43,12.9180
44,13.8879
45,13.2833
46,12.8115
47,13.0050
48,12.5900
49,15.3178
