timestamp_s,power_W
0.0556,138.25
0.1064,129.48
0.1595,129.48
0.2108,124.32
0.2623,124.32
0.3125,122.01
0.3634,122.01
0.4136,122.36
0.4646,122.36
0.5154,123.97
0.5664,123.97
0.6165,123.45
0.6669,123.45
0.7170,120.91
0.7673,120.91
0.8183,120.63
0.8692,120.63
0.9201,122.21
0.9716,122.21
1.0217,122.57
1.0726,122.57
1.1227,128.52
1.1729,128.52
1.2239,137.40
1.2747,137.40
1.3257,142.14
1.3759,142.14
1.4264,142.62
1.4765,142.62
1.5266,144.23
1.5773,144.23
1.6303,141.33
1.6809,141.33
1.7317,140.97
1.7824,140.97
1.8326,140.82
1.8875,140.82
1.9377,142.62
1.9885,142.62
2.0397,142.80
2.0905,140.51
2.1406,140.51
2.1907,142.01
2.2411,142.01
2.2922,141.28
2.3426,141.28
2.3968,142.46
2.4479,142.46
2.4984,142.76
2.5486,142.76
2.5995,140.50
2.6498,140.50
2.7007,142.54
2.7508,142.54
2.8012,142.19
2.8523,142.19
2.9029,143.60
2.9533,143.60
3.0035,142.23
3.0537,142.23
3.1045,142.22
3.1555,142.22
3.2065,142.83
3.2570,142.83
3.3081,142.56
3.3582,142.56
3.4085,141.90
3.4587,141.90
3.5109,142.29
3.5610,142.29
3.6117,141.79
3.6626,141.79
3.7135,143.18
3.7645,143.18
3.8148,141.52
3.8653,141.52
3.9160,141.90
3.9671,141.90
4.0175,141.94
4.0680,141.94
4.1186,141.02
4.1691,141.02
4.2193,141.39
4.2703,141.39
4.3207,142.04
4.3718,142.04
4.4221,142.33
4.4734,142.33
4.5236,141.06
4.5746,141.06
4.6249,140.68
4.6751,140.68
4.7252,141.46
4.7754,141.46
4.8256,141.50
4.8759,141.50
4.9261,143.36
4.9768,143.36
5.0343,142.16
5.0851,142.16
5.1357,143.47
5.1863,143.47
5.2366,144.07
5.2868,144.07
5.3374,143.57
5.3877,143.57
5.4380,145.00
5.4937,146.63
5.5440,146.63
5.5951,145.24
5.6469,145.24
5.6974,144.49
5.7474,144.49
5.7976,143.91
5.8478,143.91
5.8989,143.14
5.9490,143.14
5.9994,142.14
6.0502,142.14
6.1009,144.32
6.1515,144.32
6.2019,142.34
6.2520,142.34
6.3024,142.84
6.3525,142.84
6.4029,141.93
6.4532,141.93
6.5059,141.76
6.5563,141.76
6.6075,139.76
6.6583,139.76
6.7089,142.00
6.7592,142.00
6.8101,141.54
6.8603,141.54
6.9112,143.46
6.9616,143.46
7.0117,143.29
7.0622,143.29
7.1123,144.68
7.1624,144.68
7.2129,143.72
7.2631,143.72
7.3136,143.05
7.3642,143.05
7.4144,143.72
7.4645,143.72
7.5151,142.90
7.5661,142.90
7.6169,142.54
7.6670,142.54
7.7172,142.43
7.7683,142.43
7.8184,142.57
7.8687,142.57
