timestamp_s,power_W
0.0628,122.43
0.1131,122.43
0.1638,115.59
0.2143,115.59
0.2655,115.98
0.3157,115.98
0.3659,116.20
0.4169,116.20
0.4674,117.74
0.5176,117.74
0.5687,121.08
0.6188,121.08
0.6694,121.46
0.7196,121.46
0.7701,123.85
0.8205,123.85
0.8711,123.30
0.9216,123.30
0.9727,124.36
1.0239,124.36
1.0747,130.84
1.1248,130.84
1.1755,139.00
1.2256,139.00
1.2759,147.40
1.3260,147.40
1.3767,147.63
1.4273,147.63
1.4783,147.58
1.5293,147.58
1.5794,145.88
1.6302,144.45
1.6813,144.45
1.7314,143.16
1.7816,143.16
1.8318,142.50
1.8827,142.50
1.9328,139.75
1.9834,139.75
2.0338,139.51
2.0842,139.51
2.1344,139.05
2.1850,139.05
2.2359,137.88
2.2864,137.88
2.3366,135.69
2.3871,135.69
2.4382,133.09
2.4891,133.09
2.5404,132.84
2.5910,132.84
2.6419,134.74
2.6928,134.74
2.7428,135.05
2.7938,135.05
2.8455,135.25
2.8956,135.25
2.9459,133.50
2.9969,133.50
3.0479,134.30
3.0986,134.30
3.1495,133.62
3.1996,133.62
3.2506,135.91
3.3012,135.91
3.3519,137.24
3.4029,137.24
3.4537,137.75
3.5046,137.75
3.5547,139.76
3.6052,139.76
3.6561,139.41
3.7062,139.41
3.7564,139.69
3.8072,139.69
3.8581,140.73
3.9082,140.73
3.9583,140.55
4.0091,140.55
4.0591,138.47
4.1102,138.47
4.1609,137.94
4.2124,137.94
4.2630,137.61
4.3132,137.61
4.3634,136.28
4.4144,136.28
4.4644,133.82
4.5147,133.82
4.5649,133.18
4.6152,133.18
4.6661,134.39
4.7170,134.39
4.7680,136.25
4.8190,136.25
4.8699,135.36
4.9207,135.36
4.9708,134.50
5.0209,134.50
5.0714,137.01
5.1223,137.01
5.1730,139.62
5.2232,139.62
5.2748,141.82
5.3251,141.82
5.3765,142.31
5.4266,142.31
5.4769,143.59
5.5271,143.59
5.5777,143.78
5.6287,143.78
5.6790,143.65
5.7291,143.65
5.7799,142.59
5.8301,142.59
5.8806,141.72
5.9310,142.12
5.9811,142.12
6.0322,143.75
6.0832,143.75
6.1333,142.30
6.1842,142.30
6.2352,142.45
6.2853,142.45
6.3358,142.98
6.3859,142.98
6.4368,139.82
6.4870,139.82
6.5372,135.50
6.5873,135.50
6.6376,137.68
6.6881,137.68
6.7388,138.93
6.7889,138.93
6.8390,140.13
6.8894,140.13
6.9398,139.47
6.9901,139.47
7.0412,138.02
