step_idx,forward_wall_ms
0,83.0100
1,12.3283
2,11.7595
3,13.3712
4,14.8883
5,14.5204
6,12.1657
7,14.8621
8,12.7831
9,12.6617
10,11.9854
11,13.1039
12,13.6683
13,12.1704
14,12.2682
15,11.8970
16,14.8533
17,11.9520
18,12.5063
19,11.8004
20,11.8355
21,12.1609
22,14.7952
23,12.2338
24,12.2039
25,12.1199
26,11.9135
27,12.0304
28,12.0267
29,13.7140
30,11.4442
31,12.0378
32,12.2373
33,12.3697
34,12.8310
35,13.1688
36,12.0072
37,11.6695
38,11.9240
39,11.7539
40,12.3679
41,13.3576
42,12.0192
43,12.1862
44,12.2057
45,15.4602
46,12.1399
47,12.0552
48,11.6036
49,13.7915
