timestamp_s,power_W
0.0607,126.73
0.1131,119.40
0.1688,119.40
0.2194,113.18
0.2756,113.18
0.3264,111.74
0.3766,111.74
0.4274,111.07
0.4778,111.07
0.5284,108.55
0.5792,108.55
0.6301,110.19
0.6809,110.19
0.7312,112.20
0.7816,112.20
0.8320,110.26
0.8830,110.26
0.9332,108.90
0.9836,108.90
1.0351,117.46
1.0906,117.46
1.1413,123.64
1.1924,123.64
1.2434,131.55
1.2952,131.55
1.3456,137.27
1.4050,137.27
1.4556,139.41
1.5059,139.41
1.5564,139.00
1.6075,139.00
1.6579,140.52
1.7087,140.52
1.7592,140.99
1.8099,140.68
1.8602,140.68
1.9130,141.00
1.9636,141.00
2.0144,143.44
2.0647,143.44
2.1156,143.30
2.1658,143.30
2.2164,144.34
2.2668,144.34
2.3179,143.30
2.3681,143.30
2.4186,144.71
2.4694,144.71
2.5196,147.12
2.5698,147.12
2.6211,146.10
2.6713,146.10
2.7220,147.37
2.7722,147.37
2.8231,146.59
2.8742,146.59
2.9248,145.88
2.9751,145.88
3.0257,148.47
3.0765,148.47
3.1271,145.30
3.1806,145.30
3.2310,144.29
3.2815,144.29
3.3316,143.98
3.3817,143.98
3.4329,143.41
3.4831,143.41
3.5338,144.86
3.5840,144.86
3.6349,143.31
3.6855,143.31
3.7360,143.42
3.7863,143.42
3.8366,143.21
3.8869,143.21
3.9372,142.48
3.9875,142.48
4.0378,141.56
4.0890,141.56
4.1400,140.30
4.1915,140.30
4.2416,139.67
4.2923,139.67
4.3439,138.28
4.3942,138.28
4.4447,137.08
4.4949,137.08
4.5450,135.83
4.5956,135.83
4.6467,134.01
4.6970,134.01
4.7471,131.74
4.7983,131.74
4.8492,130.49
4.9002,130.49
4.9531,132.49
5.0039,132.49
5.0542,133.97
5.1050,133.97
5.1561,133.78
5.2068,133.78
5.2571,134.29
5.3080,134.29
5.3598,136.36
5.4106,138.18
5.4610,138.18
5.5111,141.54
5.5615,141.54
5.6117,143.23
5.6629,143.23
5.7136,142.52
5.7639,142.52
5.8145,144.03
5.8657,144.03
5.9159,142.81
5.9661,142.81
6.0166,142.02
6.0668,142.02
6.1174,139.56
6.1689,139.56
6.2197,140.63
6.2699,140.63
6.3203,140.27
6.3705,140.27
6.4214,139.66
6.4721,139.66
6.5222,137.10
6.5730,137.10
6.6233,135.23
6.6736,135.23
6.7238,137.38
6.7746,137.38
6.8256,138.52
6.8765,138.52
6.9270,139.68
6.9774,139.68
7.0301,142.09
7.0803,142.09
7.1325,140.44
7.1856,140.44
7.2445,141.18
7.2948,141.18
7.3451,137.77
7.3967,137.77
7.4470,135.35
7.4976,135.35
7.5484,134.62
7.5986,134.62
7.6496,138.37
7.6997,138.37
7.7510,133.55
7.8021,133.55
7.8535,133.12
7.9047,133.12
7.9579,132.55
