step_idx,forward_wall_ms
0,107.5253
1,5.9361
2,5.0523
3,4.9584
4,4.9272
5,5.1532
6,5.8706
7,5.0864
8,8.2430
9,6.1681
10,12.1124
11,5.0626
12,5.7378
13,5.4792
14,5.1397
15,5.2003
16,5.2085
17,9.2883
18,5.4984
19,8.8629
20,5.1527
21,10.1345
22,5.1192
23,11.2880
24,8.0197
25,7.7450
26,5.3386
27,9.0910
28,5.1813
29,10.3967
30,5.1728
31,9.0235
32,5.4801
33,9.0489
34,5.9618
35,5.3700
36,4.9354
37,8.9858
38,5.1557
39,5.9408
40,5.5028
41,8.8504
42,5.7475
43,5.8796
44,5.6249
45,8.3971
46,5.1788
47,9.1491
48,5.5184
49,8.9064
50,5.2769
51,8.3962
52,5.1259
53,7.9036
54,5.0304
55,9.9642
56,7.1508
57,5.4027
58,5.0190
59,9.0088
60,5.1279
61,5.1906
62,5.0244
63,10.2986
64,7.7078
65,9.5062
66,4.9048
67,6.8761
68,5.0369
69,6.2846
70,5.1686
71,5.2202
72,10.5079
73,5.0015
74,4.9307
75,4.9926
76,8.9841
77,4.8114
78,5.8322
79,5.4505
80,5.2794
81,5.7803
82,5.4926
83,5.5643
84,5.3674
85,6.1991
86,5.3219
87,5.4023
88,6.5820
89,5.9971
90,5.2859
91,5.2862
92,5.1394
93,5.5053
94,9.4649
95,5.4488
96,8.2454
97,8.7029
98,5.1914
99,5.1433
100,4.9899
101,5.1678
102,5.2108
103,4.7550
104,5.1321
105,5.3161
106,8.2277
107,5.9667
108,5.4722
109,8.7049
110,5.2185
111,5.2262
112,5.0621
113,5.1972
114,5.0769
115,4.8849
116,9.1114
117,5.0897
118,9.2567
119,4.9869
120,9.2584
121,5.3483
122,9.4654
123,9.0872
124,5.1961
125,5.1218
126,5.0342
127,5.1237
128,7.6994
129,5.1281
130,7.6882
131,5.1064
132,8.8955
133,5.1880
134,9.4364
135,5.5937
136,10.5814
137,5.1075
138,8.8090
139,5.6966
140,5.5182
141,7.8655
142,4.9073
143,6.0094
144,5.9478
145,5.0443
146,9.7396
147,4.9729
148,4.7106
149,5.0119
150,8.7997
151,6.2179
152,13.3679
153,7.5537
154,5.0576
155,8.1343
156,6.9179
157,5.0778
158,4.7808
159,5.2315
160,5.9126
161,11.5974
162,5.1291
163,8.8524
164,8.6482
165,5.4981
166,10.8336
167,5.5569
168,7.0438
169,5.0837
170,8.7478
171,5.8158
172,7.4554
173,5.0362
174,5.2733
175,6.1124
176,5.4607
177,5.0147
178,10.4283
179,4.9706
180,5.9954
181,5.2026
182,5.1322
183,4.9930
184,6.1192
185,5.2128
186,5.0828
187,4.6609
188,5.1286
189,4.9352
190,7.6987
191,5.0471
192,7.1242
193,4.6385
194,5.0484
195,5.3129
196,8.6982
197,4.9781
198,4.9584
199,4.7355
200,5.1631
201,7.4975
202,6.2803
203,6.4264
204,6.9022
205,6.9461
206,7.7548
207,4.9373
208,6.8171
209,4.7265
210,8.3965
211,4.9117
212,7.6224
213,5.0372
214,5.0554
215,5.3536
216,5.1385
217,5.1843
218,7.7492
219,4.9491
220,8.5023
221,4.9495
222,5.2531
223,4.9109
224,9.2997
225,5.1901
226,7.4548
227,5.0661
228,5.0297
229,4.9086
230,7.9437
231,4.9610
232,4.8798
233,4.9874
234,5.0603
235,4.9937
236,5.0572
237,5.0048
238,4.9133
239,5.0005
240,4.9650
241,4.9710
242,4.8373
243,7.4524
244,4.9455
245,7.2053
246,5.1177
247,6.9536
248,5.0651
249,5.0409
250,5.0527
251,8.4677
252,5.2122
253,5.1019
254,4.9925
255,5.2868
256,5.0432
257,4.7130
258,5.0518
259,5.1766
260,5.0773
261,5.0936
262,6.8637
263,5.0818
264,7.1544
265,5.6042
266,7.2167
267,5.4090
268,8.2439
269,5.0278
270,7.6722
271,8.2613
272,6.2561
273,5.3160
274,5.0875
275,4.9560
276,5.2962
277,4.9847
278,5.8701
279,10.3517
280,5.1918
281,5.0821
282,4.8916
283,4.9671
284,5.0160
285,5.0180
286,7.6255
287,4.9067
288,6.9685
289,4.9795
290,8.9376
