step_idx,forward_wall_ms
0,94.8659
1,6.4957
2,4.9606
3,4.8979
4,4.9171
5,5.2343
6,5.7279
7,5.1256
8,7.7196
9,5.1470
10,5.0173
11,4.8403
12,5.0258
13,5.1148
14,5.0809
15,5.0503
16,5.0302
17,4.8549
18,5.1727
19,7.7887
20,4.8313
21,7.1305
22,5.4506
23,5.2216
24,5.0956
25,4.8422
26,5.0773
27,7.1433
28,4.7771
29,10.6403
30,4.7809
31,7.9652
32,5.0730
33,6.9123
34,5.0470
35,7.6433
36,5.0132
37,7.8998
38,4.9580
39,5.1253
40,5.1791
41,5.0237
42,5.0887
43,5.0853
44,5.1554
45,5.2201
46,5.2403
47,5.0840
48,4.9256
49,6.1465
50,5.0431
51,8.2653
52,4.9770
53,7.2174
54,4.9850
55,5.0769
56,5.0093
57,6.9860
58,4.8661
59,7.6528
60,5.1193
61,7.8562
62,4.9051
63,5.5999
64,4.9642
65,4.8226
66,5.1280
67,5.0512
68,4.9751
69,5.0285
70,4.8790
71,4.9999
72,4.9754
73,4.8203
74,4.8319
75,4.9855
76,4.8505
77,4.6598
78,5.1804
79,8.7821
80,4.9589
81,8.3206
82,4.8694
83,7.3146
84,5.1065
85,7.2640
86,5.0546
87,8.5749
88,5.0346
89,4.9466
90,5.1199
91,5.1296
92,5.1490
93,7.5014
94,4.7297
95,6.1942
96,5.1562
97,5.1031
98,5.0809
99,7.4693
100,5.0688
101,7.5515
102,5.2438
103,4.5887
104,5.2442
105,5.0814
106,5.0705
107,6.3899
108,5.3650
109,5.0551
110,5.0456
111,5.1291
112,6.0342
113,5.3574
114,5.7251
115,8.9266
116,5.2148
117,7.2220
118,5.6793
119,5.1371
120,5.8557
121,5.9450
122,5.1259
123,5.1527
124,7.3271
125,5.2413
126,7.2105
127,5.2891
128,8.0026
129,4.9984
130,7.5178
131,5.1442
132,9.2943
133,7.3915
134,5.0425
135,5.4677
136,9.4902
137,5.0841
138,7.9932
139,5.0791
140,4.9405
141,7.1831
142,5.0753
143,8.4720
144,4.9311
145,5.1178
146,14.7469
147,5.1616
148,4.7548
149,5.1693
150,5.1015
151,5.0522
152,5.1774
153,4.9127
154,5.1300
155,5.1181
156,4.8401
157,5.1674
158,4.7959
159,5.1611
160,5.0348
161,8.4610
162,5.1403
163,7.1856
164,5.1143
165,5.0990
166,5.1309
167,4.9610
168,7.2567
169,4.9156
170,5.1213
171,5.2413
172,5.0300
173,5.0256
174,5.0286
175,4.8610
176,5.2598
177,5.0654
178,9.6269
179,4.9164
180,5.0526
181,5.0593
182,5.1890
183,5.0637
184,4.9984
185,5.0563
186,5.0836
187,4.6949
188,5.3385
189,4.9629
190,9.1636
191,5.2369
192,5.1143
193,4.5777
194,5.1306
195,6.4979
196,7.7784
197,5.0120
198,5.1126
199,4.6970
200,5.1501
201,10.1614
202,8.9740
203,5.1327
204,5.3921
205,8.4009
206,7.4932
207,5.0067
208,5.0649
209,7.7783
210,8.9066
211,5.0306
212,5.1024
213,6.5986
214,8.6923
215,5.1841
216,5.1890
217,5.1729
218,5.1210
219,6.2197
220,5.7680
221,7.5240
222,5.1388
223,5.0701
224,5.2491
225,5.1982
226,5.0942
227,5.5335
228,5.0745
229,5.7545
230,5.7268
231,5.1610
232,4.8610
233,4.9780
234,6.1950
235,7.3030
236,4.9923
237,4.9165
238,5.0717
239,9.8563
240,4.9345
241,6.3147
242,5.1864
243,8.7123
244,5.1563
245,5.0283
246,5.8995
247,5.2084
248,5.9375
249,5.1774
250,5.0823
251,4.9593
252,5.8645
253,5.5286
254,10.2388
255,5.0269
256,8.9641
257,4.7654
258,9.5265
259,4.9505
260,8.9036
261,5.2852
262,7.3934
263,4.8674
264,5.1126
265,7.5290
266,5.1322
267,6.9705
268,5.0887
269,4.9943
270,5.0360
271,7.6399
272,5.2353
273,5.2069
274,5.0263
275,10.7766
276,5.2171
277,9.2818
278,4.9326
279,5.1370
280,4.8601
281,8.8590
282,4.8791
283,7.7083
284,5.8651
285,9.8184
286,5.2270
287,8.6962
288,4.9571
289,5.1504
290,4.9426
291,8.9434
292,5.5281
293,7.5225
294,5.7598
295,5.3865
296,6.6845
297,5.5089
298,7.8017
299,5.4104
300,5.5054
301,5.3988
302,5.7095
303,5.3291
304,4.5025
305,5.5805
306,5.0775
307,5.1869
308,9.2615
309,5.5271
310,5.5450
311,4.9769
312,4.9096
313,5.0357
314,5.2009
315,4.9029
316,5.0899
317,4.9766
318,5.2233
319,6.0775
320,5.6003
321,5.3369
322,5.1463
323,5.2737
324,4.6376
325,5.1023
326,5.0647
327,4.6976
328,5.0926
329,4.9388
330,8.5811
331,4.9560
332,4.8566
333,5.1548
334,4.7239
335,4.9509
336,5.0238
337,9.6598
338,5.0026
339,4.9929
340,5.1527
341,4.8037
342,5.0372
343,4.9810
344,5.1361
345,5.0769
346,5.1161
347,4.7994
348,9.2612
349,5.1647
350,6.6480
351,5.0022
352,7.8532
353,4.8557
354,4.9774
355,4.9924
356,5.0575
357,4.9441
358,5.1723
359,4.9574
360,7.8630
361,5.0070
362,5.1316
363,6.3752
364,4.9397
365,4.7822
366,5.0609
367,6.2843
368,4.8452
369,7.9709
370,5.0123
371,8.5485
372,5.0894
373,5.1383
374,4.9551
375,8.5608
376,5.1122
377,5.0016
378,5.2291
379,5.1947
380,7.7975
381,4.7615
382,7.8261
383,5.4148
384,6.0675
385,5.0231
386,8.9443
387,5.1420
388,4.8633
389,5.0076
390,5.1226
391,5.0665
392,4.9093
393,5.1891
394,6.4337
395,5.1819
396,5.1063
397,5.6821
398,9.7075
399,5.1068
400,5.6787
401,5.3808
402,5.3949
403,5.5588
404,5.2233
405,7.5727
406,5.0308
407,8.9989
408,5.0979
409,4.9643
410,5.0855
411,8.6350
412,5.1818
413,8.1982
414,4.6318
415,5.8281
416,5.0841
417,9.2276
418,5.0461
419,7.7766
420,8.0453
421,4.9528
422,4.9929
423,5.0600
424,5.9493
425,8.6291
426,5.0171
427,7.6608
428,5.2592
429,5.0922
430,5.1545
431,4.9769
432,8.8639
433,5.1453
434,5.1992
435,5.1565
436,9.3619
437,5.4147
438,9.3220
439,5.0871
440,7.6340
441,5.1487
442,7.0743
443,5.1474
444,5.0407
445,4.9781
446,8.8161
447,5.0769
448,8.3908
449,5.3970
450,8.1390
451,5.3947
452,7.5995
453,4.9986
454,8.8045
455,5.1828
456,4.9210
457,5.2125
458,5.1981
459,5.0302
460,4.9771
461,4.8926
462,5.4179
463,4.9885
464,7.6360
465,4.7102
466,5.4177
467,4.9138
468,5.2684
469,4.9249
470,5.1804
471,5.0852
472,5.0219
473,4.6450
474,8.1608
475,5.1575
476,4.7124
477,5.7011
478,5.0768
479,4.9230
480,5.1775
481,6.1145
482,7.5769
483,5.0928
484,4.9753
485,7.7102
486,5.0547
487,7.5821
488,5.1213
489,4.9693
490,5.0044
491,8.5875
492,5.0619
493,5.0940
494,4.9965
495,8.1373
496,4.8990
497,5.0321
498,7.9850
499,4.9549
