step_idx,forward_wall_ms
0,99.7503
1,6.8035
2,5.4630
3,5.4823
4,5.8238
5,5.5614
6,8.8711
7,5.6047
8,8.5649
9,5.6475
10,8.5432
11,5.3905
12,5.6628
13,5.4654
14,5.5131
15,5.4129
16,5.5663
17,5.5356
18,5.6490
19,8.9977
20,5.6306
21,9.6389
22,5.4355
23,8.3931
24,5.5595
25,8.6291
26,5.4415
27,5.3909
28,5.3086
29,8.2492
30,5.4768
31,7.4215
32,5.4631
33,8.0025
34,5.7190
35,5.5405
36,5.4859
37,8.2122
38,5.7044
39,5.6989
40,5.6867
41,8.4541
42,5.7254
43,5.5785
44,5.5202
45,5.7827
46,5.4843
47,8.4004
48,5.3850
49,7.8215
50,5.6542
51,9.2966
52,6.1015
53,8.5881
54,5.5114
55,10.4980
56,5.7449
57,8.2070
58,5.6076
59,10.0827
60,5.6989
61,9.4382
62,5.6603
63,9.8376
64,5.5256
65,9.2579
66,5.5932
67,8.4376
68,5.6955
69,5.5354
70,5.3077
71,5.5578
72,7.4120
73,5.5787
74,8.1614
75,5.5539
76,7.7875
77,5.2084
78,5.5158
79,5.6544
80,5.6148
81,5.4111
82,5.6566
83,5.5841
84,5.6907
85,5.5113
86,5.4965
87,5.5432
88,5.4664
89,9.5009
90,5.5782
91,8.7340
92,5.5552
93,7.1903
94,6.6545
95,5.5506
96,5.4864
97,5.6815
98,11.8056
99,5.5505
100,5.4872
101,5.4170
102,5.5931
103,5.0692
104,5.5813
105,5.4716
106,5.4714
107,5.7317
108,5.5010
109,7.4961
110,5.5971
111,5.7458
112,5.6185
113,5.5564
114,5.7184
115,5.4247
116,7.6955
117,7.8779
118,7.0608
119,5.4141
120,8.7062
121,6.6407
122,7.6999
123,9.3822
124,5.5930
125,5.4930
126,8.1707
127,5.5708
128,7.4038
129,5.5282
130,8.9191
131,5.6148
132,9.4227
133,8.5226
134,5.4439
135,5.7070
136,8.1454
137,5.5457
138,8.8514
139,7.0263
140,5.6015
141,8.3280
142,5.4816
143,7.9661
144,5.4346
145,5.4950
146,9.7691
147,5.5785
148,5.2775
149,5.4983
150,8.5379
151,5.4995
152,5.4233
153,5.3274
154,5.4628
155,5.6181
156,5.3691
157,5.7464
158,5.3175
159,9.2390
160,5.5845
161,11.5696
162,5.5848
163,5.5026
164,5.8025
165,5.6967
166,9.1406
167,5.5954
168,8.5989
169,5.4786
170,5.7584
171,5.7629
172,5.4699
173,5.6686
174,5.6531
175,5.5328
176,7.8810
177,5.3998
178,9.5049
179,5.3568
180,5.4919
181,5.3301
182,5.5808
183,5.4326
184,5.4778
185,5.6206
186,9.6597
187,5.2406
