step_idx,forward_wall_ms
0,91.8905
1,7.0870
2,5.3509
3,5.4437
4,5.7169
5,5.5498
6,5.9862
7,5.6401
8,8.8201
9,5.6846
10,9.2102
11,5.4751
12,5.6604
13,5.4535
14,8.5103
15,5.3982
16,5.5227
17,5.2540
18,8.4088
19,5.4932
20,5.4196
21,5.5426
22,5.4647
23,5.5986
24,5.5349
25,7.3002
26,5.5351
27,5.3903
28,7.0602
29,8.0055
30,7.3454
31,5.7988
32,5.4368
33,5.4085
34,8.2462
35,5.4533
36,8.4765
37,5.4617
38,5.6103
39,7.9825
40,5.6937
41,5.5400
42,5.4993
43,8.2155
44,5.8048
45,5.6585
46,5.4675
47,5.4898
48,7.0503
49,5.4700
50,5.5475
51,5.6650
52,7.4952
53,5.5455
54,5.3745
55,5.6981
56,6.4995
57,5.4102
58,5.5075
59,5.6998
60,5.5985
61,5.5555
62,5.5172
63,5.5667
64,5.5326
65,5.4175
66,5.7341
67,5.5032
68,5.5810
69,5.5996
70,6.9470
71,7.4943
72,5.5144
73,5.3844
74,7.5903
75,6.3236
76,6.5131
77,5.2002
78,5.6063
79,5.5195
80,5.5860
81,5.3958
82,5.6193
83,5.7598
84,8.8511
85,5.4610
86,5.4282
87,5.5482
88,8.5456
89,5.3862
90,5.4852
91,5.5212
92,8.3899
93,5.4084
94,9.6770
95,5.5176
96,9.1872
97,7.7219
98,8.5767
99,5.4478
100,5.5092
101,5.3675
102,5.5025
103,5.1657
104,5.6198
105,5.3706
106,5.2134
107,5.5718
108,5.4331
109,7.8545
110,5.5209
111,5.4466
112,5.5514
113,5.7649
114,5.5393
115,5.4510
116,7.0072
117,8.6156
118,5.3906
119,5.5107
120,8.8700
121,5.7414
122,8.4016
123,9.3358
124,5.4956
125,5.6054
126,6.4721
127,5.6019
128,5.3974
129,5.6465
130,5.1666
131,5.5055
132,5.7424
133,5.5590
134,8.7001
135,7.6219
136,7.9788
137,5.6212
138,8.1256
139,5.8170
140,5.5728
141,7.4575
142,5.3920
143,7.6294
144,5.4962
145,5.4197
146,9.8852
147,5.5324
148,5.1962
149,5.5381
150,7.5165
151,5.4348
152,9.1410
153,5.4140
154,7.3271
155,8.5738
156,5.1735
157,5.5621
158,5.2118
159,5.5826
160,5.5736
161,5.6213
162,5.4603
163,5.5856
164,5.6993
165,9.0763
166,5.7454
167,8.4376
168,5.6096
169,5.4515
170,5.5815
171,8.5272
172,5.4733
173,7.4387
174,5.6545
175,8.1079
176,5.5121
177,6.7897
178,5.5502
179,5.3385
180,5.5552
181,5.4374
182,5.5320
183,8.7203
184,5.5091
185,8.2222
186,5.5631
187,5.2048
188,7.5751
189,5.4280
190,5.8001
191,5.5110
192,5.4585
193,5.0265
194,5.6070
195,5.4447
196,7.6811
197,5.8059
198,5.5698
199,5.1356
200,5.4428
201,5.5235
202,5.3087
203,5.4484
204,6.7737
205,5.4079
206,5.6950
207,5.4636
208,5.5163
209,5.1626
210,8.0203
211,5.6141
212,7.6708
213,5.5720
214,5.4104
215,5.4930
216,5.4943
217,5.5617
218,9.1429
219,5.4644
220,8.5198
221,5.5136
222,5.4927
223,5.4054
224,8.1886
225,5.6076
226,8.6644
227,5.5577
228,6.8958
229,5.4124
230,9.2566
231,5.4524
232,7.7153
233,5.4902
234,8.5387
235,5.4662
236,8.8177
237,5.4666
238,7.8916
239,5.5728
240,6.2239
241,5.4392
242,5.4174
243,6.6630
244,5.4709
245,5.9054
246,5.5918
247,8.5742
248,5.5287
249,7.6168
250,5.5342
251,7.0751
252,5.4704
253,7.2874
254,5.4379
255,7.8613
256,5.4309
257,5.2967
