step_idx,forward_wall_ms
0,99.3392
1,5.9678
2,5.3949
3,5.0277
4,5.3234
5,5.2513
6,6.5328
7,5.3500
8,7.8640
9,5.5755
10,9.5618
11,4.9757
12,5.0815
13,5.0101
14,5.0560
15,4.9976
16,5.0455
17,4.9701
18,5.2174
19,5.0929
20,4.8699
21,8.8055
22,5.2414
23,8.6517
24,5.2482
25,4.9376
26,5.1813
27,6.1029
28,4.8336
29,9.9549
30,5.0006
31,7.5594
32,5.1098
33,7.1460
34,5.0984
35,7.4938
36,5.0767
37,8.3635
38,5.0657
39,5.2197
40,5.3697
41,7.5274
42,5.2303
43,5.1612
44,5.2063
45,5.5884
46,5.0798
47,7.3631
48,4.9840
49,7.2183
50,5.2032
51,6.8145
52,5.2368
53,5.3921
54,5.1438
55,9.4179
56,5.3189
57,6.8392
58,5.0918
59,7.4930
60,5.2659
61,7.1008
62,5.0964
63,8.1790
64,4.9700
65,4.9421
66,5.0962
67,7.4272
68,5.2629
69,5.2211
70,4.8857
71,5.1336
72,5.2204
73,4.9139
74,5.0360
75,5.2314
76,4.9919
77,4.9038
78,5.1865
79,5.1513
80,5.5084
81,7.1328
82,5.0454
83,5.1173
84,5.4313
85,5.0259
86,4.9076
87,7.6028
88,5.1799
89,8.4098
90,5.2337
91,8.6771
92,5.3036
93,6.3198
94,5.5152
95,5.0375
96,4.9872
97,5.1665
98,7.3273
99,5.0274
100,4.9209
101,5.2347
102,5.2769
103,4.7619
104,5.3021
105,5.1869
106,5.4146
107,4.9682
108,5.0235
109,8.5910
110,5.1511
111,5.1097
112,5.0022
113,6.9255
114,5.2671
115,5.1443
116,7.2825
117,5.2035
118,8.7273
119,5.1347
120,9.5771
121,5.8554
122,7.4348
123,7.3409
124,5.1758
125,5.1656
126,10.3085
127,5.2955
128,7.3651
129,4.8422
130,9.7796
131,5.1649
132,9.5249
133,8.7720
134,5.2826
135,5.2249
136,5.3282
137,4.9959
138,8.9868
139,5.2834
140,5.2445
141,6.8382
142,4.9721
143,7.9654
144,5.2413
145,5.1141
146,9.5703
147,4.7861
148,5.1202
149,5.3292
150,5.0237
151,5.1185
152,4.7444
153,5.1202
154,7.9644
155,5.3200
156,7.1228
157,4.8101
158,4.3613
159,5.5602
160,5.3122
161,5.3454
162,5.2352
163,8.5193
164,5.2618
165,4.8828
166,4.9083
167,5.5225
168,6.6782
169,4.7877
170,8.0027
171,5.3952
172,8.4614
173,4.7111
174,7.9564
175,5.0379
176,8.6675
177,5.3989
178,4.9032
179,5.2680
180,7.5839
181,4.5370
182,7.4544
183,5.0884
184,4.7760
185,5.5173
186,9.5434
187,4.3042
188,8.0443
189,4.6237
190,6.8056
191,4.6999
192,6.5347
193,4.6309
194,5.0594
195,4.9543
196,8.6114
197,4.8702
198,5.2720
199,4.6972
200,5.4098
201,7.7402
202,7.2711
203,4.3959
204,4.4500
205,9.2913
206,7.1333
207,4.4806
208,4.5521
209,8.7684
210,8.4333
211,4.9997
212,4.7088
213,7.6909
214,7.9160
215,5.6931
216,4.6984
217,7.5014
218,5.1893
219,4.6808
220,4.9871
221,8.4564
222,4.7100
223,5.6647
224,4.9677
225,4.7701
226,4.6329
227,5.8182
228,5.0249
229,5.3480
230,5.3269
231,5.1825
232,4.8929
233,5.1588
234,5.0460
235,5.3559
236,5.1262
237,4.7444
238,5.1743
239,4.8953
240,4.6226
241,5.3932
242,8.4659
243,6.6417
244,7.4149
245,4.8102
246,4.5935
247,4.7639
248,4.6433
249,4.7536
250,7.9809
251,4.8286
252,4.5959
253,9.3032
254,5.1175
255,7.4103
256,5.2130
257,4.6559
258,4.8384
259,4.6642
260,5.2189
261,7.4159
262,4.6745
263,7.0838
264,5.1839
265,5.2690
266,4.7748
267,4.7146
268,5.6445
269,4.7822
270,4.6062
271,4.6052
272,9.0975
273,4.9487
274,7.1331
275,5.2509
276,5.2690
277,4.8123
278,4.4943
279,8.8850
280,4.5691
281,4.8397
282,4.5336
283,5.3997
284,4.9110
285,4.6799
286,8.6378
287,5.1021
288,7.8727
289,5.3386
290,10.2324
291,4.6613
292,7.3491
293,4.6993
294,9.1655
295,6.9189
296,4.7104
297,5.4175
298,11.4663
299,4.9238
300,6.0575
301,5.3974
302,6.7097
303,4.9360
304,4.4186
305,4.7555
306,4.7210
307,4.6676
308,8.0221
309,5.5726
310,7.5887
311,4.6448
312,5.5262
313,5.1128
314,10.2359
315,5.0925
316,7.3065
317,5.0822
318,8.0566
319,5.1452
320,11.5350
321,8.7674
322,5.5258
323,4.8216
324,5.4594
325,8.5178
326,5.4345
327,4.2513
328,5.4797
329,4.7957
330,8.3818
331,5.3796
332,5.0353
333,4.9336
334,9.4483
335,5.6532
336,5.3003
337,4.9840
338,5.0447
339,8.3528
340,5.2189
341,9.3706
342,5.0067
343,5.4143
344,8.5008
345,5.0995
346,10.1546
347,4.9047
348,5.0465
349,5.4002
350,5.0846
351,5.7170
352,4.9051
353,7.9263
354,4.8778
355,9.6312
356,5.3663
357,5.1033
358,5.1992
359,6.0824
360,5.2287
361,8.4934
362,5.2274
363,5.4020
364,4.7677
365,7.4598
366,5.2783
367,5.1852
368,4.8516
369,5.5605
370,5.2560
371,9.4935
372,5.2578
373,10.1531
374,4.8695
375,7.8849
376,4.7544
377,5.3444
378,5.3570
379,4.9226
380,7.9383
381,5.3693
382,8.4796
383,5.3580
384,4.8913
385,5.1928
386,9.6541
387,5.2575
388,5.3845
389,5.2504
390,5.2532
391,5.1116
392,5.1929
393,5.2185
394,5.5006
395,5.1674
396,5.1565
397,5.1539
398,9.8102
399,5.2832
400,5.0149
401,4.7106
402,5.3024
403,4.9979
404,5.1516
405,7.8901
406,4.8641
407,9.9058
408,5.4484
409,5.2057
410,4.8932
411,6.9185
412,5.6584
413,7.6600
414,4.7423
415,8.7168
416,5.2532
417,10.0995
418,5.8131
419,7.7151
420,7.4787
421,5.2762
422,5.2747
423,8.2311
424,5.1911
425,8.6104
426,7.3270
427,5.0361
428,4.9231
429,4.9522
430,5.2440
431,4.5837
432,5.6620
433,4.9393
434,4.8080
435,4.6154
436,12.0289
437,5.2379
438,8.2189
439,5.1446
440,8.3107
441,4.8109
442,6.9989
443,5.3135
444,7.5299
445,4.9329
446,8.6091
447,5.1839
448,9.3921
449,5.2519
