timestamp_s,power_W
0.0621,151.04
0.1125,151.04
0.1628,146.96
0.2136,146.96
0.2647,143.92
0.3158,143.92
0.3659,144.18
0.4160,144.18
0.4670,144.21
0.5181,144.21
0.5691,147.94
0.6195,147.94
0.6698,147.69
0.7201,147.69
0.7719,148.28
0.8222,148.28
0.8730,149.13
0.9233,149.13
0.9734,151.50
1.0240,151.50
1.0748,157.18
1.1255,157.18
1.1757,163.15
1.2263,163.15
1.2767,164.10
1.3275,164.10
1.3782,164.56
1.4283,164.56
1.4785,164.03
1.5291,164.03
1.5800,162.17
1.6308,162.17
1.6809,162.88
1.7317,162.88
1.7822,161.86
1.8327,161.09
1.8831,161.09
1.9335,161.34
1.9841,161.34
2.0349,160.14
2.0853,160.14
2.1359,161.72
2.1868,161.72
2.2371,161.74
2.2876,161.74
2.3376,160.93
2.3878,160.93
2.4379,162.17
2.4885,162.17
2.5389,162.45
2.5900,162.45
2.6406,162.04
2.6914,162.04
2.7424,161.67
2.7928,161.67
2.8429,162.49
2.8940,162.49
2.9451,162.72
2.9963,162.72
3.0467,162.73
3.0977,162.73
3.1479,160.94
3.1989,160.94
3.2497,161.88
3.3000,161.88
3.3509,160.83
3.4017,160.83
3.4519,160.25
3.5031,160.25
3.5537,158.88
3.6038,158.88
3.6539,159.41
3.7041,159.41
3.7550,160.05
3.8061,160.05
3.8567,159.62
3.9074,159.62
3.9577,160.52
4.0081,160.52
4.0597,160.13
4.1106,160.13
4.1608,160.08
4.2120,160.08
4.2623,159.09
4.3125,159.09
4.3637,160.65
4.4140,160.65
4.4650,161.18
4.5159,161.18
4.5669,161.70
4.6174,161.70
4.6676,161.13
4.7182,161.13
4.7691,160.47
4.8197,160.47
4.8699,160.88
4.9208,160.88
4.9711,158.49
5.0212,158.49
5.0719,159.11
5.1230,159.11
5.1734,158.89
5.2236,158.89
5.2738,159.59
5.3240,159.59
5.3750,158.35
5.4256,158.35
5.4760,158.28
5.5263,158.28
5.5766,158.00
5.6271,158.00
5.6779,157.81
5.7288,157.81
5.7792,159.28
5.8299,159.28
5.8804,158.76
5.9310,158.76
5.9812,160.25
6.0319,160.25
6.0819,160.29
6.1323,160.29
6.1827,161.09
