timestamp_s,power_W
0.0573,137.26
0.1077,136.69
0.1591,136.69
0.2101,136.80
0.2612,136.80
0.3116,137.16
0.3621,137.16
0.4125,137.03
0.4630,137.03
0.5133,137.34
0.5641,137.34
0.6143,136.70
0.6647,136.70
0.7152,136.60
0.7656,136.60
0.8160,137.27
0.8664,137.27
0.9169,137.93
0.9674,137.93
1.0178,137.63
1.0684,137.63
1.1188,137.67
1.1693,137.67
1.2197,137.75
1.2701,137.75
1.3209,137.44
1.3714,136.95
1.4218,136.95
1.4722,136.88
1.5230,136.88
1.5732,137.82
1.6237,137.82
1.6740,137.59
1.7244,137.59
1.7749,137.19
1.8254,137.19
1.8759,137.50
1.9264,137.50
1.9769,138.04
2.0278,138.04
2.0785,137.91
2.1287,137.91
2.1792,138.00
2.2296,138.00
2.2801,138.26
2.3306,138.26
2.3812,138.28
2.4315,138.28
2.4819,138.20
2.5326,138.20
2.5830,137.50
2.6335,137.50
2.6841,137.18
2.7344,137.18
2.7850,137.10
2.8356,137.10
2.8861,137.07
2.9368,137.07
2.9871,137.06
3.0374,137.06
3.0879,137.72
3.1384,137.72
3.1888,138.13
3.2393,138.13
3.2898,137.45
3.3402,137.45
3.3913,137.54
3.4418,137.54
3.4926,137.50
3.5428,137.50
3.5932,138.03
3.6438,138.03
3.6943,138.66
3.7446,138.66
3.7951,139.19
3.8455,139.19
3.8959,138.87
3.9466,138.87
3.9970,138.52
4.0484,138.52
4.0988,137.84
4.1493,137.84
4.1998,138.09
4.2502,138.09
4.3006,138.46
4.3511,138.46
4.4014,138.37
4.4519,138.37
4.5023,138.34
4.5528,138.34
4.6033,137.65
4.6537,137.65
4.7042,137.46
4.7547,137.46
4.8052,136.41
4.8558,136.41
4.9061,135.97
4.9564,135.97
5.0079,136.47
5.0583,136.47
5.1088,136.19
5.1595,136.19
5.2098,135.63
5.2605,135.63
5.3109,135.68
5.3612,135.68
5.4118,135.38
5.4621,135.38
5.5126,136.15
5.5631,136.15
5.6145,136.62
5.6646,136.62
5.7156,136.18
5.7658,136.18
5.8160,137.14
5.8666,137.14
5.9171,137.54
5.9674,137.54
6.0179,137.56
6.0682,137.56
6.1187,137.63
6.1692,137.63
6.2196,137.41
6.2700,137.41
6.3207,137.41
6.3711,137.41
6.4216,137.58
6.4722,137.58
6.5225,137.70
6.5729,137.00
6.6233,137.00
6.6736,137.46
6.7241,137.46
6.7746,136.96
6.8253,136.96
6.8768,137.10
6.9272,137.10
