step_idx,forward_wall_ms
0,7396.9299
1,7406.3216
2,5.4751
3,4.7601
4,4.7280
5,4.6168
6,4.6766
7,4.5660
8,5.6685
9,5.0705
10,4.6131
11,4.5001
12,4.7155
13,5.2582
14,4.6878
15,4.6536
16,5.0485
17,4.4414
18,4.5590
19,4.6201
20,4.8370
21,4.5850
22,5.4769
23,4.6667
24,4.6552
25,5.2221
26,5.0071
27,4.6973
28,4.3477
29,4.3262
30,4.3561
31,4.7114
32,4.5788
33,4.3803
34,5.2604
35,4.5501
36,4.4666
37,4.5123
38,4.5435
39,4.6105
40,4.6229
41,4.5867
42,5.3640
43,4.6991
44,4.6049
45,4.6208
46,7.2751
47,4.4796
48,4.4625
49,4.6012
50,4.5831
51,4.4729
52,5.7274
53,4.8179
54,5.4182
55,6.9863
56,4.6891
57,4.3977
58,4.6201
59,4.7280
60,4.6579
61,4.8547
62,5.6825
63,4.8367
64,4.5786
65,4.6096
66,4.5187
67,4.5592
68,4.5900
69,7.4768
70,4.2896
71,5.2291
72,4.5545
73,4.5285
74,4.3697
75,4.5501
76,4.3860
77,4.2108
78,4.6855
79,4.4291
80,4.5194
81,4.4011
82,4.3794
83,4.5109
84,4.6128
85,4.2977
86,4.4748
87,4.4882
88,4.4981
89,4.5416
90,4.9981
91,4.5866
92,4.5490
93,4.4305
94,4.4649
95,4.5838
96,5.3277
97,4.5033
98,5.6958
99,4.5743
100,4.4265
101,4.4047
102,4.7649
103,4.1144
104,4.6834
105,4.4980
106,4.4409
107,4.7151
108,4.5083
109,4.4401
110,4.5893
111,4.5048
112,4.6027
113,4.8663
114,4.5255
115,5.5302
116,4.6269
117,4.4583
118,4.5211
119,4.5755
120,4.5253
121,4.6279
122,4.5172
123,4.5509
124,4.5011
125,4.6051
126,4.9178
127,4.6230
128,4.4530
129,4.7021
130,4.2480
131,4.5924
132,4.5739
133,4.5235
134,4.6080
135,4.6774
136,4.6363
137,4.5088
138,4.4704
139,4.6989
140,4.6712
141,12.3726
142,4.6559
143,4.6803
144,4.4786
145,4.3972
146,4.4283
147,4.4527
148,4.2288
149,4.5864
150,4.5793
151,4.3805
152,4.4973
153,4.3966
154,4.4049
155,5.2489
156,4.3079
157,4.6673
158,4.1423
159,4.5608
160,4.6919
161,4.5303
162,4.6519
163,5.2745
164,4.5890
165,5.1495
166,4.7372
167,4.4153
168,4.5007
169,4.5236
170,4.5542
171,4.7118
172,4.7028
173,4.5559
174,4.7440
175,4.6185
176,4.6355
177,4.5332
178,4.6421
179,4.3542
180,4.5609
181,6.2147
182,4.5488
183,4.5420
184,4.5447
185,4.6568
186,4.6650
187,4.3746
188,4.6611
189,4.4585
190,4.5678
191,4.5333
192,4.9924
193,4.2222
194,4.6062
195,4.5319
196,4.5583
197,4.5370
198,4.4238
199,4.2847
200,4.4597
201,5.3204
202,4.3718
203,4.3631
204,4.3651
205,4.3191
206,4.9509
207,4.5633
208,4.6588
209,4.3621
210,4.6773
211,4.5482
212,4.4793
213,4.8737
214,4.4197
215,4.6613
216,4.5547
217,4.7042
218,4.5834
219,4.6350
220,4.7208
221,4.4253
222,4.4769
223,4.4728
224,4.7519
225,4.4870
226,4.5850
227,4.7467
228,5.7607
229,4.4379
230,4.5898
231,4.4784
232,4.3484
233,4.4728
234,4.5461
235,4.5155
236,4.9910
237,4.4630
238,5.3352
239,4.6111
240,4.5108
241,4.7458
242,4.6261
243,4.5118
244,4.4917
245,4.5997
246,4.6371
247,4.8823
248,5.2822
249,4.4739
250,4.5437
251,5.2551
252,4.5146
253,4.4625
254,4.5660
255,4.5688
256,4.4837
257,4.4330
258,4.6874
259,4.5209
260,4.4498
261,4.6235
262,4.8126
263,4.5584
264,4.6180
265,4.5600
266,4.8390
267,4.5312
268,4.5103
269,4.6012
270,4.5086
271,4.4278
272,4.6746
273,4.7868
274,4.5185
275,4.5487
276,22.2079
277,4.4322
278,4.3635
279,4.6324
280,4.3378
281,4.6596
282,4.5759
283,4.4074
284,4.5624
285,4.5213
286,4.5452
287,5.4774
288,4.3178
289,5.0430
290,4.5286
291,4.8497
292,4.0466
293,4.4980
294,4.5064
295,4.6007
296,4.8093
297,4.8559
298,4.2492
299,4.5389
300,3.9803
301,4.4621
302,4.6346
303,4.5055
304,3.9909
305,4.5530
306,5.3784
307,4.4630
308,4.5558
309,4.5873
310,4.4527
311,4.5432
312,4.9289
313,4.2634
314,4.5236
315,4.5466
316,4.4479
317,4.9408
318,4.6136
319,4.9243
320,4.5123
321,4.6943
322,4.6306
323,4.5372
324,4.4376
325,4.7241
326,4.5008
327,4.2078
328,4.6088
329,4.4430
330,4.6123
331,4.4781
332,4.8460
333,4.5011
334,4.9930
335,4.5628
336,4.3841
337,4.5464
338,4.5296
339,4.5000
340,4.6356
341,4.4828
342,4.5877
343,5.1028
344,4.5622
345,5.4554
346,4.5828
347,4.3398
348,4.5735
349,4.5757
350,4.6179
351,4.5019
352,4.5420
353,4.5610
354,4.5355
355,4.6235
356,4.4817
357,5.3293
358,4.9159
359,5.2571
360,4.7284
361,4.5544
362,4.8125
363,4.4398
364,4.3172
365,4.4648
366,4.4662
367,4.4853
368,4.2871
369,4.4562
370,4.5137
