step_idx,forward_wall_ms
0,129.8733
1,33.8523
2,33.3511
3,33.3392
4,35.1430
5,35.7493
6,39.1879
7,37.9491
8,33.1104
9,36.4971
10,35.1031
11,35.2987
12,35.9507
13,38.3884
14,36.0768
15,34.3004
16,40.9155
17,34.7111
18,35.0654
19,34.5016
20,34.7763
21,34.2818
22,34.7862
23,39.0935
24,36.1077
25,34.4966
26,34.7536
27,37.7805
28,35.0582
29,36.1817
30,33.7021
31,34.9330
32,36.3466
33,35.1537
34,34.8909
35,36.1650
36,35.5165
37,34.5809
38,34.4254
39,36.3755
40,35.0993
41,37.2370
42,39.3708
43,37.7153
44,37.5842
45,35.1592
46,35.2169
47,46.1284
48,34.6931
49,36.2584
50,35.4044
51,34.7059
52,35.3347
53,35.0967
54,35.0083
55,34.7060
56,36.3384
57,37.0886
58,37.2294
59,34.9648
60,37.5275
61,34.2612
62,33.9403
63,38.9954
64,34.8684
65,34.3770
66,34.9995
67,34.3704
68,34.8845
69,37.1699
70,35.0274
71,34.7347
72,34.7926
73,36.1042
74,34.4176
75,38.4029
76,33.5946
77,36.3562
78,34.3176
79,35.5453
80,35.9620
81,34.3519
82,34.1767
83,34.7307
84,35.5848
85,36.3315
86,34.4177
87,34.4946
88,36.2626
89,35.5145
90,35.6037
91,37.6204
92,34.8420
93,33.8654
94,33.5543
95,37.3578
96,36.5272
97,34.5782
98,40.5271
99,34.3192
100,33.8894
101,35.8595
102,35.9638
103,35.6371
104,35.5202
105,36.6399
106,35.0062
107,36.1885
108,34.7420
109,35.0617
110,36.0943
111,34.6682
112,35.0263
113,39.5259
114,34.9150
115,39.1321
116,37.1002
117,37.1888
118,35.1270
119,34.6504
120,34.6906
121,40.8204
122,34.7190
123,39.1616
124,36.3614
125,35.4570
126,35.2919
127,47.6118
128,34.2765
129,37.0656
130,34.1297
131,35.5419
132,36.5026
133,35.6757
134,42.1621
135,34.8431
136,34.2194
137,37.1382
138,36.1493
139,36.9407
140,38.1185
141,35.1509
142,38.0501
143,36.1784
144,36.2747
145,34.7853
146,35.2099
147,37.1308
148,36.3441
149,34.9553
150,37.5227
151,35.1449
152,34.2448
153,35.1696
154,36.3195
155,38.5947
156,36.8640
157,34.9325
158,35.7881
159,35.7958
160,35.7281
161,36.8344
162,35.3479
163,35.1578
164,35.9626
165,34.6215
166,37.0709
167,36.5934
168,36.6817
169,34.9963
170,38.2171
171,38.5162
172,38.0231
173,37.5641
174,35.0115
175,33.9043
176,33.5594
177,36.4493
178,34.7670
179,35.0664
180,37.7455
181,34.7063
182,37.8253
183,34.0532
184,34.9227
185,34.5788
186,34.9169
187,37.5386
188,37.5783
189,34.7084
190,34.0107
191,35.8296
192,36.9396
193,34.3415
194,36.5655
195,35.2045
196,34.7197
197,35.7525
198,35.2446
199,37.3355
200,34.8440
201,41.5872
202,37.0344
203,36.0790
204,39.0891
205,35.1441
206,35.1507
207,35.5627
208,38.2865
209,34.2969
210,35.2819
211,35.0869
212,34.5524
213,37.1437
214,34.0327
215,34.4712
216,35.7587
217,35.0235
218,34.7980
219,37.6402
220,38.2261
221,35.3347
222,36.8790
223,34.1157
224,35.3214
225,35.5917
226,34.4780
227,35.0177
228,35.6637
229,35.0784
230,35.5561
231,35.7621
232,36.4247
233,36.3779
234,37.6878
235,43.7736
236,34.5900
237,35.6317
238,36.9816
239,34.2823
240,38.8440
241,33.9963
242,34.8365
243,34.8784
244,36.9171
245,35.7613
246,35.2653
247,35.4125
248,37.5339
249,34.4938
250,34.4377
251,33.4801
252,35.1358
253,36.3851
254,39.1994
255,34.7194
256,35.7510
257,35.0230
258,38.5265
259,35.2844
260,35.7703
261,37.8449
262,34.9166
263,33.6022
264,39.2113
265,34.6263
266,34.4022
267,36.7543
268,36.2848
269,34.5946
270,35.1547
271,37.6873
272,34.5520
273,35.7614
274,34.4765
275,35.8845
276,37.8637
277,35.3463
278,35.3943
279,36.1119
280,37.2303
281,39.7817
282,37.3668
283,34.1872
284,35.3588
285,35.7129
286,41.2668
287,37.0433
