step_idx,forward_wall_ms
0,128.5969
1,29.8798
2,29.6102
3,29.2777
4,39.4093
5,32.1263
6,30.8150
7,32.0019
8,30.7482
9,30.8310
10,32.0919
11,32.2696
12,31.5571
13,30.8495
14,31.2782
15,29.5821
16,31.6671
17,30.4310
18,31.2807
19,30.6312
20,30.0855
21,32.9779
22,30.2300
23,31.8296
24,30.5384
25,30.8739
26,32.0466
27,31.7508
28,29.6053
29,31.4464
30,29.3303
31,30.0261
32,30.3179
33,32.5706
34,31.4350
35,51.3183
36,30.1282
37,29.7521
38,30.9727
39,32.2026
40,31.7605
41,30.6278
42,30.9613
43,30.3820
44,31.2990
45,33.4520
46,30.9565
47,30.8983
48,38.2902
49,31.5490
50,31.0011
51,40.2603
52,30.6847
53,29.3437
54,34.3320
55,32.2179
56,31.3106
57,31.0883
58,31.0611
59,34.7674
60,31.5403
61,31.7244
62,30.2156
63,30.0719
64,32.2182
65,29.8828
66,30.4519
67,30.7612
68,30.1432
69,33.5610
70,31.0428
71,34.1684
72,31.3527
73,30.4818
74,32.1167
75,30.3517
76,31.1951
77,29.3689
78,30.7281
79,30.6446
80,31.8122
81,32.1897
82,33.1881
83,31.2555
84,30.8331
85,30.2622
86,30.7429
87,31.5102
88,31.9952
89,29.5641
90,30.6212
91,31.0100
92,30.7155
93,30.7486
94,29.1182
95,34.8350
96,42.8212
97,30.3170
98,29.4959
99,34.0367
100,33.1723
101,30.5000
102,34.0189
103,30.0032
104,30.7864
105,30.9917
106,31.4933
107,29.8202
108,31.3060
109,29.5185
110,30.7749
111,30.5278
112,30.9658
113,31.4578
114,30.3111
115,34.0293
116,30.1556
117,30.6314
118,30.2716
119,30.3583
120,31.4869
121,30.6109
122,30.8020
123,31.4386
124,30.4784
125,30.9191
126,31.9658
127,30.8505
128,32.3119
129,30.7873
130,29.3960
131,30.8227
132,31.8492
133,32.9980
134,37.2547
135,30.2211
136,31.4471
137,33.5362
138,33.1180
139,31.5444
140,30.8591
141,32.1998
142,29.6103
143,30.8559
144,32.0600
145,31.2585
146,29.5475
147,30.9230
148,32.2748
149,30.3327
150,31.7811
151,30.7714
152,32.8151
153,29.5018
154,30.7123
155,32.4340
156,29.6713
157,30.9467
158,30.7367
159,30.7383
160,31.4221
161,34.2380
162,31.3421
163,30.7274
164,30.7317
165,31.2507
166,32.6165
167,30.5285
168,32.5103
169,31.4412
170,31.3894
171,31.6837
172,31.9172
173,30.5629
174,31.3471
175,30.6716
176,30.8232
177,34.1652
178,34.0481
179,31.4956
180,30.4851
181,35.4091
182,30.0781
183,29.9549
184,32.0076
185,33.7660
186,30.3353
187,31.1170
188,30.9004
189,31.7497
190,29.7103
191,30.8968
192,30.8677
193,30.0030
194,31.4903
195,32.2976
196,30.3116
197,31.1139
198,31.9816
199,29.7148
200,31.9313
201,30.2294
202,31.4754
203,31.0315
204,33.9711
205,31.7304
206,31.9687
207,30.5581
208,31.6126
209,33.8834
210,30.9582
211,31.8992
212,42.2793
213,33.8326
214,35.3674
215,29.6147
216,31.0376
217,30.0708
218,30.4156
219,31.8303
220,33.2558
221,35.0182
222,40.9785
223,30.1287
224,30.6002
225,32.8625
226,33.4141
227,37.9891
228,35.4093
229,31.2589
230,30.4672
231,30.8312
232,30.8289
233,31.6105
234,32.1265
235,30.8374
236,31.3657
237,36.2205
238,30.3666
239,32.2908
240,30.7031
241,32.2648
242,34.1502
243,30.6352
244,29.9782
245,34.3184
246,31.0694
247,38.5943
248,30.2562
249,32.5425
250,30.7768
251,30.9272
252,39.3818
253,32.9971
254,29.4465
255,31.4188
256,31.6118
257,33.5867
258,34.4408
259,32.3511
260,30.8869
261,31.2110
262,31.2605
263,31.3490
264,30.3642
265,38.8723
266,31.1703
267,30.5469
268,31.9786
269,30.7452
270,31.4189
271,41.0582
272,30.7951
273,32.0789
274,30.7781
275,30.6306
276,31.4862
277,31.5701
278,30.1912
279,30.5961
280,33.2878
281,31.1924
282,29.3090
283,31.3340
284,32.8054
285,41.0458
286,35.3915
287,29.5442
288,42.4618
289,33.1497
290,29.7603
291,30.9580
292,31.2928
293,30.0288
294,30.3055
295,30.8896
296,31.3428
297,31.1568
298,29.1479
299,30.1531
300,31.5648
301,34.9714
302,31.0285
303,30.8795
304,29.7539
305,31.0346
306,32.0648
307,32.7949
308,31.2546
309,30.6464
310,30.1879
311,31.6722
312,34.3017
313,30.2047
314,34.2701
315,30.2560
316,29.5793
317,31.2384
318,30.6009
319,33.4204
320,31.2086
321,30.9352
322,30.9198
323,31.0739
324,31.4934
325,32.1771
326,32.2722
327,29.1395
328,30.8939
329,31.9905
330,31.2530
331,41.4743
332,33.1697
333,32.4271
334,30.4987
335,30.7727
336,31.4466
337,29.9073
338,32.3213
339,30.2981
340,31.1809
341,29.4863
342,30.6261
343,30.2438
344,33.3193
345,32.2596
346,29.4866
347,30.4846
348,39.1218
349,32.3495
350,31.5485
351,36.2080
352,35.0430
353,29.3708
354,30.0057
355,30.3068
356,30.2292
357,30.5646
358,33.2417
359,32.7130
360,31.0635
361,30.8819
362,30.6017
363,31.6389
364,30.2689
365,29.5539
366,31.2876
