timestamp_s,power_W
0.0681,32.48
0.1214,32.76
0.1774,32.76
0.2305,43.54
0.2859,43.54
0.3410,67.98
0.3951,67.98
0.4503,47.10
0.5127,65.08
0.5723,65.08
0.6330,57.99
0.6961,57.99
0.7560,68.26
0.8178,62.11
0.8791,62.11
0.9412,74.31
1.0066,61.72
1.0733,61.72
1.1271,76.23
1.1852,76.23
1.2448,67.31
1.3054,67.31
1.3675,68.40
1.4406,76.67
1.4957,76.67
1.5534,71.16
1.6128,71.16
1.6799,66.86
1.7347,66.73
1.7889,66.73
1.8429,75.05
1.8968,75.05
1.9570,74.67
2.0181,74.67
2.0774,77.93
2.1389,70.91
2.2012,70.91
2.2604,73.40
2.3241,73.40
2.3834,69.28
2.4446,72.83
2.5059,72.83
2.5676,69.36
2.6366,71.85
2.6939,71.85
2.7518,67.72
2.8127,67.72
2.8730,69.36
2.9350,69.36
2.9948,62.80
3.0564,61.82
3.1199,61.82
3.1792,64.88
3.2413,64.88
3.3000,69.65
3.3618,71.03
3.4230,71.03
3.4835,71.37
3.5477,71.37
3.6060,68.64
3.6670,67.68
3.7279,67.68
3.8092,75.79
3.8630,70.34
3.9183,70.34
3.9725,71.71
4.0345,71.71
4.0954,61.04
4.1557,61.04
4.2172,67.15
4.2786,66.37
4.3393,66.37
4.3960,65.64
4.4503,65.64
4.5090,73.85
4.5737,69.91
4.6308,69.91
4.6878,72.88
4.7452,72.88
4.8076,65.76
4.8673,65.76
4.9281,70.50
4.9902,71.92
5.0508,71.92
5.1213,69.47
5.1749,75.45
5.2538,75.45
5.3075,65.33
5.3635,65.33
5.4182,61.04
5.4821,61.04
5.5412,66.30
5.5988,63.87
5.6535,63.87
5.7077,78.66
5.7633,78.66
5.8234,73.56
5.8811,73.56
5.9350,69.25
5.9902,69.25
6.0475,71.65
6.1070,75.50
6.1698,75.50
6.2293,72.30
6.2952,72.30
6.3520,73.60
6.4127,71.55
6.4747,66.36
6.5591,66.36
6.6175,61.29
6.6775,61.29
6.7397,61.29
6.7999,61.29
6.8617,62.70
6.9393,64.55
6.9935,64.55
7.0476,68.03
7.1111,65.52
7.1684,65.52
7.2265,66.55
7.2879,66.55
7.3507,56.42
7.4117,63.54
7.4776,63.54
7.5352,64.10
7.6211,47.91
7.6781,47.91
7.7384,73.36
7.7976,73.36
7.8596,68.19
7.9368,34.06
7.9899,34.06
8.0441,68.48
8.1023,68.48
8.1684,65.72
8.2237,63.42
8.3061,63.42
8.3671,77.54
8.4277,77.54
8.4904,75.11
8.5512,67.76
8.6110,59.09
8.7540,42.58
8.8156,42.58
8.8926,62.87
8.9494,53.32
9.0027,53.32
9.0787,63.09
9.1448,63.09
9.2067,64.77
9.2652,59.69
9.3247,59.69
9.3898,61.82
9.4532,69.36
9.5121,69.36
9.5752,65.00
9.6372,65.00
9.6912,74.04
9.8204,74.04
9.8754,67.12
9.9349,67.12
9.9967,71.76
10.0553,71.76
10.1089,74.13
10.1656,72.21
10.2216,72.21
10.2804,69.52
10.3410,69.52
10.4028,66.30
10.4642,66.30
10.5250,63.83
10.5862,54.85
10.6474,54.85
10.7073,61.84
10.7705,61.84
10.8317,67.30
10.8863,68.82
10.9398,68.82
10.9952,71.19
11.0543,71.19
11.1186,69.35
11.1813,71.85
11.2404,71.85
11.2996,75.45
11.3623,75.45
11.4205,77.45
11.4739,77.45
11.5272,75.59
11.6047,68.69
11.7008,73.31
11.7547,73.31
11.8091,65.92
11.8688,65.92
11.9291,70.95
11.9829,70.95
12.0366,73.21
12.0952,73.21
12.1524,74.73
12.2086,77.30
12.2628,77.30
12.3190,62.07
12.3771,62.07
12.4395,61.28
12.4990,61.28
12.5620,63.87
12.6220,60.92
12.6844,60.92
12.7438,67.64
12.8082,67.64
12.8694,70.64
12.9293,73.49
12.9897,73.49
13.0510,74.47
13.1125,74.47
13.1719,72.48
13.2262,76.33
13.3050,63.58
13.4200,63.58
13.4775,73.26
13.5382,70.32
13.6000,70.32
13.6669,61.70
13.7641,61.23
13.8297,57.62
13.8892,57.62
13.9473,55.70
14.0096,55.70
14.0690,60.51
14.1303,60.51
14.1912,64.57
14.2522,56.87
14.3153,56.87
14.3740,63.28
14.4466,67.26
14.5001,67.26
14.5593,75.36
14.6139,75.36
14.6695,66.94
14.7392,66.94
14.7930,58.41
14.8466,66.12
14.9080,66.12
14.9656,65.99
15.0283,65.99
15.0913,64.71
15.1499,64.71
15.2084,73.98
15.2623,75.35
15.3167,75.35
15.3719,76.18
15.4340,76.18
15.4959,84.60
15.5747,76.47
15.6421,76.47
15.6987,71.56
15.7581,71.56
15.8197,65.14
15.8827,60.82
15.9401,60.82
15.9933,62.05
16.0493,62.05
16.1049,56.48
16.1652,56.48
16.2263,79.05
16.2892,72.37
16.3493,72.37
16.4098,69.64
16.4789,63.81
16.5361,63.81
16.6200,72.75
16.6783,79.00
16.7393,79.00
16.7978,73.65
16.8573,73.65
16.9211,72.17
16.9818,67.15
