step_idx,forward_wall_ms
0,149.8693
1,29.2165
2,28.8917
3,30.2954
4,35.0719
5,30.6035
6,29.4377
7,31.4201
8,29.2926
9,30.0924
10,30.4474
11,30.5756
12,29.4861
13,30.2403
14,30.0731
15,34.5890
16,29.4071
17,32.1650
18,30.0285
19,28.7903
20,29.1518
21,30.5766
22,30.2447
23,29.7787
24,29.1637
25,29.4205
26,34.6562
27,28.9538
28,32.3365
29,32.0482
30,28.4012
31,29.3976
32,29.4402
33,29.9209
34,31.9498
35,30.0115
36,29.7038
37,29.1280
38,30.2944
39,29.0714
40,31.8608
41,30.6961
42,31.9368
43,29.4468
44,33.5490
45,36.5627
46,28.5264
47,28.9116
48,29.1739
49,28.6194
50,33.1073
51,29.2946
52,29.2193
53,30.0360
54,31.1379
55,30.6930
56,29.9112
57,29.3810
58,31.2680
59,35.6518
60,30.5268
61,30.2945
62,29.6210
63,30.7048
64,30.8487
65,28.6871
66,31.4697
67,29.3884
68,29.5311
69,29.8073
70,29.3128
71,34.3463
72,29.2721
73,32.0988
74,30.7376
75,28.8801
76,31.1703
77,28.4022
78,29.5557
79,29.1533
80,32.0180
81,29.6586
82,32.4376
83,29.5669
84,28.2450
85,31.4356
86,32.6830
87,30.1059
88,30.2151
89,30.6176
90,32.4324
91,29.1963
92,29.8531
93,29.3881
94,28.5524
95,31.6438
96,28.8416
97,29.5139
98,29.0927
99,30.7629
100,29.5821
101,29.8937
102,30.0404
103,29.4485
104,33.8109
105,29.8968
106,29.7251
107,29.9337
108,29.3654
109,28.9025
110,32.6580
111,29.5205
112,29.8252
113,29.7467
114,30.1288
115,31.2882
116,31.1751
117,32.1197
118,28.6069
119,29.4918
120,28.9752
121,29.8478
122,29.3119
123,31.3231
124,29.6269
125,29.7350
126,29.9814
127,29.5398
128,29.6475
129,29.9431
130,28.8250
131,30.0268
132,30.3263
133,31.6848
134,29.4581
135,30.2213
136,29.1613
137,31.5176
138,30.3526
139,30.1219
140,31.0242
141,29.6919
142,29.1455
143,30.9349
144,29.3504
145,29.9757
146,29.9704
147,28.8551
148,29.8892
149,29.0293
150,31.3860
151,30.5873
152,29.9301
153,28.4630
154,31.1980
155,30.1571
156,29.7756
157,29.6832
158,29.2536
159,30.0943
160,29.8075
161,32.6720
162,29.6699
163,29.0027
164,30.9376
165,32.3514
166,30.2622
167,28.9523
168,33.5360
169,29.0745
170,29.5167
171,30.6483
172,38.6449
173,30.5286
174,31.8645
175,29.1691
176,29.0428
177,31.4094
178,31.1789
179,31.7063
180,29.2138
181,32.4423
182,35.9755
183,28.2214
184,30.4560
185,29.8047
186,29.1037
187,29.8353
188,31.2350
189,30.2634
190,27.8007
191,29.6957
192,32.2567
193,28.7602
194,30.6543
195,29.0682
196,29.2229
197,29.1675
198,29.6721
199,27.9848
200,31.7410
201,28.4559
202,30.2136
203,29.1694
204,33.5783
205,29.2236
206,29.7271
207,30.9941
208,33.4251
209,28.5650
210,31.8681
211,31.6620
212,28.8593
213,28.9814
214,31.3618
215,29.0059
216,30.0163
217,29.4757
218,29.5668
219,30.2428
220,31.0855
221,39.7605
222,35.7358
223,27.7203
224,30.0779
225,30.1645
226,29.5773
227,29.5456
228,29.9596
229,29.5008
230,30.2100
231,32.2913
232,34.4706
233,30.5160
234,30.8963
235,28.9781
236,31.2851
237,30.9023
238,33.7029
239,29.5928
240,27.9569
241,33.2012
242,32.6617
243,28.9999
244,28.5417
245,31.1018
246,28.6399
247,33.2180
248,29.3163
249,28.5198
250,30.4306
251,28.8885
252,32.8354
