timestamp_s,power_W
0.0737,33.88
0.1395,32.20
0.2006,32.20
0.2980,32.49
0.3624,32.70
0.4263,32.70
0.4968,33.28
0.5716,32.57
0.6557,32.78
0.7237,32.78
0.8049,33.37
0.8643,32.61
0.9292,32.61
0.9895,33.32
1.0886,33.08
1.1546,32.61
1.2189,32.61
1.2819,32.78
1.3464,32.49
1.4163,32.49
1.4771,33.02
1.5419,32.75
1.6029,32.75
1.6614,33.43
1.7337,33.08
1.8080,33.08
1.8635,33.75
1.9460,25.84
2.0281,25.84
2.0908,25.92
2.1681,25.63
2.2433,25.73
2.3092,25.73
2.3756,25.74
2.4342,25.74
2.4968,26.32
2.5592,25.74
2.6165,25.74
2.6765,25.74
2.7384,25.94
2.8057,25.94
2.8893,25.67
2.9579,25.63
3.0252,25.66
3.1806,25.66
3.2439,25.66
3.3071,25.54
3.4124,25.54
3.4791,25.54
3.5440,25.66
3.6180,25.66
3.6825,25.64
3.7492,25.78
3.8040,25.78
3.8669,25.54
3.9350,25.54
3.9995,25.75
4.0721,26.25
4.2074,25.66
4.2656,25.74
4.3549,25.64
4.4384,25.64
4.5121,25.85
4.5841,25.56
4.6695,25.64
4.7440,25.64
4.8068,25.74
4.8662,25.66
4.9317,25.66
4.9974,25.56
5.0870,25.54
5.2144,25.54
5.2775,25.66
5.3422,25.66
5.4085,25.74
5.4727,25.64
5.5367,25.64
5.6025,26.34
5.6674,25.54
5.7370,25.54
5.8034,25.75
5.8682,25.60
5.9263,25.60
5.9801,25.92
6.0454,25.92
6.1045,25.75
6.1648,25.56
6.2804,25.56
6.3593,25.66
6.4391,25.66
6.5096,25.77
6.5789,25.77
6.6523,25.66
6.7144,25.84
6.8321,25.84
6.8912,25.54
6.9465,25.54
7.0093,25.66
7.0637,25.66
7.1204,25.66
7.1799,25.44
7.2352,25.44
7.2956,25.77
7.3801,25.66
7.4380,25.66
7.4967,25.82
7.5530,25.82
7.6200,25.74
7.6876,25.67
7.7520,25.67
7.8103,25.74
7.8649,26.05
7.9320,26.05
7.9931,26.25
8.0746,25.66
8.1293,25.66
8.1903,25.66
8.5915,25.47
8.6627,25.56
8.7214,25.56
8.7926,25.67
8.8468,25.67
8.9049,25.66
9.0106,25.64
9.0718,25.47
9.1278,25.47
9.1839,25.66
9.2410,25.66
9.3249,25.66
9.4074,25.56
9.4674,25.56
9.5432,25.56
9.6229,25.61
9.6850,25.66
9.7559,25.66
9.8195,25.77
9.8840,25.66
9.9477,25.66
10.0270,25.54
10.1050,25.56
10.1992,25.56
10.2618,25.56
10.3299,25.66
10.3941,25.52
10.4600,25.52
10.5234,25.77
10.5874,25.52
10.6512,25.52
10.7150,25.74
10.7833,25.56
10.8466,25.56
10.9118,25.66
10.9779,25.44
11.0426,25.44
11.1058,25.64
11.1690,25.46
11.2326,25.46
11.2963,25.54
11.3617,25.54
11.4249,25.84
11.4882,25.46
11.5584,25.46
11.6571,25.46
11.7211,25.66
11.7867,25.44
11.8529,25.54
11.9787,25.54
12.0578,25.54
12.1219,25.54
12.1851,25.56
12.2501,25.56
12.3186,26.23
12.3879,25.85
12.4574,25.85
12.5195,26.33
12.5847,25.43
12.6607,25.43
12.7281,25.75
12.7893,25.56
12.8905,25.54
12.9546,25.54
13.0147,25.56
13.0848,25.61
13.1605,25.61
13.2200,25.64
13.2840,25.49
13.3532,25.49
13.4241,25.57
13.4932,25.57
13.5824,25.56
13.6468,25.56
13.7105,25.56
13.7817,25.75
13.8497,25.75
13.9148,25.57
14.0035,25.47
14.0684,25.47
14.1350,25.66
14.1981,25.56
14.2573,25.56
14.3314,25.77
14.3857,25.56
14.4409,25.56
14.5069,25.88
14.5757,25.88
14.6351,25.75
14.6922,25.75
14.7512,25.75
14.8120,25.57
14.8759,25.57
14.9369,25.61
15.0102,25.54
15.0684,25.54
15.1230,25.67
15.1962,25.47
15.2677,25.46
15.3651,25.46
15.4409,25.56
15.5058,25.67
15.5806,25.46
15.6769,25.46
15.7687,25.75
15.8326,25.56
15.9111,25.57
15.9870,25.54
16.0532,25.54
16.1183,25.85
16.1881,25.53
16.2639,25.53
16.3830,25.74
16.4637,25.71
16.5499,25.94
16.6529,25.46
16.7335,26.12
16.8049,25.43
16.8662,25.43
16.9749,25.56
17.0521,25.54
17.1110,25.44
17.1747,25.46
17.2640,25.46
17.3630,25.63
17.4274,25.43
17.4858,25.43
17.5410,25.64
17.5984,25.54
17.6828,25.46
17.7709,25.46
17.8399,25.74
17.9022,25.43
17.9763,25.43
18.0396,25.56
18.1035,25.57
18.1663,25.57
18.2278,25.54
18.2912,25.53
18.3630,25.53
18.4340,25.64
18.5020,25.54
18.5813,25.54
18.6529,25.66
18.7419,25.73
18.8084,25.54
18.8771,25.54
18.9379,25.54
19.0138,25.46
19.0784,25.46
19.1435,25.66
19.2089,25.44
19.2733,25.44
19.3367,25.54
19.4002,25.64
19.4633,25.64
19.5299,25.64
19.5938,25.64
19.6609,25.53
19.7399,25.92
19.8039,25.44
19.8742,25.44
19.9390,25.56
20.0032,25.44
20.0665,25.44
20.1330,25.44
20.1966,25.44
20.2623,25.44
20.3271,25.44
20.3920,25.44
20.4580,25.71
20.5291,25.54
20.6195,25.56
20.6831,25.56
20.7465,25.75
20.8098,25.46
20.8736,25.46
20.9370,25.46
21.0004,25.44
21.0639,25.44
21.1280,25.46
21.1927,25.46
21.2580,25.75
21.3245,25.46
21.3869,25.46
21.4603,25.87
21.5256,25.63
21.5863,25.63
21.6476,25.54
21.7043,25.54
21.7665,25.54
21.8255,25.44
21.8889,25.44
21.9514,25.64
22.0129,25.46
22.0695,25.46
22.1379,25.56
22.2066,25.44
22.2672,25.44
22.3510,25.64
22.4249,25.54
22.5011,25.54
22.5686,26.25
22.6430,25.46
22.7066,25.64
22.7714,25.64
22.8360,25.54
22.9000,25.46
22.9956,25.46
23.0596,25.56
23.1664,25.64
23.2302,25.36
23.2936,25.36
23.3562,25.46
23.4124,25.64
23.4750,25.64
23.5375,25.56
23.6023,25.56
23.6680,25.64
23.7258,40.06
23.7823,40.06
23.8405,30.61
23.9039,30.61
23.9633,45.69
24.0236,54.52
24.0840,54.52
24.1430,32.47
24.1973,32.47
24.2519,34.49
24.3079,34.49
24.3645,39.96
24.4891,39.96
24.5489,65.26
24.6021,65.26
24.6625,48.79
24.7167,62.67
24.7746,62.67
24.8338,66.55
24.8960,66.55
24.9550,44.61
25.0159,44.61
25.0775,75.31
25.1370,69.79
25.1899,69.79
25.2444,58.33
25.3016,58.33
25.3619,65.13
25.4339,66.05
25.4870,66.05
25.5449,59.75
25.6149,59.75
25.6711,64.78
25.7287,58.91
25.7908,58.91
25.8562,65.81
25.9129,65.81
25.9736,49.08
26.0319,49.08
26.0926,67.48
26.1534,58.50
26.2159,58.50
26.2760,55.24
26.3530,84.66
26.4061,84.66
26.4825,47.45
26.5388,47.45
26.6060,69.18
26.6623,63.87
26.7209,63.87
26.7745,51.69
26.8320,51.69
26.8858,75.60
26.9488,75.60
27.0028,33.85
27.0564,54.92
27.1104,54.92
27.1690,77.98
27.2292,77.98
27.2845,75.80
27.3379,75.80
27.3931,60.41
27.4815,51.66
27.5368,51.66
27.5922,70.79
27.6458,70.79
27.7001,58.13
27.7566,58.13
27.8162,81.42
27.8770,50.84
27.9386,50.84
27.9924,76.91
28.0468,76.91
28.1026,58.50
28.1587,58.50
28.2133,84.71
28.2848,66.01
28.4085,51.36
28.4639,66.65
28.5369,66.65
28.5951,84.42
28.6531,51.17
28.7328,51.17
28.7914,67.05
28.8553,67.05
28.9125,35.65
28.9759,35.65
29.0315,81.90
29.0864,52.67
29.1407,52.67
29.1982,66.23
29.2586,66.23
29.3259,63.95
29.3818,63.95
29.4405,51.10
29.5022,83.89
29.5590,64.22
29.6508,64.22
29.7077,46.30
29.7673,46.30
29.8286,55.99
29.8884,40.13
29.9531,40.13
30.0095,86.97
30.0633,86.97
30.1180,65.45
30.1712,65.45
30.2252,52.63
30.2811,52.63
30.3371,53.97
30.3959,53.97
30.4507,50.29
30.5044,76.91
30.5647,76.91
30.6502,59.44
30.7040,74.00
30.7699,74.00
30.8240,58.01
30.8851,58.01
30.9451,68.00
31.0059,68.00
31.0657,48.06
31.1191,73.56
31.1724,73.56
31.2297,72.15
31.2892,56.15
31.3795,56.15
31.4369,75.84
31.4946,75.84
31.5553,58.16
31.6162,58.16
31.6770,46.30
31.7348,84.77
31.7979,84.77
31.8560,50.74
31.9197,65.98
31.9842,54.43
32.0859,54.43
32.1558,76.72
32.2164,76.72
32.2696,58.86
32.3275,58.86
32.3917,62.07
32.4513,38.48
32.5121,38.48
32.5745,52.70
32.6359,57.72
32.6981,57.72
32.7559,62.76
32.8149,62.76
32.8685,48.19
32.9226,48.19
32.9803,60.79
33.0394,60.79
33.1010,76.81
33.1606,51.56
33.2152,51.56
33.2689,69.61
33.3306,69.61
33.3840,78.13
33.4466,78.13
33.5068,62.40
33.5675,50.91
33.6209,50.91
33.6775,46.96
33.7488,46.96
33.8125,75.01
33.8734,43.83
33.9331,43.83
33.9866,77.01
34.0424,77.01
34.0967,52.57
34.1588,56.70
34.2157,56.70
34.2784,75.21
34.3389,75.21
34.3927,55.05
34.4468,55.05
34.5027,51.10
34.5639,51.10
34.6243,58.27
34.6853,67.02
34.7492,67.02
34.8129,61.82
34.8696,50.68
34.9533,50.68
35.0115,75.41
35.0703,60.53
35.1537,60.53
35.2120,60.37
35.2656,60.37
35.3197,46.07
35.3765,46.07
35.4375,57.35
35.4940,55.05
35.5483,55.05
35.6063,77.11
35.6608,77.11
35.7206,57.81
35.7825,57.81
35.8463,49.41
35.9129,68.44
35.9699,78.08
36.0581,78.08
36.1126,55.30
36.1704,55.30
36.2311,65.63
36.2886,65.63
36.3432,65.89
36.4334,56.42
36.4929,88.02
36.5579,88.02
36.6155,58.33
36.6771,58.33
36.7379,55.44
36.7987,55.44
36.8589,82.59
36.9263,57.62
36.9900,57.62
37.0439,50.90
37.1016,50.90
37.1549,82.12
37.2508,47.18
37.3060,85.00
37.3699,85.00
37.4250,50.74
37.4794,50.74
37.5359,79.59
37.5937,79.59
37.6519,84.63
37.7761,84.63
37.8350,39.17
37.9006,39.17
37.9598,67.62
38.0189,53.06
38.0816,53.06
38.1409,67.03
38.2057,67.03
38.2640,43.83
38.3224,43.83
38.3767,77.88
38.4307,39.76
38.4907,39.76
38.5513,79.10
38.6172,79.10
38.6705,56.71
38.7279,56.71
38.7809,77.93
38.8345,60.65
38.8966,60.65
38.9530,56.06
39.0199,81.92
39.0996,81.92
39.1580,57.23
39.2191,57.23
39.2860,77.64
39.3411,62.34
39.4041,62.34
39.4593,51.46
39.5135,51.46
39.5665,76.81
39.6265,76.81
39.6852,66.90
39.7457,50.78
39.8104,50.78
39.8683,53.45
39.9298,53.45
39.9897,79.59
40.0804,57.98
40.1349,57.98
40.1941,46.30
40.2756,67.27
40.3463,67.27
40.4011,66.33
40.4600,58.68
40.5216,58.68
40.5864,73.85
40.6447,73.85
40.7016,69.66
40.7625,69.66
40.8166,61.82
40.8709,50.68
40.9291,50.68
40.9879,66.48
41.0510,66.48
41.1080,87.75
41.1619,87.75
41.2148,55.27
41.2735,65.74
41.3373,65.74
41.3950,66.13
41.4521,66.13
41.5061,54.36
41.5609,54.36
41.6262,68.29
41.6795,63.67
41.7469,63.67
41.8031,57.26
41.8671,57.26
41.9273,77.98
41.9800,77.98
42.0356,87.97
42.0883,46.05
42.1515,46.05
42.2068,76.77
42.2733,76.77
42.3309,56.74
42.4558,56.74
42.5128,80.07
42.5721,80.07
42.6358,54.33
42.6952,68.87
