timestamp_s,power_W
0.0619,151.23
0.1134,147.68
0.1644,147.68
0.2146,146.82
0.2650,146.82
0.3160,146.72
0.3664,146.72
0.4169,147.15
0.4670,147.15
0.5174,146.49
0.5683,146.49
0.6183,147.17
0.6693,147.17
0.7195,146.84
0.7698,146.84
0.8209,146.62
0.8714,146.62
0.9216,147.80
0.9719,147.80
1.0223,151.20
1.0730,151.20
1.1233,154.28
1.1733,154.28
1.2244,155.08
1.2746,155.08
1.3248,155.87
1.3749,155.87
1.4259,155.53
1.4770,155.53
1.5280,156.03
1.5791,156.03
1.6298,155.23
1.6800,155.23
1.7301,154.85
1.7810,154.85
1.8320,155.53
1.8825,155.53
1.9326,154.96
1.9831,154.96
2.0332,154.74
2.0834,154.74
2.1336,155.21
2.1837,155.21
2.2340,154.62
2.2841,154.62
2.3342,155.35
2.3849,155.35
2.4352,155.03
2.4854,155.03
2.5355,154.74
2.5865,154.74
2.6370,155.63
2.6873,155.63
2.7374,155.71
2.7877,155.71
2.8388,156.37
2.8890,156.37
2.9400,156.09
2.9901,156.09
3.0402,155.21
3.0903,155.21
3.1403,155.64
3.1908,155.64
3.2414,154.60
3.2916,154.60
3.3419,154.74
3.3922,154.74
3.4423,154.40
3.4933,154.40
3.5445,154.62
3.5949,154.62
3.6460,154.99
3.6971,154.99
3.7472,155.62
3.7984,155.62
3.8488,154.78
3.8995,154.78
3.9506,155.03
4.0009,155.03
4.0519,155.05
4.1030,155.05
4.1540,155.50
4.2041,155.23
4.2543,155.23
4.3044,154.85
4.3555,154.85
4.4063,155.10
4.4567,155.10
4.5078,155.32
4.5583,155.32
4.6092,154.73
4.6596,154.73
4.7100,154.39
4.7601,154.39
4.8112,154.85
4.8613,154.85
4.9124,156.43
4.9624,156.43
5.0139,156.08
5.0648,156.08
5.1157,155.84
5.1658,155.84
5.2161,157.15
5.2668,157.15
5.3169,157.77
5.3677,157.77
5.4181,157.92
5.4690,157.92
5.5190,158.90
5.5707,158.90
5.6213,159.33
5.6724,159.33
5.7235,159.03
5.7741,159.03
5.8247,159.51
5.8758,159.51
5.9264,158.43
5.9769,158.43
6.0280,157.81
6.0790,157.81
6.1290,157.25
6.1792,157.25
6.2296,157.72
6.2799,157.72
6.3299,156.65
6.3800,156.65
6.4311,156.66
6.4822,156.66
6.5331,156.52
6.5841,156.52
6.6341,155.43
6.6854,155.43
6.7356,155.67
6.7859,155.67
6.8369,154.99
6.8877,154.99
6.9383,154.91
6.9887,154.91
7.0388,155.25
7.0890,155.25
7.1391,156.24
7.1893,156.24
7.2401,155.34
7.2912,155.34
7.3415,155.42
7.3922,155.42
7.4423,154.61
7.4927,154.61
7.5429,153.89
7.5937,153.89
7.6437,154.79
7.6939,154.79
7.7449,154.53
7.7952,154.53
7.8462,154.68
7.8973,154.68
7.9484,156.19
7.9986,156.19
8.0496,156.20
8.1000,156.20
8.1512,156.82
8.2013,156.82
8.2514,157.76
8.3020,157.76
8.3520,158.35
8.4025,158.35
8.4535,158.83
8.5035,158.83
8.5537,160.03
8.6041,160.03
8.6550,158.84
8.7061,159.09
8.7570,159.09
8.8081,158.58
8.8588,158.58
8.9089,157.53
8.9590,157.53
9.0091,157.47
9.0591,157.47
9.1093,156.62
9.1596,156.62
9.2105,156.93
9.2606,156.93
9.3107,156.32
9.3613,156.32
9.4113,156.30
9.4622,156.30
9.5128,156.11
9.5632,156.11
9.6133,156.43
9.6649,156.43
9.7152,156.38
9.7653,156.38
9.8156,155.63
9.8661,155.63
9.9162,155.67
9.9671,155.67
10.0176,156.10
10.0684,156.10
10.1192,156.07
10.1703,156.07
10.2203,155.87
10.2707,155.87
10.3207,156.75
10.3708,156.75
10.4209,156.98
10.4721,156.98
10.5227,156.69
10.5733,156.69
10.6244,157.82
10.6751,157.82
10.7252,159.37
10.7756,159.37
10.8257,160.13
10.8769,160.13
10.9270,160.06
10.9773,160.06
11.0275,159.36
