step_idx,forward_wall_ms
0,6089.3790
1,5726.4952
2,4.7713
3,4.3179
4,4.2480
5,4.0073
6,4.3008
7,4.1029
8,4.0528
9,5.1217
10,4.2222
11,3.9604
12,4.2361
13,4.0394
14,7.0323
15,4.2120
16,4.1820
17,3.8516
18,6.3365
19,4.3023
20,6.6660
21,4.2174
22,6.8570
23,4.2474
24,4.1006
25,3.9478
26,4.2396
27,3.8645
28,3.8043
29,6.7982
30,6.6273
31,4.3715
32,7.3386
33,4.0995
34,7.7672
35,4.5894
36,4.0525
37,4.0619
38,4.1759
39,4.0175
40,4.2958
41,4.2460
42,4.0920
43,4.0489
44,4.0340
45,6.9031
46,4.0403
47,6.7534
48,3.9411
49,3.9819
50,4.1884
51,4.0588
52,4.0279
53,4.0120
54,8.6793
55,4.3140
56,6.4497
57,3.9351
58,8.1561
59,4.2734
60,4.2205
61,4.1092
62,4.5539
63,4.1281
64,4.1616
65,4.4692
66,5.1557
67,4.3503
68,4.2887
69,4.0033
70,9.3055
71,4.0381
72,4.1883
73,4.0431
74,6.9157
75,4.1090
76,7.5482
77,3.9921
78,5.6335
79,4.5634
80,7.1328
81,4.0961
82,7.9695
83,4.1313
84,4.1045
85,3.9671
86,9.5602
87,4.1385
88,4.8851
89,4.0384
90,4.1787
91,4.0679
92,4.1158
93,3.9760
94,4.4345
95,4.3214
96,6.1075
97,4.1849
98,4.1214
99,3.9970
100,5.1941
101,4.1096
102,4.7897
103,3.6671
104,4.3813
105,4.0400
106,4.0388
107,3.9204
108,4.0868
109,4.0872
110,4.1657
111,4.0106
112,4.7364
113,4.0714
114,4.2063
115,4.0147
116,4.2024
117,4.0921
118,8.2764
119,4.0982
120,4.6933
121,4.2357
122,3.9003
123,4.9048
124,4.1527
125,4.0839
126,3.9578
127,4.2316
128,4.0313
129,5.8475
130,3.8783
131,5.1178
132,4.4707
133,7.4108
134,4.0455
135,7.5637
136,4.3335
137,8.6985
138,4.1652
139,4.2289
140,4.5857
141,4.6718
142,7.3076
143,6.5053
144,4.0928
145,4.1164
146,9.1010
147,4.1307
148,3.8047
149,4.2001
150,5.6796
151,3.9764
152,8.5434
153,4.0949
154,6.8656
155,22.1391
156,3.9509
157,4.3119
158,3.8013
159,4.1310
160,4.0773
161,4.1362
162,3.9670
163,4.2223
164,7.7983
165,4.9638
166,7.3984
167,4.0161
168,4.1335
169,4.0544
170,4.1726
171,4.5364
172,4.0953
173,4.1026
174,4.3086
175,4.7442
176,4.2329
177,3.9673
178,5.3906
179,4.0015
180,5.9874
181,4.2094
182,5.8379
183,4.1541
184,4.7586
185,4.2614
186,5.6589
187,5.1321
188,5.8040
189,4.1186
190,4.0337
191,4.0232
192,4.1485
193,3.7637
194,4.1123
195,4.5732
196,4.1771
197,4.8173
198,4.0642
199,4.2855
200,5.6690
201,4.1842
202,4.0815
203,4.1662
204,3.9274
205,4.0081
206,4.2226
207,24.4111
208,4.0419
209,3.9397
210,4.1678
211,4.1108
212,4.3091
213,4.1334
214,4.0061
215,7.9617
216,4.1645
217,4.8838
218,4.1163
219,7.0298
220,4.3482
221,7.1627
222,4.3600
223,3.9888
224,4.2894
225,4.1751
226,4.1483
227,4.1243
228,4.1915
229,4.0086
230,4.7733
231,4.1481
232,3.8671
233,4.0511
234,4.2446
235,4.0009
236,4.0905
237,4.0795
238,4.0120
239,4.7343
240,7.6763
241,4.4356
242,6.8139
243,4.1373
244,4.0984
245,4.1609
246,4.0462
247,4.1852
248,4.2048
249,4.1788
250,4.2710
251,4.1296
252,4.8634
253,6.9271
254,4.1271
255,9.1959
256,4.1376
257,7.8204
258,4.2811
259,7.9181
260,6.6999
261,4.2217
262,7.3764
263,4.2103
264,5.5834
265,4.1216
266,8.4968
267,4.1457
268,9.4157
269,4.4143
270,7.0999
271,7.8298
272,4.1011
273,5.3790
274,4.1617
275,4.1118
276,4.2094
277,3.9366
278,3.9160
279,10.1136
280,4.0955
281,4.5479
282,3.9780
283,4.1725
284,4.2163
285,4.1360
286,5.1093
287,4.0609
288,5.4896
289,4.0586
290,9.0639
291,6.2032
292,3.8442
293,4.0671
294,5.5270
295,5.6649
296,4.2542
297,4.1715
298,5.2821
299,4.1355
300,4.9611
301,4.1132
302,4.0362
303,4.0407
304,3.9573
305,4.1541
306,4.7441
307,4.4439
308,4.1984
309,4.1553
310,4.0264
311,7.0312
312,4.1364
313,4.0653
314,4.1976
315,4.1842
316,4.0804
317,4.5674
318,4.5488
319,4.1265
320,4.1052
321,4.2675
322,4.0365
323,4.0713
324,4.0117
325,4.3196
326,7.1776
327,3.7800
328,4.4741
329,4.7158
330,6.4317
331,3.9445
332,3.9074
333,4.0999
334,5.6074
335,4.1935
336,4.0082
337,3.9862
338,4.0647
339,7.8857
340,4.1986
341,6.7257
342,23.5229
343,5.9772
344,4.2058
345,6.1595
346,6.0739
347,3.8530
348,4.1472
349,4.0923
350,4.2339
351,6.8027
352,4.1445
353,6.2839
354,6.0508
355,4.1744
356,4.0816
357,9.8450
358,4.1595
359,4.0251
360,4.1295
361,4.1864
362,4.2913
363,6.0094
364,4.0059
365,3.9233
366,4.1007
367,4.0841
368,3.8694
369,4.1167
370,4.1759
371,4.2348
372,4.1215
373,4.1099
374,5.1097
375,4.2111
376,4.0617
377,4.0964
378,5.2132
379,4.5760
380,4.6313
381,6.6876
382,7.2751
383,4.2852
384,4.8198
385,9.2426
386,4.2498
387,7.7106
388,5.5176
389,4.2578
390,4.1549
391,4.6494
392,4.4685
393,4.7175
394,4.2242
395,4.3863
396,15.0199
397,4.8297
398,4.0443
399,3.9373
400,4.1328
401,4.1395
402,4.1572
403,4.0650
404,4.1503
405,4.0404
406,4.7462
407,8.4357
408,4.2602
409,4.1347
410,4.0663
411,3.9865
412,4.1874
413,3.9909
414,3.7876
415,4.2247
416,5.0012
417,4.1375
418,4.0723
419,8.1897
420,4.1971
421,6.6812
422,4.1331
423,4.1224
424,4.1801
425,5.0498
426,4.0820
427,7.6980
428,4.5605
429,4.1109
430,4.1622
431,3.8957
432,8.8388
433,4.1788
434,4.4151
435,4.1077
436,4.3387
437,4.6152
438,5.7598
439,4.1395
440,7.0236
441,4.2014
442,5.4992
443,4.0541
444,6.0748
445,4.2104
446,9.0683
447,4.1598
448,9.3111
449,4.2058
450,4.2143
451,4.3651
452,3.9941
453,4.2698
454,4.0995
455,4.1393
456,4.8014
457,4.3274
458,8.0880
459,4.1595
460,9.0554
461,4.5558
462,4.3017
463,4.2207
464,4.0613
465,4.1733
466,4.3017
467,3.8969
468,4.0857
469,3.8918
470,4.2312
471,8.3650
472,4.7285
473,4.4337
474,5.5259
475,4.2974
476,3.9254
477,3.6672
478,4.1669
479,3.9717
480,4.0952
481,4.4643
482,4.7367
483,4.8670
484,4.1895
485,6.2411
486,4.0420
487,4.7217
488,4.2776
489,4.3665
490,4.0726
491,6.3452
492,4.1767
493,4.8582
494,4.1878
495,4.4748
496,4.1291
497,4.2020
498,6.0207
499,4.0482
500,4.3351
501,4.1579
502,4.1585
503,7.4911
504,4.1663
505,6.2016
506,4.2525
507,4.2022
508,6.2329
509,3.9024
510,4.1023
511,4.1296
512,9.2148
513,4.2920
514,8.4178
515,4.3279
516,4.1844
517,4.2146
518,4.0398
519,4.0991
520,8.4172
521,4.1838
522,9.6189
523,3.9772
524,6.4778
525,4.3478
526,6.3029
527,4.2287
528,9.0580
529,4.3312
530,4.1109
531,4.0853
532,3.7203
533,5.8256
534,4.7330
535,8.1408
536,4.2999
537,4.2530
538,3.8746
539,4.2152
540,4.0902
541,8.7585
542,4.1974
543,9.0388
544,4.2536
545,4.5534
546,4.0105
547,4.2295
548,4.0202
549,4.1311
550,5.7792
551,4.1786
552,8.8776
553,4.2533
554,4.1911
555,4.6044
556,4.0514
557,4.2018
558,7.9014
559,4.0542
560,4.0716
561,3.8740
562,4.2670
563,4.1811
564,4.0091
565,4.6885
566,3.9267
567,8.0408
568,4.4153
569,4.3095
570,4.1326
571,8.1800
572,4.2406
573,8.3687
574,4.0808
575,9.5108
576,18.0869
577,4.0376
578,6.9748
579,4.1687
580,3.9570
581,4.1101
582,4.2691
583,4.4381
584,4.1941
585,8.1874
586,4.1783
587,9.7627
588,4.0807
589,6.5498
590,4.1753
591,4.1013
592,3.9752
593,4.1037
594,4.2803
595,8.8008
596,4.1407
597,5.9624
598,4.6962
599,7.0699
600,4.1875
601,8.7059
602,5.5682
603,4.1266
604,4.1809
605,4.1499
606,7.9736
607,3.9679
608,8.1449
609,6.8001
610,4.0727
611,6.2321
612,4.1839
613,7.7949
614,4.2205
615,4.1759
616,8.3217
617,7.3444
618,4.6780
619,3.9979
620,3.9896
621,3.9701
622,3.7813
623,4.1968
624,4.1844
625,4.1586
626,4.1363
627,4.0983
628,4.1223
629,4.0665
630,4.6995
631,9.2611
632,4.0805
633,3.7262
634,4.2532
635,4.1286
636,3.9888
637,4.5666
638,4.2482
639,4.0720
640,4.2210
641,4.8478
642,4.1962
643,4.2834
644,6.0826
645,4.2067
646,4.0320
647,4.0809
648,4.0722
649,4.0875
650,4.0759
651,4.2234
652,4.9363
653,4.2262
654,4.2636
655,4.1988
656,4.1401
657,4.6610
658,4.9391
659,4.1650
660,4.2534
661,3.9215
662,4.0076
663,3.9852
664,8.1629
665,4.0474
666,4.2097
667,4.5316
668,4.1960
669,4.0249
670,4.1655
671,3.7794
672,4.6726
673,4.1483
674,4.1046
675,4.2243
676,7.8621
677,4.2230
678,4.0069
679,3.9009
680,8.6637
681,4.0258
682,6.6212
683,4.2180
684,6.2846
685,5.3522
686,4.1857
687,4.1538
688,6.0533
689,4.2385
690,7.7055
691,4.1587
692,5.4157
693,4.4898
694,6.8422
695,3.8696
696,4.3618
697,4.1584
698,4.1650
699,4.1212
700,7.4790
701,4.1139
702,4.1327
703,3.5874
704,6.0718
705,4.5774
706,4.0608
707,6.4993
708,4.1182
709,4.5872
710,4.1410
711,8.5962
712,4.1629
713,6.7393
714,4.1391
715,4.1426
716,3.9939
717,4.2236
718,4.4932
719,4.2389
720,4.0112
721,3.8255
722,4.1809
723,10.3224
724,4.3700
725,4.2506
726,4.2618
727,6.1341
728,4.1510
729,4.7744
730,4.1997
731,6.7789
732,4.3864
733,4.2000
734,4.3628
735,4.1511
736,6.2896
737,4.1979
738,3.8236
739,4.1909
740,7.9345
741,4.2914
742,6.7453
743,4.6916
744,3.9677
745,4.3771
746,3.9146
747,4.1894
748,4.3915
749,4.1504
750,4.1897
751,4.2704
752,5.7906
753,4.2627
754,4.1547
755,4.9967
756,4.1213
757,4.1753
758,4.2477
759,4.1614
760,4.1306
761,4.1011
762,4.2671
763,4.7284
764,19.4478
765,4.4343
766,7.3906
767,4.4499
768,6.4076
769,7.7481
770,4.5394
771,4.2688
772,6.6625
773,9.0421
774,4.5633
775,4.3397
776,6.7017
777,4.4029
778,7.7648
779,7.3347
780,4.4636
781,5.8688
782,4.3395
783,4.2727
784,3.9577
785,4.6290
786,5.0758
787,4.5438
788,4.0504
789,4.2611
790,4.4149
791,7.8709
792,4.2333
793,4.2517
794,4.1216
795,4.2067
796,4.7777
797,4.0998
798,4.2994
799,4.0246
800,3.9553
801,8.2290
802,4.2612
803,4.0073
804,4.0625
805,8.4369
806,3.9036
807,9.2110
808,6.6903
809,7.2165
810,3.9376
811,4.0205
812,4.0569
813,8.3586
814,4.2719
815,4.2377
816,4.2557
817,4.2523
818,6.0476
819,9.9058
820,5.2186
821,4.1451
822,4.1050
823,4.2385
824,4.1312
825,3.8316
826,4.0414
827,3.7660
828,3.9536
829,4.0173
830,8.2109
831,4.0968
832,7.1245
833,4.2461
834,9.1083
835,4.2821
836,4.1026
837,4.0868
838,4.0332
839,3.9013
840,4.0194
841,3.8278
842,4.2779
843,4.2062
844,8.7297
845,4.1966
846,7.7717
847,4.1457
848,4.1425
849,4.1604
850,9.4165
851,4.1419
852,4.2069
853,4.9164
854,3.9202
855,5.1106
856,3.9822
857,9.5514
858,4.1286
859,5.5057
860,4.0443
861,5.1033
862,3.8213
863,4.9481
864,4.1944
865,6.2567
866,4.1220
867,4.1543
868,4.1300
869,4.1715
870,4.1795
871,4.0427
872,4.6022
873,5.7948
874,4.1404
875,4.1480
876,4.0377
877,4.0765
878,4.3182
879,4.4110
880,4.1595
881,5.7609
882,7.9377
883,4.2803
884,4.7475
885,9.8662
886,4.0944
887,4.1898
888,3.9624
889,7.5255
890,4.2041
891,3.9784
892,4.0787
893,3.8708
894,4.1559
895,4.1000
896,6.1956
897,4.1234
898,4.2809
899,4.1440
900,4.4106
901,8.7892
902,4.1268
903,4.2079
904,4.1006
905,4.2399
906,6.1974
907,4.1293
908,4.0295
909,4.1141
910,4.1563
911,4.0739
912,4.0402
913,4.2290
914,5.7970
915,4.1107
916,5.5744
917,4.2261
918,4.1891
919,6.0250
920,4.2408
921,6.1440
922,4.2562
923,3.9890
924,4.1030
925,4.2899
926,4.2075
927,4.2417
928,3.9976
929,6.5340
930,4.1298
931,7.9805
932,4.3103
933,3.9890
934,8.3389
935,4.7161
936,9.0095
937,4.1353
938,4.2013
939,17.4931
940,4.0751
941,4.2090
942,3.9992
943,7.8264
944,4.1193
945,7.4729
946,4.1826
947,3.9526
948,15.4956
949,5.0877
950,4.2312
951,6.3967
952,4.2944
953,4.1082
954,3.8399
955,4.1774
956,4.0613
957,3.8585
958,4.1378
959,5.4146
960,4.6816
961,4.0688
962,4.1069
963,6.7830
964,4.0567
965,6.6404
966,4.0649
967,9.9226
968,4.2237
969,8.8011
970,4.3178
971,4.1028
972,4.0810
973,4.5577
974,8.6550
975,4.1032
976,4.2017
977,4.7393
978,4.0542
979,7.8616
980,4.3901
981,4.1505
982,4.0578
983,8.2142
984,4.8262
985,4.1582
986,3.9360
987,6.9938
988,4.0845
989,4.0968
990,3.9654
991,4.0747
992,3.9842
993,3.8762
994,5.2874
995,4.3061
996,4.3182
997,4.1916
998,4.1503
999,4.1262
