step_idx,forward_wall_ms
0,81.9347
1,4.9416
2,4.5381
3,4.6279
4,4.5983
5,4.7227
6,5.6652
7,6.5853
8,4.6231
9,4.7803
10,6.0855
11,4.5799
12,4.6956
13,4.6438
14,4.6728
15,4.6641
16,4.7489
17,7.0975
18,5.2101
19,6.5935
20,4.6839
21,4.6840
22,4.6467
23,4.7112
24,4.8864
25,4.6134
26,4.7212
27,5.0478
28,4.4269
29,7.5815
30,4.4301
31,4.7624
32,4.6872
33,6.7076
34,4.6851
35,6.9234
36,4.6661
37,4.6877
38,4.7499
39,4.6636
40,4.8139
41,4.6047
42,4.7156
43,4.7010
44,6.3867
45,4.8095
46,4.6117
47,4.7613
48,4.5413
49,4.6741
50,4.7188
51,6.2030
52,4.7023
53,6.8772
54,4.6090
55,5.1550
56,4.8071
57,6.2832
58,4.6580
59,7.3530
60,4.8078
61,6.9519
62,4.6567
63,6.8349
64,4.7096
65,4.6394
66,4.6470
67,4.6425
68,4.7835
69,5.7683
70,4.2995
71,4.6964
72,4.6721
73,4.5786
74,4.4813
75,4.6792
76,4.4109
77,4.3102
78,4.6778
79,4.6932
80,4.7600
81,7.9178
82,4.5703
83,4.6724
84,4.5942
85,4.6124
86,4.5790
87,4.7140
88,4.6327
89,7.0888
90,4.7755
91,7.9849
92,4.7287
93,6.0097
94,4.3148
95,4.6609
96,4.6538
97,4.7508
98,4.7754
99,4.7309
100,4.5771
101,4.6549
102,4.8277
103,4.2843
104,4.8868
105,8.9350
106,4.6877
107,7.3604
108,4.6861
109,4.6107
110,4.7008
111,7.3554
112,4.8907
113,8.2595
114,4.7338
115,4.6300
116,4.8373
117,4.7209
118,4.4435
119,4.6248
120,5.5299
121,5.0025
122,4.7468
123,6.7985
124,5.6055
125,4.6940
126,6.9274
127,6.3718
128,4.5591
129,4.7067
130,4.2511
131,4.7625
132,4.5902
133,4.6693
134,7.2773
135,4.8062
136,6.9229
137,4.7086
138,6.7466
139,4.7786
140,4.7629
141,6.5504
142,4.6037
143,6.7281
144,4.6709
145,4.6535
146,7.3035
147,4.6763
148,4.4131
149,4.6869
150,6.3068
151,4.5520
152,7.7747
153,6.2679
154,4.7040
155,4.8018
156,7.6942
157,4.7798
158,4.4651
159,4.7288
160,4.6622
161,4.7510
162,4.6990
163,7.9979
164,4.7402
165,5.7888
166,4.9119
167,4.5690
168,4.7721
169,4.7199
170,4.7339
171,4.8612
172,4.6569
173,4.6166
174,4.7810
175,4.6702
176,4.7737
177,4.6715
178,4.7160
179,6.6798
180,4.7306
181,6.3821
182,4.6977
183,4.7022
184,4.6632
185,4.8067
186,4.6718
187,5.1287
188,4.7106
189,4.6149
190,4.6414
191,4.6989
192,4.6731
193,6.3396
194,4.6762
195,6.2740
196,4.6889
197,4.6629
198,4.5089
199,4.3169
200,4.7029
201,4.7035
202,5.9361
203,4.6934
204,4.5339
205,4.6497
206,4.8773
207,4.5912
208,4.7650
