timestamp_s,power_W
0.0745,153.82
0.1249,153.82
0.1755,151.04
0.2259,151.04
0.2768,151.77
0.3277,151.77
0.3780,151.37
0.4281,151.37
0.4786,151.18
0.5289,151.18
0.5793,150.87
0.6304,150.87
0.6806,150.25
0.7311,150.25
0.7815,148.75
0.8316,148.75
0.8821,149.55
0.9323,149.55
0.9834,153.48
1.0344,153.48
1.0849,156.26
1.1349,156.26
1.1859,158.60
1.2362,158.60
1.2875,158.21
1.3379,158.21
1.3890,158.04
1.4399,158.04
1.4900,157.00
1.5410,157.00
1.5910,157.02
1.6411,157.02
1.6925,157.32
1.7439,157.32
1.7944,156.91
1.8455,156.91
1.8960,155.74
1.9465,155.74
1.9968,155.38
2.0468,155.38
2.0976,156.12
2.1478,156.12
2.1986,158.12
2.2487,158.12
2.2997,159.00
2.3497,159.00
2.4004,160.00
2.4508,160.00
2.5009,159.41
2.5519,159.41
2.6028,159.56
2.6529,159.56
2.7037,159.78
2.7538,159.78
2.8042,159.94
2.8552,159.94
2.9057,161.83
2.9565,161.83
3.0067,160.22
3.0573,160.22
3.1084,159.15
3.1588,159.15
3.2092,159.00
3.2598,159.00
3.3106,158.57
3.3615,158.57
3.4126,158.43
3.4626,158.43
3.5137,160.11
3.5638,160.11
3.6148,161.54
3.6649,161.54
3.7154,161.94
3.7656,161.94
3.8159,162.62
3.8661,161.68
3.9171,161.68
3.9680,163.14
4.0189,163.14
4.0704,162.24
4.1212,162.24
4.1716,161.54
4.2225,161.54
4.2739,160.31
4.3250,160.31
4.3759,159.79
4.4261,159.79
4.4768,159.59
4.5269,159.59
4.5777,158.23
4.6281,158.23
4.6789,157.74
4.7301,157.74
4.7810,157.01
4.8320,157.01
4.8831,157.17
4.9342,157.17
4.9843,156.42
5.0354,156.42
5.0857,157.46
5.1365,157.46
5.1866,156.36
5.2367,156.36
5.2881,157.63
5.3383,157.63
5.3884,158.80
5.4385,158.80
5.4887,157.72
5.5398,157.72
5.5906,157.19
5.6409,157.19
5.6918,156.32
5.7422,156.32
5.7929,156.17
5.8430,156.17
5.8939,156.49
5.9444,156.49
5.9951,156.82
6.0454,156.82
6.0963,157.24
6.1467,157.24
6.1970,157.95
6.2478,157.95
6.2984,158.24
6.3495,158.24
6.4001,157.35
6.4506,157.35
6.5016,159.05
6.5517,159.05
6.6025,159.26
6.6525,159.26
6.7036,158.90
6.7547,158.90
6.8055,159.35
6.8557,159.35
6.9060,159.62
6.9562,159.62
7.0072,159.22
7.0581,159.22
7.1083,158.29
7.1585,158.29
7.2094,157.75
7.2602,157.75
7.3106,157.80
7.3609,157.80
7.4110,157.66
7.4616,157.66
7.5121,156.25
7.5622,156.25
7.6131,157.67
7.6632,157.67
7.7146,158.13
7.7653,158.13
7.8154,159.03
7.8658,159.03
7.9159,159.59
7.9662,159.59
8.0177,160.56
8.0688,160.24
8.1189,160.24
8.1691,159.96
8.2197,159.96
8.2709,158.95
8.3219,158.95
8.3727,158.29
8.4228,158.29
8.4740,159.44
8.5248,159.44
8.5758,159.31
8.6267,159.31
8.6768,159.98
8.7272,159.98
8.7778,158.71
8.8290,158.71
8.8798,158.65
8.9298,158.65
8.9799,157.09
9.0305,157.09
9.0808,157.24
9.1310,157.24
9.1812,158.92
9.2319,158.92
9.2821,159.33
9.3335,159.33
9.3843,160.03
9.4355,160.03
9.4866,158.80
9.5375,158.80
9.5875,157.99
9.6377,157.99
9.6888,158.55
9.7398,158.55
9.7906,158.34
9.8410,158.34
9.8910,156.68
9.9420,156.68
9.9926,156.66
10.0431,156.66
10.0932,156.25
10.1436,156.25
10.1941,156.30
10.2446,156.30
10.2957,155.52
10.3465,155.52
10.3976,156.05
10.4477,156.05
10.4986,156.44
10.5487,156.44
10.5989,156.94
