step_idx,forward_wall_ms
0,77.6595
1,4.8313
2,4.6275
3,4.5412
4,4.5877
5,4.6299
6,5.6971
7,7.4289
8,4.9865
9,4.7809
10,7.1293
11,4.5521
12,4.6747
13,4.6096
14,4.6654
15,4.5969
16,4.7829
17,4.3793
18,4.7048
19,7.7472
20,5.0527
21,8.2113
22,4.6984
23,8.8629
24,4.7065
25,4.9939
26,4.6288
27,4.4746
28,4.2088
29,7.3818
30,4.3163
31,4.6839
32,4.7775
33,4.6283
34,4.5338
35,4.5970
36,4.4823
37,4.5714
38,4.6708
39,5.7282
40,4.8432
41,8.3560
42,4.7076
43,4.6340
44,4.6533
45,7.1866
46,4.6308
47,6.9296
48,4.5292
49,4.5821
50,4.5809
51,4.6207
52,6.1398
53,4.6889
54,4.5606
55,4.7795
56,6.3850
57,4.5145
58,4.4476
59,4.7253
60,4.7636
61,4.7176
62,4.6590
63,4.6892
64,4.5672
65,5.2790
66,4.6955
67,4.6476
68,4.7334
69,4.6765
70,4.2950
71,6.2465
72,4.6949
73,4.5395
74,6.5404
75,4.6885
76,7.0225
77,4.3455
78,4.6406
79,4.6127
80,4.6865
81,4.5305
82,4.4645
83,4.6042
84,5.7749
85,4.5397
86,4.5521
87,4.6659
88,4.6450
89,4.6335
90,4.7104
91,4.7161
92,4.6864
93,5.2822
94,4.3503
95,4.6825
96,4.6211
97,4.6420
98,9.5308
99,4.6980
100,4.6104
101,5.1929
102,5.7943
103,4.3918
104,4.8923
105,4.6765
106,4.5782
107,4.5722
108,4.5557
109,8.5650
110,4.7215
111,4.6386
112,4.6167
113,4.7091
114,4.5562
115,7.1139
116,4.7871
117,4.6722
118,6.4691
119,4.6102
120,7.5139
121,4.7818
122,8.1984
123,7.0186
124,4.6281
125,4.6232
126,5.1008
127,7.2654
128,4.5424
129,4.6430
130,8.6336
131,4.6688
132,8.1453
133,7.2202
134,4.6139
135,4.7606
136,4.7565
137,4.6660
138,8.0249
139,6.2079
140,4.6834
141,7.3887
142,4.5838
143,6.8013
144,4.7933
145,4.5861
146,8.2165
147,4.6348
148,4.3679
149,4.6572
150,6.3150
151,4.5747
152,4.5638
153,4.6202
154,7.0562
155,4.7080
156,8.6296
157,4.6614
158,4.3179
159,4.6945
160,4.6467
161,4.6646
162,4.5883
163,9.4356
164,4.8026
165,4.6576
166,4.8488
167,4.4718
168,4.6698
169,4.6459
170,8.0480
171,4.8510
172,6.9783
173,4.6258
174,7.4146
175,4.6975
176,7.7093
177,4.9530
178,4.7665
179,4.5085
180,4.6641
181,4.6234
182,4.7233
183,4.6801
184,7.3961
185,4.6986
186,4.6493
187,4.3376
188,4.9317
189,7.1473
190,4.5578
191,6.7155
192,4.6744
193,4.1998
194,4.5692
195,7.1135
196,4.5718
197,8.1118
198,4.7150
199,4.3967
200,7.7375
201,4.6827
202,4.5667
203,4.5479
204,4.9434
205,7.4415
206,7.2841
207,4.6315
208,4.7072
209,6.3831
210,7.6958
211,4.6484
212,6.3207
213,4.8128
214,7.6508
215,4.8890
216,4.8119
217,4.7110
218,4.6787
219,4.5456
220,4.7462
221,5.9573
222,4.6197
223,4.4759
224,4.7396
225,4.7945
226,4.6894
227,4.6492
228,4.6617
229,4.5081
230,4.7493
231,4.5805
232,4.3863
233,4.5946
234,4.7195
235,4.5638
236,4.6057
237,4.5829
238,4.6087
239,4.9493
240,4.5341
241,4.5976
242,7.1988
243,4.6893
244,6.8590
245,4.8329
246,4.5899
247,4.7079
248,4.5559
249,4.5988
250,4.6991
251,4.6431
252,4.6380
253,7.0535
254,4.5830
255,6.5028
256,4.6247
257,7.6154
258,4.7321
259,8.7987
260,4.5667
261,4.7965
262,4.7059
263,4.4942
264,4.6440
265,4.6776
266,4.4920
267,4.6875
268,4.9823
269,4.7223
270,4.5604
271,4.6507
272,4.5486
273,4.8462
274,4.6008
275,4.6504
276,4.8044
277,7.2292
278,4.3952
279,6.8420
280,4.5451
281,4.7737
282,4.5639
283,7.2452
284,4.7214
285,4.6183
286,4.5310
287,4.5720
288,4.2442
289,4.5874
290,4.4848
291,4.5355
292,4.4473
293,4.6193
294,4.6167
295,5.0629
296,5.6250
297,4.5713
298,5.9665
299,4.6862
300,4.3145
301,4.6243
302,4.8094
303,4.6109
304,4.0221
305,4.5977
306,4.6393
307,4.7171
308,4.7490
309,4.6581
310,4.6819
311,7.9897
312,4.7470
313,4.4890
314,4.6008
315,4.5834
316,4.5507
317,4.6872
318,4.6508
319,4.7178
320,4.6463
321,4.7566
322,4.6782
323,4.5734
324,4.4109
325,4.7773
326,5.9728
327,4.2092
328,4.5373
329,4.6705
330,7.3968
331,4.5499
332,4.5416
333,4.6550
334,4.2923
335,4.6134
336,4.4974
337,7.8119
338,4.6697
339,7.0164
340,4.6843
341,5.6674
342,4.6079
343,4.6014
344,5.5559
345,4.6061
346,5.5351
347,4.3115
348,4.5799
349,4.6355
350,4.7836
351,6.3971
352,4.5632
353,6.9608
354,4.6863
355,6.5868
356,4.5788
357,8.5125
358,4.6500
359,6.7445
360,4.6287
361,4.6915
362,4.6919
363,4.6395
364,4.3479
365,4.5116
366,4.6046
367,4.6091
368,5.9032
369,4.6117
370,5.7647
371,4.6485
372,4.5524
373,4.6347
374,4.5937
375,4.7694
376,4.5424
377,7.6381
378,4.7813
379,8.0556
380,4.7418
381,4.1820
382,4.7857
383,4.6806
384,4.5978
385,4.5599
386,4.5828
387,4.7486
388,5.3292
389,4.6887
390,5.0403
391,4.6198
392,4.5609
393,4.6702
394,5.1630
395,4.6283
396,6.9202
397,4.6740
398,4.6166
399,6.5749
400,4.6327
401,4.6452
402,6.2432
403,4.6375
404,5.4106
405,4.9244
406,4.4758
407,4.1840
408,8.2534
409,4.7490
410,4.7126
411,4.4565
412,5.6505
413,4.6446
414,4.2626
415,4.5804
416,4.6737
417,4.6550
418,4.8742
419,4.7021
420,7.5183
421,4.6499
422,7.0202
423,4.6177
424,7.1428
425,4.6751
426,4.6469
427,4.5222
428,6.8401
429,4.6608
430,7.8859
431,4.5712
432,4.7533
433,4.6910
434,6.3507
435,5.1872
436,4.6457
437,4.6356
438,4.5728
439,4.6089
440,4.6410
441,4.7030
442,4.7284
443,4.6143
444,4.6010
445,4.5616
446,4.5949
447,4.6169
448,4.6359
449,4.7734
450,4.6901
451,4.8812
452,4.6278
453,4.6348
454,4.5978
455,5.7253
456,4.6314
457,6.8079
458,4.5789
459,7.0343
460,4.7138
461,4.5838
462,4.8434
463,7.5649
464,4.5919
465,4.5831
466,4.8854
467,4.4565
468,6.2411
469,4.5679
470,7.8858
471,4.6538
472,4.6182
473,4.2980
474,6.6030
475,4.6968
476,4.3546
477,4.2276
478,8.1655
479,4.6698
480,7.1018
481,4.6560
482,4.4594
483,4.5846
484,4.5993
485,4.6541
486,4.6008
487,4.4009
488,8.2091
489,4.5468
490,4.6555
491,4.5224
492,6.8162
493,4.6331
494,7.6395
495,4.8238
496,6.6436
497,4.6778
498,4.5219
499,6.4624
500,4.7073
501,6.8722
502,4.6577
503,6.3589
504,4.6188
