timestamp_s,power_W
0.0595,148.95
0.1103,146.14
0.1614,146.14
0.2129,144.37
0.2631,144.37
0.3132,144.71
0.3637,144.71
0.4149,144.28
0.4652,144.28
0.5154,144.59
0.5655,144.59
0.6159,144.40
0.6660,144.40
0.7171,145.19
0.7672,145.19
0.8180,145.47
0.8681,145.47
0.9192,145.38
0.9692,145.38
1.0192,148.16
1.0702,148.16
1.1213,152.86
1.1719,152.86
1.2222,154.42
1.2723,154.42
1.3230,154.66
1.3731,154.66
1.4243,155.23
1.4755,155.23
1.5262,154.90
1.5768,154.90
1.6270,154.39
1.6771,154.39
1.7272,153.51
1.7782,153.01
1.8287,153.01
1.8790,153.82
1.9295,153.82
1.9799,153.87
2.0306,153.87
2.0807,153.14
2.1313,153.14
2.1819,152.65
2.2329,152.65
2.2833,152.84
2.3336,152.84
2.3842,151.54
2.4346,151.54
2.4853,151.22
2.5365,151.22
2.5865,152.23
2.6366,152.23
2.6873,152.38
2.7384,152.38
2.7896,153.79
2.8407,153.79
2.8919,154.09
2.9430,154.09
2.9939,154.14
3.0451,154.14
3.0960,153.01
3.1463,153.01
3.1970,153.94
3.2479,153.94
3.2981,153.13
3.3490,153.13
3.4001,153.75
3.4503,153.75
3.5013,154.09
3.5514,154.09
3.6023,152.96
3.6524,152.96
3.7031,152.40
3.7533,152.40
3.8038,152.04
3.8541,152.04
3.9048,151.80
3.9549,151.80
4.0051,151.06
4.0554,151.06
4.1057,152.39
4.1559,152.39
4.2069,151.07
4.2580,151.07
4.3088,151.00
4.3597,151.00
4.4098,151.52
4.4614,151.52
4.5122,152.35
4.5631,152.35
4.6149,152.88
4.6652,152.88
4.7153,153.06
4.7666,153.06
4.8177,152.78
4.8689,152.78
4.9199,152.96
4.9709,152.96
5.0213,153.53
5.0716,153.53
5.1218,153.17
5.1728,153.17
5.2229,153.92
5.2730,153.92
5.3237,154.08
5.3748,154.08
5.4258,153.23
5.4760,153.23
5.5262,152.65
5.5771,152.65
5.6271,152.77
5.6779,152.77
5.7287,153.68
5.7789,153.68
5.8291,153.84
5.8797,153.29
5.9309,153.29
5.9819,153.59
6.0319,153.59
6.0830,153.01
6.1332,153.01
6.1840,152.10
6.2350,152.10
6.2859,152.06
6.3364,152.06
6.3871,153.13
6.4381,153.13
6.4892,152.65
6.5404,152.65
6.5913,152.92
6.6414,152.92
6.6918,152.14
6.7420,152.14
6.7923,151.69
6.8423,151.69
6.8931,151.91
6.9441,151.91
6.9952,151.92
7.0459,151.92
7.0961,152.27
7.1471,152.27
7.1986,152.64
7.2494,152.64
7.3003,152.34
7.3505,152.34
7.4016,152.67
7.4517,152.67
7.5018,153.34
7.5527,153.34
7.6037,153.98
7.6538,153.98
7.7047,155.23
7.7548,155.23
7.8058,156.07
7.8569,156.07
7.9078,156.80
7.9583,156.80
8.0087,157.09
8.0598,157.09
8.1098,156.72
8.1602,156.72
8.2109,157.35
8.2620,157.35
8.3128,156.33
8.3639,156.33
8.4141,156.32
8.4652,156.32
8.5153,155.31
8.5661,155.31
8.6162,154.64
8.6671,154.64
8.7182,154.62
8.7691,154.62
8.8192,155.53
8.8693,155.53
8.9197,154.13
8.9712,154.13
9.0214,154.15
9.0715,154.15
9.1233,153.08
9.1735,153.08
9.2238,153.48
9.2748,153.48
9.3248,155.38
9.3760,155.38
9.4268,156.06
9.4773,156.06
9.5279,156.00
9.5780,156.00
9.6290,156.70
9.6795,156.70
9.7297,156.53
9.7808,156.42
9.8308,156.42
9.8819,155.72
9.9320,155.72
9.9835,154.50
10.0342,154.50
10.0852,155.34
10.1364,155.34
10.1873,154.63
10.2375,154.63
10.2886,153.83
10.3396,153.83
10.3908,153.89
10.4411,153.89
10.4921,153.80
10.5421,153.80
10.5924,153.21
10.6431,153.21
10.6942,152.36
10.7443,152.36
