step_idx,forward_wall_ms
0,81.3897
1,4.5850
2,4.0762
3,4.1131
4,4.0289
5,4.1131
6,5.7873
7,5.6146
8,4.0848
9,4.1510
10,7.5759
11,3.8938
12,4.2055
13,4.0253
14,4.3228
15,4.1183
16,4.1732
17,3.8717
18,4.1131
19,5.5107
20,4.0356
21,7.5528
22,4.1731
23,7.3678
24,4.2659
25,4.5203
26,4.1549
27,3.9130
28,3.8870
29,8.6905
30,3.7068
31,4.1536
32,4.1405
33,4.0430
34,4.2478
35,4.0888
36,4.0068
37,6.5214
38,4.2359
39,4.1161
40,4.1862
41,7.1518
42,4.1805
43,4.1177
44,4.3095
45,5.5726
46,4.0294
47,6.9035
48,4.0115
49,6.1392
50,4.1699
51,5.7802
52,4.2010
53,5.3480
54,4.0306
55,8.2222
56,4.1259
57,4.0877
58,3.9735
59,4.1171
60,4.3290
61,4.1869
62,3.9991
63,6.8211
64,4.1248
65,4.3977
66,4.0441
67,6.8064
68,4.1773
69,4.0917
70,3.7020
71,4.1150
72,4.7640
73,4.2452
74,4.9327
75,4.0879
76,6.9602
77,3.7520
78,4.0860
79,4.1579
80,4.1906
81,6.9427
82,4.0084
83,4.4149
84,3.9668
85,4.0117
86,3.9260
87,4.1055
88,3.9727
89,8.0948
90,4.2249
91,7.6033
92,4.1013
93,4.2066
94,3.6594
95,4.0741
96,4.0374
97,4.0365
98,6.7127
99,4.1812
100,4.0741
101,3.9184
102,4.0868
103,4.0801
104,4.2721
105,4.0666
106,3.9801
107,3.9961
108,3.9944
109,6.4749
110,4.2444
111,4.1037
112,4.1477
113,4.4254
114,3.9775
115,4.0461
116,6.6176
117,4.1114
118,6.8003
119,3.9566
120,7.3348
121,4.1534
122,6.6280
123,7.7785
124,4.0600
125,4.1464
126,5.1238
127,6.0261
128,4.0964
129,4.0842
130,7.5142
131,4.3901
132,6.7735
133,6.9551
134,4.0092
135,4.2563
136,6.6868
137,4.0632
138,6.6685
139,4.1541
140,4.1496
141,5.8908
142,4.0874
143,5.5308
144,4.1084
145,3.9481
146,7.0992
147,4.0863
148,3.8628
149,4.0648
150,4.2124
151,3.9775
152,4.5667
153,4.0929
154,6.3245
155,4.0632
156,6.7192
157,4.1431
158,3.8609
159,4.1703
160,4.0413
161,4.2151
162,4.0639
163,7.1052
164,4.2682
165,4.0898
166,4.3124
167,4.3398
168,4.1822
169,4.1199
170,4.1418
171,4.2550
172,4.3975
173,4.1016
174,4.4704
175,4.1469
176,4.1237
177,4.1811
178,4.0705
179,4.5016
180,4.1354
181,4.8889
182,4.4142
183,4.0208
184,4.0380
185,4.0883
186,4.0314
187,5.2317
188,4.2177
189,5.2195
190,4.1766
191,6.4711
192,4.1878
193,3.6284
194,4.0651
195,6.4229
196,4.2040
197,5.9755
198,4.0249
199,3.7723
200,4.1645
201,4.1253
202,4.0802
203,4.0266
204,3.9455
205,3.9210
206,4.3606
207,4.0600
208,4.0708
209,3.6291
210,4.4666
211,6.9290
212,6.4468
213,4.1721
214,7.2690
215,4.4772
216,4.1037
217,4.1042
218,4.1314
219,4.1094
220,4.2250
221,6.9740
222,4.0081
223,3.9435
224,4.3560
225,4.1748
226,4.1568
227,4.2446
228,4.2478
229,4.1753
230,4.2795
231,4.1275
232,3.8767
233,3.9468
234,4.1611
235,4.0416
236,4.0677
237,4.0617
238,4.1260
239,4.1970
240,3.9843
241,4.0310
242,6.8836
243,4.1448
244,7.1712
245,4.2779
246,4.0283
247,4.1760
248,4.1661
249,4.1260
250,4.2017
251,4.1464
252,4.0877
253,4.0419
254,4.1166
255,6.3536
256,4.1512
257,6.9437
258,4.2281
259,8.2153
260,4.1904
261,4.2556
262,4.1939
263,3.9250
264,4.1713
265,4.1528
266,6.0381
267,4.1723
268,3.9951
269,4.1252
270,4.1190
271,4.1586
272,6.9605
273,4.1687
274,4.9224
275,5.4801
276,4.5520
277,4.0374
278,3.8272
279,4.0890
280,3.9812
281,4.2354
282,3.9735
283,4.0079
284,3.9889
285,4.1771
286,5.2714
287,4.0539
288,3.5654
289,4.0410
290,7.4710
291,5.4033
292,4.8914
293,4.3065
294,7.5318
295,5.7145
296,4.1567
297,4.0631
298,7.7802
299,4.2556
300,4.8149
301,4.1132
302,4.1189
303,4.0987
304,3.7680
305,4.3973
306,4.1784
307,4.3554
308,5.8516
309,4.1459
310,4.3037
311,4.3263
312,4.1782
313,4.0298
314,4.1473
315,4.0562
316,4.2376
317,4.1249
318,4.2114
319,4.2207
320,4.0419
321,4.2998
322,4.0962
323,4.1221
324,3.9884
325,4.2103
326,4.4555
327,3.7217
328,4.0297
329,4.0621
330,5.4760
331,3.9705
332,3.9717
333,4.1452
334,3.8674
335,4.2051
336,3.9540
337,4.1985
338,4.1831
339,4.0364
340,4.1334
341,3.9735
342,4.1579
343,4.1569
344,5.8765
345,4.1429
346,5.6379
347,3.7706
348,3.9974
349,4.2948
350,5.8289
351,4.1586
352,4.1382
353,4.1297
354,4.1039
355,4.1462
356,4.0725
357,3.9275
358,3.9886
359,4.0507
360,4.0591
361,6.8778
362,4.2427
363,4.2835
364,4.0373
365,7.9819
366,4.0264
367,4.1133
368,3.9157
369,4.0232
370,4.0305
371,4.2250
372,4.1731
373,7.4855
374,4.1248
375,4.1906
376,3.9595
377,5.0260
378,4.4074
379,8.1627
380,4.2770
381,3.6611
382,4.1422
383,4.1522
384,4.0913
385,4.1111
386,3.9633
387,4.1557
388,3.9864
389,4.0994
390,4.2907
391,4.0992
392,4.2312
393,4.0741
394,5.4574
395,4.0779
396,7.7790
397,4.1358
398,4.0498
399,4.1372
400,4.1164
401,3.9475
402,6.9084
403,4.2748
404,8.2495
405,4.1252
406,3.9953
407,3.7073
408,4.0982
409,4.2593
410,4.1765
411,3.8762
412,8.5912
413,4.2759
414,3.7030
415,4.0431
416,4.1932
417,4.0820
418,4.1723
419,4.0743
420,7.2350
421,4.1474
422,7.0067
423,4.1488
424,7.3596
425,4.1856
426,4.1456
427,4.0937
428,6.8303
429,4.1354
430,7.3637
431,4.0994
432,4.2057
433,4.1249
434,6.6465
435,4.2166
436,4.2196
437,4.2247
438,4.0174
439,4.0958
440,3.9642
441,4.2572
442,4.1949
443,4.7585
444,4.0061
445,3.9861
446,4.0117
447,4.0852
448,3.9991
449,4.3761
450,4.1419
451,7.6955
452,4.1527
453,7.6385
454,4.1068
455,6.9391
456,4.2230
457,4.1656
458,3.9518
459,4.0599
460,4.0358
461,4.0592
462,4.1820
463,4.1767
464,3.9545
465,7.9615
466,4.2965
467,3.7677
468,4.1870
469,3.9805
470,4.2341
471,3.9635
472,4.1360
473,3.8302
474,5.7225
475,4.1861
476,5.9784
477,4.8399
478,4.0729
479,4.1361
480,5.4337
481,4.1352
482,7.1788
483,4.2255
484,4.1232
485,4.4094
486,4.2070
487,3.9489
488,4.0769
489,3.9460
490,6.3649
491,4.0380
492,7.5360
493,4.0480
494,7.6790
495,4.2753
496,6.8913
497,4.1387
498,4.1119
499,7.4801
500,4.1363
501,4.0900
502,4.0029
503,4.2825
504,4.2292
505,4.2063
506,4.1207
507,8.4400
508,4.0727
509,4.8532
510,4.0608
511,8.5445
512,4.1519
513,4.0522
514,4.1540
515,4.1789
516,4.0840
517,4.3951
518,6.0094
519,4.1524
520,3.6044
521,4.0453
522,4.1772
523,3.8578
524,4.0525
525,4.1096
526,4.2600
527,4.1392
528,4.1725
529,6.5174
530,4.0863
531,4.1409
