timestamp_s,power_W
0.0857,158.03
0.1382,155.06
0.1887,155.06
0.2391,153.68
0.2898,153.68
0.3400,153.79
0.3909,153.79
0.4411,152.56
0.4918,152.56
0.5424,151.07
0.5925,151.07
0.6432,150.91
0.6937,150.91
0.7449,150.96
0.7959,150.96
0.8470,151.44
0.8982,151.44
0.9490,153.37
1.0002,153.37
1.0512,158.96
1.1019,158.96
1.1521,162.42
1.2025,162.42
1.2535,162.45
1.3039,160.87
1.3541,160.87
1.4044,160.98
1.4551,160.98
1.5052,160.29
1.5562,160.29
1.6063,159.81
1.6564,159.81
1.7073,158.88
1.7577,158.88
1.8083,156.93
1.8594,156.93
1.9095,155.66
1.9607,155.66
2.0117,153.52
2.0618,153.52
2.1124,153.26
2.1630,153.26
2.2143,154.32
2.2652,154.32
2.3153,154.25
2.3666,154.25
2.4171,153.05
2.4672,153.05
2.5181,154.92
2.5690,154.92
2.6201,155.52
2.6702,155.52
2.7218,156.87
2.7718,156.87
2.8218,158.29
2.8720,158.29
2.9225,157.71
2.9735,157.71
3.0245,158.87
3.0747,158.87
3.1249,158.27
3.1752,158.27
3.2262,158.33
3.2766,158.33
3.3267,159.91
3.3776,159.91
3.4277,161.54
3.4787,161.54
3.5288,161.54
3.5795,161.54
3.6299,161.64
3.6807,161.64
3.7308,159.62
3.7815,159.62
3.8327,158.68
3.8827,158.68
3.9329,159.95
3.9836,159.95
4.0342,158.96
4.0846,158.96
4.1349,160.14
4.1859,160.14
4.2365,160.28
4.2870,160.28
4.3377,159.96
4.3884,159.96
4.4388,160.05
4.4895,160.05
4.5398,159.98
4.5902,159.98
4.6406,159.12
4.6909,159.12
4.7414,160.16
4.7916,160.16
4.8417,160.80
4.8921,160.80
4.9423,160.49
4.9928,160.49
5.0433,160.18
5.0939,160.18
5.1449,159.54
5.1950,159.54
5.2461,160.02
5.2973,160.02
5.3481,159.12
5.3992,159.12
5.4494,158.08
5.4996,158.08
5.5498,158.50
5.6006,158.50
5.6514,159.34
5.7026,159.34
5.7528,158.69
5.8040,158.19
5.8545,158.19
5.9051,157.57
5.9556,157.57
6.0068,158.16
6.0569,158.16
6.1076,157.93
6.1582,157.93
6.2085,158.41
6.2585,158.41
6.3088,158.95
6.3594,158.95
6.4096,158.22
6.4607,158.22
6.5114,157.54
6.5618,157.54
6.6123,156.64
6.6624,156.64
6.7126,157.07
6.7629,157.07
6.8139,158.34
6.8649,158.34
6.9164,158.79
6.9666,158.79
7.0174,160.86
7.0681,160.86
7.1191,160.46
7.1692,160.46
7.2201,158.46
7.2709,158.46
7.3213,157.88
7.3722,157.88
7.4232,159.49
7.4735,159.49
7.5244,160.25
7.5746,160.25
7.6256,162.99
7.6759,162.99
7.7267,163.00
7.7782,163.00
7.8290,163.33
7.8801,163.33
7.9304,162.86
7.9809,162.86
8.0316,161.17
8.0817,161.17
8.1318,161.47
8.1829,161.47
8.2339,162.71
8.2848,162.71
8.3349,163.75
8.3855,163.75
8.4360,161.64
8.4861,161.64
8.5364,161.36
8.5875,161.36
8.6385,160.80
8.6895,160.80
8.7405,161.04
8.7917,161.04
8.8429,161.15
8.8936,161.15
8.9436,162.08
8.9948,162.08
9.0453,161.97
9.0968,161.97
9.1480,163.45
9.1980,163.45
9.2481,162.71
9.2985,162.71
9.3489,162.53
9.4005,162.53
9.4515,163.21
9.5017,163.21
9.5518,162.68
9.6027,162.68
9.6527,161.62
9.7030,161.62
9.7541,161.63
9.8053,161.20
9.8556,161.20
9.9056,160.66
9.9566,160.66
10.0069,161.92
10.0576,161.92
10.1078,160.40
10.1593,160.40
10.2095,160.11
10.2597,160.11
10.3098,161.47
10.3612,161.47
10.4118,160.95
10.4620,160.95
10.5127,161.93
10.5629,161.93
10.6131,163.07
10.6642,163.07
10.7145,162.67
