step_idx,forward_wall_ms
0,73.6731
1,5.8452
2,5.0103
3,4.9570
4,5.0158
5,5.1664
6,5.1629
7,5.1417
8,6.9106
9,5.2359
10,7.0167
11,5.0230
12,5.1443
13,5.0604
14,5.1083
15,5.0071
16,5.1410
17,7.4423
18,5.1511
19,6.8847
20,5.0504
21,6.0187
22,5.0687
23,5.2010
24,5.1684
25,5.0018
26,5.1412
27,5.3143
28,4.8091
29,8.9032
30,4.7857
31,6.9309
32,5.0928
33,7.2658
34,5.1261
35,7.3966
36,5.0846
37,7.4914
38,5.1938
39,5.0502
40,5.2241
41,5.0843
42,5.1272
43,5.1026
44,7.1430
45,5.2258
46,5.0329
47,5.1602
48,6.3545
49,5.0313
50,5.0975
51,7.4187
52,5.0910
53,6.2074
54,5.0207
55,5.2078
56,5.2473
57,5.7500
58,5.0022
59,7.4448
60,5.2100
61,7.0821
62,5.0447
63,6.9804
64,5.0921
65,4.9732
66,5.0591
67,5.1096
68,5.1642
69,6.0422
70,4.7547
71,5.1091
72,5.0961
73,6.8708
74,4.9282
75,5.1005
76,4.8989
77,4.8179
78,5.2099
79,7.9489
80,5.1497
81,6.4914
82,5.0103
83,7.2526
84,5.0572
85,7.1744
86,5.0712
87,7.4821
88,6.4863
89,6.5279
90,5.3503
91,9.0452
92,5.1733
93,6.3486
94,5.1298
95,5.1055
96,5.1129
97,5.1188
98,9.0567
99,5.1909
100,5.0861
101,5.0058
102,5.2230
103,4.6624
104,5.2348
105,5.0928
106,5.0098
107,4.9876
108,4.9548
109,7.2756
110,5.2773
111,6.8220
112,5.1470
113,7.3212
114,5.1395
115,5.0526
116,5.3601
117,5.1087
118,7.3145
119,5.0464
120,7.3833
121,5.2107
122,7.9003
123,6.7080
124,4.9759
125,5.1212
126,7.2229
127,5.7005
128,4.9955
129,5.0851
130,7.3644
131,5.1527
132,8.0687
133,7.3453
134,5.0778
135,5.2220
136,8.0660
137,5.4907
138,7.5202
139,5.2104
140,5.1296
141,6.9153
142,5.0304
143,6.1527
144,5.0459
145,5.1029
146,8.1718
147,5.0628
148,4.8216
149,5.0935
150,6.7396
151,5.0186
152,8.1721
153,4.9484
154,6.2244
155,5.1782
156,7.2734
157,5.0925
158,4.8061
159,5.1661
160,5.1090
161,5.1457
162,5.1469
163,8.1979
164,5.2136
165,5.1457
166,5.3105
167,5.3193
168,5.1536
169,5.0585
170,5.1675
171,6.2101
172,6.9218
173,5.0202
174,7.1451
175,5.0781
176,6.2956
177,4.9428
178,5.1127
179,4.9249
180,5.6427
181,5.1449
182,5.1704
183,5.0545
184,5.0982
185,5.1235
