timestamp_s,power_W
0.0619,174.86
0.1126,174.86
0.1628,171.15
0.2134,171.15
0.2635,171.02
0.3137,171.02
0.3647,171.03
0.4149,171.03
0.4660,170.27
0.5160,170.27
0.5669,169.88
0.6179,169.88
0.6681,170.66
0.7192,170.66
0.7701,168.65
0.8203,168.65
0.8713,170.29
0.9217,170.29
0.9727,174.41
1.0228,174.41
1.0742,178.14
1.1243,178.14
1.1752,183.65
1.2263,183.65
1.2778,186.08
1.3280,186.08
1.3781,186.59
1.4284,186.59
1.4788,186.10
1.5293,186.10
1.5796,185.58
1.6306,185.58
1.6807,184.13
1.7309,184.13
1.7817,186.45
1.8319,186.45
1.8820,186.11
1.9330,186.11
1.9834,184.44
2.0344,184.44
2.0845,184.18
2.1348,184.18
2.1857,184.45
2.2365,184.45
2.2868,183.21
2.3373,183.21
2.3882,181.36
2.4388,181.36
2.4892,179.75
2.5403,179.75
2.5913,180.01
2.6415,180.01
2.6918,179.41
2.7428,179.41
2.7938,180.17
2.8448,180.17
2.8949,180.03
2.9459,180.03
2.9969,180.28
3.0471,180.28
3.0974,180.86
3.1486,180.86
3.1997,181.77
3.2507,181.77
3.3008,181.03
3.3513,181.03
3.4021,181.86
3.4527,181.86
3.5031,185.03
3.5532,185.03
3.6039,185.59
3.6542,185.59
3.7044,188.53
3.7554,187.01
3.8063,187.01
3.8565,185.83
3.9068,185.83
3.9577,186.66
4.0085,186.66
4.0587,186.86
4.1097,186.86
4.1601,186.85
4.2102,186.85
4.2606,187.24
4.3111,187.24
4.3612,185.76
4.4121,185.76
4.4623,182.95
4.5127,182.95
4.5634,182.99
4.6137,182.99
4.6639,180.30
4.7145,180.30
4.7646,180.47
4.8147,180.47
4.8657,180.59
4.9166,180.59
4.9668,181.39
5.0183,181.39
5.0688,181.68
5.1198,181.68
5.1708,180.71
5.2219,180.71
5.2730,181.38
5.3231,181.38
5.3742,180.56
5.4251,180.56
5.4772,182.49
5.5283,182.49
5.5800,180.28
5.6306,180.28
5.6814,180.40
5.7317,180.40
5.7824,180.07
5.8329,180.07
5.8836,180.06
5.9341,180.06
5.9845,178.78
6.0346,178.78
6.0850,177.34
6.1352,177.34
6.1853,176.59
6.2354,176.59
6.2856,175.34
6.3361,175.34
6.3866,177.90
6.4367,177.90
6.4875,178.02
6.5376,178.02
6.5878,178.44
6.6389,178.44
6.6892,179.10
6.7405,179.10
6.7908,178.40
6.8416,178.40
6.8918,177.39
6.9424,177.39
6.9929,178.23
7.0437,178.23
7.0940,180.71
7.1444,180.71
7.1945,180.60
7.2449,180.60
7.2950,179.74
7.3453,179.74
7.3966,177.74
7.4471,177.74
7.4972,179.74
7.5478,179.74
7.5987,179.66
7.6487,179.66
7.6996,177.94
7.7499,177.94
7.8000,181.04
7.8502,181.04
7.9004,181.70
7.9508,181.70
8.0010,181.66
8.0515,181.66
8.1027,181.14
8.1534,181.14
8.2035,181.97
8.2537,181.97
8.3039,182.59
8.3545,182.59
8.4051,183.67
8.4554,183.67
8.5064,183.01
8.5572,183.35
8.6074,183.35
8.6578,184.45
8.7079,184.45
8.7592,182.84
8.8093,182.84
8.8596,182.83
8.9105,182.83
8.9607,181.83
9.0111,181.83
9.0618,182.88
9.1123,182.88
9.1626,181.60
9.2127,181.60
9.2628,180.68
9.3142,180.68
9.3644,179.38
9.4146,179.38
9.4651,179.09
9.5159,179.09
9.5665,176.94
9.6169,176.94
9.6684,177.77
9.7191,177.77
9.7699,177.43
9.8213,177.43
9.8713,178.94
9.9221,178.94
9.9731,178.77
10.0231,178.77
10.0743,176.59
10.1248,176.59
10.1754,176.84
10.2255,176.84
10.2757,177.98
10.3260,177.98
10.3767,179.02
10.4270,179.02
10.4782,177.49
10.5296,177.49
10.5801,179.08
10.6305,179.08
10.6807,178.74
10.7309,178.74
10.7811,178.67
10.8311,178.67
10.8814,177.21
10.9324,177.21
10.9834,176.01
