step_idx,forward_wall_ms
0,77.5074
1,5.2539
2,4.7897
3,4.9167
4,4.8924
5,5.0473
6,5.1498
7,5.0372
8,4.8171
9,4.9952
10,4.7164
11,4.8714
12,5.0094
13,4.9047
14,4.8166
15,7.8069
16,5.1231
17,4.7334
18,4.9063
19,6.9495
20,4.8728
21,6.2018
22,4.9910
23,5.9095
24,5.0229
25,5.2415
26,4.9486
27,4.8463
28,4.5500
29,8.2283
30,4.6471
31,4.9983
32,4.7638
33,4.8010
34,4.8147
35,5.0191
36,4.8911
37,7.9098
38,5.0342
39,4.8894
40,5.0914
41,7.3281
42,5.3240
43,4.9970
44,5.0021
45,7.1755
46,5.0014
47,7.0164
48,4.8114
49,6.9156
50,4.9252
51,6.5274
52,4.9713
53,6.6841
54,4.8615
55,7.7194
56,5.0822
57,6.6155
58,4.8695
59,7.2575
60,5.0334
61,6.8890
62,4.9745
63,7.7219
64,5.0381
65,5.0936
66,4.9521
67,5.5165
68,4.9430
69,5.0455
70,4.4553
71,5.0729
72,4.9982
73,4.8746
74,4.8038
75,4.9687
76,4.6151
77,4.6316
78,4.8855
79,5.6864
80,5.0099
81,4.7711
82,4.8574
83,5.4073
84,4.9621
85,5.3134
86,4.8919
87,8.1155
88,6.5174
89,4.8912
90,4.9737
91,5.2817
92,5.0384
93,5.3061
94,5.1066
95,6.6785
96,4.9141
97,4.9742
98,4.9075
99,6.9322
100,5.0013
101,4.8812
102,4.9729
103,6.5169
104,5.1817
105,7.4978
106,4.9272
107,6.7770
108,4.9268
109,4.8257
110,4.9799
111,6.0987
112,5.0345
113,6.5221
114,4.9614
115,6.9905
116,5.0074
117,5.0074
118,4.6691
119,4.8795
120,4.8912
121,5.0384
122,4.8065
123,5.0499
124,7.1133
125,4.9101
126,5.6177
127,5.3126
128,5.6837
129,4.8461
130,8.8240
131,4.9097
132,7.8119
133,7.1850
134,4.9275
135,5.0511
136,6.6948
137,4.9779
138,7.6216
139,6.0459
140,5.0136
141,6.7967
142,4.9061
143,6.5885
144,4.9005
145,4.8955
146,6.2189
147,5.1007
148,4.6396
149,7.7597
150,6.9786
151,4.8700
152,4.8347
153,4.7864
154,4.8268
155,5.0062
156,4.5608
157,4.9086
158,4.5825
159,8.2711
160,5.0495
161,8.4017
162,5.0118
163,7.3250
164,5.0847
165,5.1974
166,5.8678
167,4.9700
168,6.8934
169,5.0273
170,7.7088
171,5.1185
172,7.0749
173,4.8714
174,5.1796
175,5.1823
176,7.6928
