timestamp_s,power_W
0.0878,174.29
0.1380,167.13
0.1892,167.13
0.2393,165.45
0.2894,165.45
0.3404,164.81
0.3906,164.81
0.4423,163.89
0.4939,163.89
0.5449,163.15
0.5953,163.15
0.6454,163.31
0.6959,163.31
0.7470,165.56
0.7974,165.56
0.8481,166.33
0.8983,166.33
0.9488,169.78
0.9989,169.78
1.0491,176.89
1.1001,176.89
1.1509,184.41
1.2010,184.41
1.2511,186.60
1.3021,186.60
1.3521,185.99
1.4023,185.99
1.4524,185.02
1.5029,184.93
1.5537,184.93
1.6049,184.31
1.6550,184.31
1.7054,184.00
1.7560,184.00
1.8067,183.83
1.8568,183.83
1.9073,182.43
1.9580,182.43
2.0089,182.81
2.0599,182.81
2.1109,182.44
2.1610,182.44
2.2120,183.82
2.2630,183.82
2.3141,183.66
2.3650,183.66
2.4151,183.49
2.4667,183.49
2.5179,182.83
2.5680,182.83
2.6192,183.65
2.6693,183.65
2.7199,184.53
2.7700,184.53
2.8208,182.52
2.8714,182.52
2.9216,182.12
2.9719,182.12
3.0231,180.88
3.0736,180.88
3.1240,180.64
3.1751,180.64
3.2253,180.05
3.2763,180.05
3.3267,181.64
3.3772,181.64
3.4275,183.65
3.4778,183.65
3.5288,184.20
3.5791,184.20
3.6294,184.67
3.6796,184.67
3.7300,181.52
3.7812,181.52
3.8315,182.14
3.8818,182.14
3.9321,181.65
3.9831,181.65
4.0335,182.01
4.0842,182.01
4.1343,179.93
4.1851,179.93
4.2360,177.59
4.2871,177.59
4.3391,175.86
4.3892,175.86
4.4394,174.94
4.4897,174.94
4.5397,175.79
4.5906,175.79
4.6413,176.90
4.6914,176.90
4.7422,177.71
4.7934,177.71
4.8434,177.88
4.8943,177.88
4.9452,177.85
4.9954,177.85
5.0456,176.83
5.0962,176.83
5.1471,179.47
5.1978,179.47
5.2489,182.18
5.2994,182.18
5.3502,183.09
5.4009,183.09
5.4510,183.32
5.5013,183.32
5.5523,183.51
5.6025,183.51
5.6526,180.34
5.7033,180.34
5.7543,181.08
5.8045,180.22
5.8547,180.22
5.9052,179.27
5.9552,179.27
6.0058,179.09
6.0564,179.09
6.1074,177.69
6.1574,177.69
6.2085,175.14
6.2596,175.14
6.3098,175.75
6.3603,175.75
6.4108,176.26
6.4608,176.26
6.5118,174.71
6.5623,174.71
6.6125,178.05
6.6627,178.05
6.7130,177.34
6.7639,177.34
6.8140,177.71
6.8646,177.71
6.9157,179.09
6.9669,179.09
7.0179,181.33
7.0685,181.33
7.1186,182.78
7.1695,182.78
7.2204,182.49
7.2714,182.49
7.3216,182.00
7.3716,182.00
7.4226,182.33
7.4729,182.33
7.5239,182.57
7.5740,182.57
7.6248,181.83
7.6753,181.83
7.7264,181.40
7.7766,181.40
7.8269,180.04
7.8776,180.04
7.9281,180.34
7.9782,180.34
8.0291,178.65
8.0800,178.65
8.1303,176.57
8.1811,176.57
8.2312,178.64
8.2814,178.64
8.3316,180.01
8.3819,180.01
8.4329,179.46
8.4831,179.46
8.5342,180.78
8.5852,180.78
8.6361,180.20
8.6863,180.20
8.7366,180.78
8.7867,180.78
8.8369,181.11
8.8881,181.11
8.9390,180.53
8.9893,180.53
9.0395,179.94
9.0900,179.94
9.1412,179.84
9.1914,179.84
9.2425,179.44
9.2933,179.44
9.3434,178.25
9.3936,178.25
9.4440,180.55
9.4945,180.55
9.5448,179.83
9.5953,179.83
9.6460,181.55
9.6963,181.55
9.7465,180.87
9.7969,180.87
9.8470,181.94
9.8975,181.94
9.9478,182.56
9.9990,182.56
10.0491,183.67
10.0994,183.67
10.1501,184.27
10.2001,184.27
10.2504,183.45
10.3004,183.45
10.3515,183.89
10.4016,183.89
