step_idx,forward_wall_ms
0,84.9421
1,5.7469
2,4.1837
3,4.1606
4,4.2749
5,4.2911
6,4.2518
7,4.3079
8,7.0432
9,4.3326
10,6.5106
11,4.1624
12,4.3055
13,4.2053
14,7.2708
15,4.1971
16,4.2453
17,4.0050
18,4.3091
19,4.2275
20,4.1831
21,4.2463
22,4.2502
23,4.3515
24,4.2312
25,5.6914
26,4.2334
27,4.3301
28,5.3895
29,6.5955
30,4.0149
31,4.3340
32,4.1483
33,4.1670
34,4.1375
35,4.2279
36,5.1993
37,4.3261
38,4.3344
39,7.5839
40,4.3983
41,4.2418
42,4.2159
43,6.4101
44,4.2969
45,4.3685
46,4.1260
47,4.2785
48,4.1432
49,4.1989
50,4.2876
51,4.2456
52,4.9094
53,4.2798
54,4.0951
55,4.4393
56,4.3549
57,4.1813
58,4.2134
59,4.3729
60,4.3237
61,4.5559
62,4.1964
63,4.2774
64,4.1945
65,4.1621
66,4.1523
67,4.2675
68,4.7327
69,4.2609
70,7.6669
71,5.6655
72,4.3226
73,4.1500
74,6.4544
75,6.0200
76,4.2015
77,3.9735
78,4.3398
79,4.2038
80,4.2553
81,4.1393
82,4.2204
83,4.2504
84,4.1524
85,4.1480
86,4.2631
87,4.3077
88,4.2020
89,4.2174
90,4.2343
91,4.2836
92,4.2725
93,4.1774
94,6.4371
95,4.2726
96,4.2288
97,4.3533
98,6.8581
99,4.2923
100,4.2730
101,4.2207
102,4.6016
103,3.8633
104,4.3943
105,4.2768
106,4.2693
107,4.1939
108,4.1518
109,4.1366
110,4.2544
111,4.3048
112,4.2336
113,4.3133
114,4.2944
115,5.7520
116,4.4152
117,4.2906
118,6.8078
119,5.4284
120,4.8814
121,4.3407
122,7.0585
123,7.0910
124,4.2550
125,4.3054
126,4.2842
127,6.0255
128,4.1183
129,4.2493
130,7.1386
131,4.3117
132,7.6068
133,6.4186
134,4.2349
135,4.3815
136,7.4806
137,4.3278
138,6.2814
139,4.3295
140,4.3040
141,6.2772
142,4.1988
143,6.1910
144,4.2415
145,4.2624
146,7.5276
147,4.2621
148,3.9128
149,4.2770
150,5.4693
151,4.1672
152,4.5108
153,4.1218
154,6.5063
155,4.3824
156,7.3782
157,4.3344
158,4.0337
159,4.3131
160,4.2976
161,4.2797
162,4.2572
163,8.2298
164,4.4410
165,4.2762
166,4.4996
167,4.1156
168,4.3214
169,4.2896
170,6.8741
171,4.4428
172,5.4403
173,4.2062
174,7.2419
175,4.2756
176,4.3537
177,4.2420
178,4.2821
179,4.1601
180,4.3168
181,4.2453
182,4.3080
183,4.2736
184,6.8962
185,4.3686
186,4.2420
187,4.0072
188,4.3546
189,4.1476
190,4.2092
191,6.5297
192,4.3208
193,3.8590
194,4.1973
195,4.2550
196,4.1943
197,4.2575
198,4.2265
199,3.9531
200,5.9149
201,4.2166
202,4.2026
203,4.1283
204,4.1211
205,4.1226
206,6.3096
207,4.2552
208,6.9196
209,3.9734
210,6.9167
211,4.2137
212,4.2777
213,4.3031
214,4.2123
215,6.1325
216,4.2941
217,4.4001
218,4.2816
219,4.2657
220,4.4207
221,5.7315
222,4.2838
223,4.1016
224,4.3698
225,4.3802
226,4.3071
227,4.3741
228,4.3186
229,4.1826
230,4.3924
231,4.2243
232,4.0743
233,4.3100
234,4.3017
235,4.1721
236,4.2586
237,4.1754
238,4.2397
239,4.3245
240,6.4680
241,4.1981
242,7.2425
243,4.3074
244,5.6422
245,4.3572
246,4.3128
247,4.3045
248,4.2869
249,4.2191
250,4.3251
251,4.2740
252,4.3138
253,4.2997
254,4.2565
255,4.2563
256,4.2338
257,6.7840
258,4.3085
259,6.1540
260,4.2822
261,4.3974
262,4.1580
263,4.1345
264,4.2189
265,4.2882
266,4.1522
267,4.3184
268,4.2631
269,4.2895
270,4.2493
271,4.2195
272,7.0145
273,4.4343
274,4.1947
275,4.2447
276,4.3662
277,4.1735
278,4.0010
279,6.7360
280,4.1983
281,4.3646
282,4.2412
283,4.1704
284,4.2909
285,4.2376
286,6.3509
287,4.1537
288,5.5989
289,4.2023
290,7.0871
291,6.3004
292,3.9565
293,4.2002
294,5.5859
295,5.1353
296,4.3067
297,4.2830
298,6.6673
299,4.4175
300,4.7578
301,4.2667
302,4.3379
303,4.2218
304,4.1944
305,4.2567
306,4.2943
307,4.4107
308,4.4690
309,4.2111
310,4.2025
311,6.2266
312,4.3286
313,4.1269
314,4.2906
315,4.2355
316,4.2531
317,4.2688
318,4.3407
319,4.3005
320,4.2647
321,4.4422
322,4.2524
323,4.2137
324,4.0676
325,4.4144
326,6.6999
327,3.8767
328,4.2796
329,4.2615
330,5.4795
331,4.0830
332,4.0154
333,4.2632
334,3.8909
335,4.2340
336,4.1881
337,6.7928
338,4.2976
339,5.3506
340,4.3008
341,4.1059
342,4.1885
343,4.2020
344,6.4830
345,4.3098
346,6.8895
347,3.9628
348,4.2236
349,4.2826
350,4.3240
351,4.2805
352,4.1765
353,4.4620
354,4.2383
355,6.6982
356,4.2526
357,4.1954
358,4.3589
359,7.5014
360,4.2862
361,6.1181
362,4.3806
363,4.3349
364,4.0779
365,9.5523
366,4.2861
367,4.2528
368,3.9309
369,4.2236
370,4.2603
371,4.3140
372,4.2416
373,9.9366
374,4.3294
375,7.2004
376,4.2567
377,4.2535
378,4.4117
379,5.6690
380,4.4032
381,3.8848
382,4.4420
383,4.3441
384,6.2921
385,4.2243
386,5.5246
387,4.3262
388,4.2212
389,4.2504
390,4.3082
391,4.2828
392,6.6325
393,4.3474
394,6.6599
395,4.2719
396,4.3734
397,4.3156
398,5.9637
399,4.2768
400,5.9312
401,4.2531
402,4.3029
403,4.1817
404,4.3919
405,4.3016
406,4.0877
407,5.2039
408,4.3058
409,4.3659
410,4.2955
411,4.0845
412,4.2913
413,4.2507
414,3.9301
415,4.2195
416,4.3316
417,4.3179
418,4.2720
419,5.1369
420,4.3475
421,4.8957
422,4.2092
423,4.2554
424,4.3655
425,4.2815
426,4.2957
427,5.2779
428,4.1533
429,4.2729
430,4.3146
431,4.1469
432,8.0711
433,4.3069
434,4.5033
435,4.2677
436,4.3004
437,4.3016
438,5.6555
439,4.2860
440,7.2930
441,4.3678
442,6.0272
443,4.2669
444,5.8977
445,4.1541
446,8.1392
447,4.2891
448,9.1886
449,4.4132
450,4.3146
451,4.5625
452,4.1884
453,4.2693
454,4.3936
455,4.3441
456,4.2422
457,6.4903
458,4.2426
459,4.1958
460,4.3483
461,6.4205
462,4.4060
463,4.5235
464,4.2272
465,4.0175
466,6.0994
467,4.0444
468,4.3057
469,4.0529
470,4.4200
471,4.3049
472,4.3008
473,3.9217
474,4.2690
475,6.8533
476,4.0352
477,3.7972
478,4.2510
479,4.2896
480,4.2819
481,5.6582
482,6.5762
483,4.2991
484,4.2216
485,6.6258
486,4.1931
487,4.0066
488,4.2600
489,4.1437
490,4.2289
491,7.3608
492,4.2767
493,4.2311
494,4.3184
495,5.2694
496,4.0954
497,4.2261
498,5.5681
499,4.1740
500,4.2643
501,4.2620
502,4.3053
503,5.0665
504,4.2761
505,6.4675
506,4.2672
507,4.1915
508,5.2130
509,4.0013
510,4.1904
511,4.3179
512,7.7668
513,4.1868
514,6.7430
515,4.4720
516,4.8490
517,4.4269
518,4.2551
519,4.3288
520,3.7854
521,4.4459
522,9.5036
523,3.9132
524,8.7510
525,4.2935
526,4.2712
527,4.2661
528,7.6979
529,4.4771
530,7.3413
531,4.2925
532,3.7264
533,6.2147
534,4.2667
535,7.8892
536,4.3733
537,9.3678
538,4.0488
539,4.2692
540,4.1085
541,4.2314
542,4.2998
543,4.2842
544,4.3086
545,7.0519
546,4.1939
547,4.3614
548,4.1169
549,8.4514
550,4.3805
551,4.2638
552,4.1859
553,7.1814
554,4.2718
555,7.8825
556,4.2601
557,4.4241
558,4.1641
559,4.0489
560,4.0510
561,8.6428
562,4.3032
563,4.2541
564,4.2798
565,6.5337
566,4.2704
567,4.1833
568,4.5118
569,6.0628
570,4.2456
571,4.0687
572,4.2690
573,4.3730
574,4.2238
575,4.3153
576,7.6263
577,4.2611
578,6.3306
579,4.2114
580,5.1640
581,4.1486
582,4.5017
583,4.3764
584,6.2317
585,4.4120
586,8.0538
587,4.2640
588,4.6207
589,4.2578
590,4.8578
591,4.2705
592,4.2529
593,4.3235
594,7.4143
595,4.2531
596,6.5351
597,4.4983
598,7.2865
599,4.1761
600,4.2062
601,4.3473
602,7.3057
603,6.8013
604,4.2394
605,8.7993
606,4.0117
607,6.2657
608,4.2406
609,4.2892
610,4.2047
611,4.1143
612,6.9453
613,7.2617
614,4.3292
615,5.5449
616,5.1839
617,6.9926
618,4.3566
619,4.2098
620,4.1826
621,4.2294
622,4.1582
623,4.2310
624,4.1482
625,4.1803
626,4.3121
627,4.3480
628,4.3411
629,4.2221
630,4.2208
631,7.6058
632,4.2898
633,3.7579
634,4.2802
635,7.3380
636,4.2386
637,6.7539
638,4.2571
639,4.2566
640,4.5576
641,4.4182
642,4.3199
643,4.3238
644,4.9589
645,4.3888
646,4.1176
647,4.3478
648,4.3007
649,7.8118
650,4.2795
651,4.3911
652,4.4088
653,4.3695
654,4.4997
655,4.2840
656,4.3177
657,4.2694
658,4.2477
659,7.3510
660,4.1732
661,4.0231
662,4.0198
663,4.0992
664,4.3298
665,4.0121
666,7.3401
667,4.2440
668,7.1717
669,4.2799
670,5.9699
671,4.0149
672,4.5634
673,4.2420
674,5.4110
675,4.2900
676,4.3219
677,6.1369
678,4.0953
679,4.0370
680,7.9470
681,4.0462
682,4.2287
683,4.3759
684,5.6186
685,4.3464
686,5.9723
687,4.2978
688,9.5926
689,4.2641
690,6.7772
691,4.3080
692,6.4649
693,4.3906
694,5.6949
695,4.0095
696,4.2391
697,4.2463
698,4.2918
699,4.1512
700,7.0814
701,3.9162
702,4.3324
703,3.8048
704,6.9187
705,4.2492
706,4.2738
707,7.1470
708,4.2406
709,4.4771
710,4.1806
711,8.0659
712,4.3342
713,6.9540
714,4.3927
715,7.7368
716,4.2416
717,6.2912
718,4.1504
719,7.1819
720,4.2008
721,3.7167
722,4.3351
723,7.3947
724,4.4074
725,6.5005
726,4.1706
727,5.5594
728,4.2273
729,5.7654
730,4.1269
731,4.7594
732,4.3757
733,4.3693
734,4.5098
735,4.1759
736,4.2173
737,4.2555
738,3.8604
739,4.2794
740,4.2531
741,4.3383
742,4.0971
743,5.4736
744,4.4814
745,4.2726
746,3.9260
747,4.3932
748,4.3556
749,4.2839
750,4.2882
751,4.3794
752,4.3469
753,4.2895
754,4.1377
755,4.3218
756,4.2679
757,4.2480
758,4.2607
759,4.2633
760,4.1334
761,8.9915
762,4.2910
763,4.2830
764,4.3228
765,4.2543
766,4.0988
767,4.2042
768,4.2035
769,4.1142
770,7.9545
771,6.0221
772,4.3161
773,5.5073
774,4.7552
775,4.0170
776,7.0701
777,5.6595
778,4.2514
779,6.8299
780,4.2889
781,5.8285
782,4.2515
783,4.1277
784,3.8584
785,9.2096
786,4.2761
787,4.3314
788,3.9626
789,6.6707
790,4.3573
791,7.9128
792,4.5419
793,8.1144
794,4.3304
795,4.2705
796,4.2010
797,4.1199
798,4.2445
799,4.1771
800,4.1751
801,4.9313
802,4.3069
803,7.8033
804,4.2458
805,4.2303
806,3.8274
807,4.2954
808,6.6113
809,4.2761
810,3.8972
811,4.1459
812,5.0940
813,4.2319
814,4.2761
815,5.2075
816,4.3079
817,4.8475
818,4.3014
819,4.2515
820,6.0638
821,4.2194
822,4.2335
823,5.8482
824,4.2026
825,3.8558
826,4.3887
827,3.9094
828,4.2889
829,4.2319
830,5.0759
831,5.8783
832,4.2600
833,9.5844
834,6.6877
835,4.3848
836,4.2284
837,9.6127
838,5.7337
839,4.1260
840,4.1192
841,3.7967
842,4.2346
843,4.1084
844,4.3446
845,4.2832
846,4.4063
847,4.2194
848,4.2260
849,4.6536
850,4.3753
851,4.2093
852,9.8434
853,4.2738
854,6.4940
855,4.1385
856,4.1943
857,4.1420
858,4.0793
859,4.2652
860,7.0804
861,4.2500
862,3.7825
863,4.3849
864,7.6018
865,4.2091
866,7.0509
867,4.2313
868,8.4692
869,4.2319
870,9.3851
871,4.2426
872,7.5773
873,7.1007
874,7.0235
875,4.2320
876,4.1174
877,4.1854
878,4.2908
879,4.3645
880,4.2196
881,4.1739
882,4.1936
883,4.8302
884,4.2460
885,4.3049
886,7.4134
887,4.2347
888,5.0139
889,4.2034
890,6.0276
891,4.0342
892,4.8715
893,3.9850
894,5.8975
895,4.1638
896,8.6452
897,4.2015
898,10.2866
899,6.5184
900,6.1025
901,4.0926
902,6.9373
903,4.5225
904,4.4834
905,7.0992
906,6.5298
907,4.1118
908,5.6457
909,4.1530
910,4.3500
911,4.1982
912,4.1725
913,4.2428
914,4.3647
915,4.1649
916,4.2292
917,4.2143
918,10.0489
919,4.2547
920,7.3227
921,4.0852
922,6.5405
923,4.3694
924,7.4235
925,4.4173
926,4.3819
927,4.2836
928,6.9268
929,4.3429
930,4.1140
931,4.1189
932,4.2133
933,6.7036
934,4.2399
935,7.0963
936,4.1372
937,8.2108
938,4.2763
939,6.4886
940,7.4844
941,7.2244
942,4.2865
943,6.7291
944,4.2457
945,4.2118
946,6.8538
947,4.0052
948,8.4364
949,6.0693
950,7.2601
951,4.2892
952,4.1611
953,4.2302
954,4.0250
955,7.8746
956,4.2882
957,3.7947
958,4.3775
959,4.3744
960,5.9723
961,4.0440
962,8.2293
963,4.3084
964,7.8870
965,4.3965
966,4.1043
967,4.3232
968,7.6400
969,4.3286
970,4.3662
971,4.0158
972,4.2175
973,4.4176
974,4.2634
975,10.2314
976,4.2600
977,4.4068
978,6.7490
979,4.0536
980,6.9634
981,4.2601
982,7.5130
983,4.2235
984,7.3084
985,5.9160
986,7.6688
987,4.2916
988,6.0255
989,4.2354
990,6.6812
991,4.1280
992,4.9425
993,3.9128
994,7.3058
995,4.2398
996,4.1799
997,4.0994
998,5.3029
999,4.2006
