timestamp_s,power_W
0.0622,176.33
0.1132,176.33
0.1633,170.81
0.2136,170.81
0.2646,167.21
0.3157,167.21
0.3668,167.28
0.4178,167.28
0.4682,166.48
0.5190,166.48
0.5702,166.44
0.6213,166.44
0.6715,165.00
0.7217,165.00
0.7729,162.66
0.8230,162.66
0.8730,164.38
0.9239,164.38
0.9741,168.00
1.0247,168.00
1.0750,171.74
1.1257,171.74
1.1760,176.03
1.2265,176.03
1.2766,177.82
1.3268,177.82
1.3771,177.94
1.4272,177.94
1.4776,176.38
1.5277,176.38
1.5787,179.27
1.6299,179.27
1.6799,179.41
1.7300,179.41
1.7807,179.15
1.8309,179.15
1.8815,176.66
1.9317,176.66
1.9827,177.62
2.0339,177.62
2.0849,179.06
2.1350,179.06
2.1851,180.80
2.2351,180.80
2.2853,180.33
2.3358,179.78
2.3865,179.78
2.4366,180.79
2.4877,180.79
2.5379,178.49
2.5881,178.49
2.6391,179.10
2.6903,179.10
2.7404,178.73
2.7906,178.73
2.8414,179.54
2.8917,179.54
2.9426,177.79
2.9935,177.79
3.0448,177.86
3.0957,177.86
3.1467,177.84
3.1977,177.84
3.2489,176.79
3.2997,176.79
3.3499,177.66
3.4011,177.66
3.4512,178.86
3.5023,178.86
3.5524,181.56
3.6034,181.56
3.6535,182.30
3.7045,182.30
3.7555,183.90
3.8066,183.90
3.8567,184.39
3.9069,184.39
3.9573,185.18
4.0079,185.18
4.0579,183.97
4.1083,183.97
4.1586,184.00
4.2091,184.00
4.2598,185.01
4.3099,185.01
4.3614,184.72
4.4115,184.72
4.4618,181.97
4.5130,181.97
4.5638,180.76
4.6140,180.76
4.6650,178.86
4.7158,178.86
4.7669,180.15
4.8181,180.15
4.8690,178.33
4.9191,178.33
4.9697,178.07
5.0200,178.07
5.0704,178.63
5.1213,178.63
5.1724,177.82
5.2225,177.82
5.2728,177.93
5.3230,177.93
5.3736,178.41
5.4240,178.41
5.4747,180.32
5.5251,180.32
5.5752,180.40
5.6253,180.40
5.6765,180.06
5.7274,180.06
5.7775,180.99
5.8277,180.99
5.8781,181.93
5.9291,181.93
5.9791,180.34
6.0301,180.34
6.0803,179.51
6.1311,179.51
6.1812,181.70
6.2320,181.70
6.2821,182.48
6.3328,182.48
6.3840,182.04
6.4350,182.04
6.4860,180.82
6.5361,180.82
6.5869,181.08
6.6370,181.08
6.6870,180.11
6.7371,177.98
6.7874,177.98
6.8377,178.31
6.8888,178.31
6.9389,178.32
6.9899,178.32
7.0409,179.62
7.0910,179.62
7.1412,176.78
7.1920,176.78
7.2431,178.73
7.2940,178.73
7.3443,179.93
7.3948,179.93
7.4452,179.30
7.4962,179.30
7.5463,178.34
7.5974,178.34
7.6475,179.99
7.6978,179.99
7.7486,181.31
7.7989,181.31
7.8500,181.24
7.9003,181.24
7.9510,181.75
8.0022,181.75
8.0523,182.00
8.1027,182.00
8.1531,182.46
8.2040,182.46
8.2542,182.71
8.3043,182.71
8.3551,182.17
8.4060,182.17
8.4565,182.06
8.5066,182.06
8.5572,185.53
8.6073,185.53
8.6583,185.78
8.7094,185.78
8.7605,184.96
8.8113,184.96
8.8623,186.21
8.9141,186.21
8.9645,186.51
9.0160,186.51
9.0665,185.26
9.1178,185.26
9.1684,184.14
9.2186,184.14
9.2687,180.20
9.3194,180.20
9.3696,179.85
9.4198,179.85
9.4699,179.95
9.5208,179.95
9.5716,178.79
9.6220,178.79
9.6720,176.81
9.7227,176.81
9.7732,177.49
9.8234,177.49
9.8736,176.71
9.9249,176.71
9.9751,176.40
10.0254,176.40
10.0755,176.21
10.1256,176.21
10.1758,176.48
10.2270,176.48
10.2780,179.61
10.3290,179.61
10.3793,179.81
10.4301,179.81
10.4808,179.50
10.5314,179.50
10.5824,178.55
10.6335,178.55
10.6835,180.68
