step_idx,forward_wall_ms
0,6130.5493
1,6212.3096
2,5.1222
3,4.5030
4,4.4197
5,4.2321
6,5.3573
7,5.0866
8,4.4655
9,4.5078
10,11.7904
11,4.2683
12,4.9759
13,4.2235
14,4.0593
15,4.0574
16,4.7934
17,3.8214
18,4.0111
19,4.1260
20,4.1179
21,4.9332
22,4.1782
23,3.7266
24,4.0543
25,3.9357
26,4.1244
27,4.5852
28,3.8189
29,3.8036
30,3.6897
31,4.2200
32,4.0241
33,5.4939
34,4.9799
35,4.3335
36,4.0720
37,4.0792
38,4.1420
39,4.1526
40,4.1264
41,5.3210
42,4.2127
43,4.2258
44,5.1735
45,4.3411
46,5.0856
47,4.1215
48,4.9707
49,5.1340
50,4.2892
51,4.9977
52,4.1772
53,4.2286
54,4.9572
55,5.1255
56,4.9754
57,4.5196
58,4.3033
59,4.1334
60,3.9573
61,4.5692
62,4.2756
63,4.1480
64,4.6553
65,4.1356
66,4.4395
67,29.3910
68,4.5895
69,4.2991
70,3.9223
71,4.4918
72,4.3529
73,4.1634
74,3.7192
75,3.7600
76,4.3828
77,4.2312
78,4.5515
79,4.2288
80,4.0885
81,4.1986
82,4.5410
83,4.3759
84,3.8759
85,3.9830
86,5.6938
87,4.5854
88,4.3263
89,4.2287
90,4.6642
91,4.1600
92,4.1375
93,3.8965
94,4.1228
95,4.4451
96,4.1453
97,4.0512
98,4.5295
99,4.3420
100,3.8422
101,4.3614
102,4.8567
103,4.0263
104,4.3483
105,3.8643
106,4.5443
107,6.3365
108,68.3438
109,4.8254
110,4.3294
111,4.3538
112,4.1359
113,4.7056
114,4.1969
115,4.2244
116,4.6679
117,4.1118
118,4.3360
119,4.0011
120,4.5419
121,4.2652
122,4.0773
123,72.4833
124,4.8069
125,4.1021
126,3.9895
127,3.9452
128,4.5309
129,4.1414
130,3.6544
131,3.9964
132,4.4236
133,4.2393
134,4.1966
135,4.5982
136,4.6320
137,4.0725
138,4.0416
139,4.7473
140,4.4121
141,4.0502
142,11.2704
143,4.2025
144,4.3462
145,4.4021
146,4.3259
147,4.4627
148,4.0869
149,4.4665
150,4.2059
151,4.2179
152,4.5922
153,4.3414
154,4.1628
155,4.1053
156,4.6012
157,4.4961
158,4.5884
159,5.0809
160,4.5952
161,4.8750
162,4.2500
163,4.1349
164,3.9236
165,5.0567
166,4.1968
167,4.8434
168,4.1769
169,5.0672
170,4.3908
171,4.2544
172,5.0451
173,4.3794
174,5.3109
175,4.3506
176,4.0218
177,3.6502
178,4.0124
179,3.8819
180,5.0768
181,4.2066
182,4.1762
183,4.0747
184,4.0479
185,4.1732
186,5.1694
187,4.0925
188,4.9273
189,4.2029
190,4.0876
191,4.0848
192,4.3712
193,3.6445
194,3.9036
195,3.9560
196,5.3923
197,3.9717
198,3.7537
199,3.4789
200,3.7656
201,3.8116
202,3.7010
203,4.0202
204,3.8632
205,3.7320
206,4.2130
207,3.8039
208,3.8537
209,4.7877
