timestamp_s,power_W
0.0602,95.75
0.1103,91.09
0.1604,91.09
0.2110,87.32
0.2614,87.32
0.3115,84.97
0.3622,84.97
0.4128,84.19
0.4631,84.19
0.5135,88.83
0.5640,88.83
0.6144,90.73
0.6650,90.73
0.7155,94.11
0.7659,94.11
0.8162,91.77
0.8669,91.77
0.9172,91.46
0.9680,91.46
1.0184,91.97
1.0687,91.97
1.1191,96.84
1.1698,96.84
1.2209,99.88
1.2715,103.36
1.3217,103.36
1.3722,107.50
1.4226,107.50
1.4732,109.71
1.5234,109.71
1.5738,107.98
1.6245,107.98
1.6748,106.39
1.7258,106.39
1.7767,104.12
1.8272,104.12
1.8775,106.11
1.9279,106.11
1.9790,105.90
2.0301,105.90
2.0805,106.19
2.1307,106.19
2.1810,105.00
2.2314,105.00
2.2818,102.97
2.3323,102.97
2.3825,101.66
2.4329,101.66
2.4831,102.02
2.5336,102.02
2.5840,99.42
2.6350,99.42
2.6856,97.56
2.7360,97.56
2.7864,96.33
2.8369,96.33
2.8872,97.22
2.9376,97.22
2.9879,95.80
3.0380,95.80
3.0884,97.72
3.1390,97.72
3.1893,97.86
3.2397,97.86
3.2902,96.27
3.3404,96.27
3.3911,99.08
3.4413,99.08
3.4917,100.47
3.5418,100.47
3.5922,98.53
3.6432,98.53
3.6934,97.19
3.7439,97.19
3.7944,97.11
3.8445,97.11
3.8953,98.20
3.9455,98.20
3.9957,97.91
4.0460,97.91
4.0963,96.32
4.1466,96.32
4.1969,95.33
4.2471,95.33
4.2977,94.74
4.3483,94.74
4.3989,96.26
4.4492,96.26
4.4998,94.36
4.5500,94.36
4.6005,94.61
4.6506,94.61
4.7011,95.27
4.7518,95.27
4.8019,99.44
4.8524,99.44
4.9026,103.67
4.9533,103.67
5.0036,105.03
5.0538,105.03
5.1041,105.44
5.1541,105.44
5.2045,107.31
5.2549,107.31
5.3052,106.60
5.3557,106.60
5.4061,103.83
5.4564,103.83
5.5071,104.07
5.5571,104.07
5.6079,106.77
5.6582,106.77
5.7085,105.91
5.7590,105.91
5.8094,105.77
5.8597,105.77
5.9101,104.20
5.9603,104.20
6.0110,102.89
6.0615,102.89
6.1117,104.30
6.1622,104.30
6.2125,106.01
6.2630,106.01
6.3134,105.64
6.3637,105.64
6.4138,105.30
6.4645,105.30
6.5147,104.29
6.5651,104.29
6.6152,105.24
6.6655,105.24
6.7158,104.26
6.7659,104.26
6.8162,106.43
6.8668,106.43
6.9171,106.00
6.9673,106.00
7.0179,106.75
7.0683,106.75
7.1187,105.22
7.1690,105.22
7.2195,101.34
7.2698,101.34
7.3202,99.45
7.3705,99.45
7.4209,101.23
7.4720,99.87
7.5222,99.87
7.5726,103.37
7.6233,103.37
7.6737,101.24
7.7240,101.24
7.7745,103.40
7.8246,103.40
7.8750,102.78
7.9255,102.78
7.9758,103.20
8.0260,103.20
8.0771,102.83
8.1275,102.83
8.1782,103.62
8.2284,103.62
8.2789,106.30
8.3291,106.30
8.3797,108.66
8.4299,108.66
8.4803,109.68
8.5306,109.68
8.5815,111.11
8.6323,111.11
8.6824,111.36
8.7333,111.36
8.7837,110.41
8.8340,110.41
8.8843,108.25
8.9347,108.25
8.9851,108.37
9.0354,108.37
9.0858,107.86
9.1361,107.86
9.1867,107.59
9.2370,107.59
9.2873,105.22
9.3375,105.22
9.3879,104.55
9.4383,104.55
9.4887,101.78
9.5391,101.78
9.5895,98.31
9.6399,98.31
9.6904,96.94
9.7409,96.94
9.7911,96.10
9.8412,96.10
9.8917,98.47
9.9422,98.47
9.9928,98.78
10.0429,98.78
10.0938,95.77
10.1442,95.77
10.1943,97.04
10.2448,97.04
10.2949,95.80
10.3465,95.80
10.3971,98.00
10.4473,98.00
10.4974,96.95
10.5479,96.95
10.5983,98.70
10.6487,98.70
10.6989,100.38
10.7493,100.38
10.7997,100.01
10.8500,100.01
10.9004,99.94
10.9509,99.94
11.0013,100.69
11.0513,100.69
11.1022,99.92
11.1523,99.92
11.2028,103.94
11.2530,103.94
11.3031,101.56
11.3537,101.56
11.4042,103.70
11.4547,103.70
11.5050,101.56
11.5554,101.56
11.6057,104.09
11.6561,104.09
11.7062,102.07
11.7570,102.07
11.8074,102.54
11.8577,102.54
11.9081,105.98
11.9584,105.98
12.0087,104.43
12.0598,104.43
12.1105,101.71
12.1612,101.71
12.2115,100.61
12.2619,100.61
12.3124,97.79
12.3626,97.79
12.4132,100.59
12.4635,100.59
12.5145,101.53
12.5648,101.53
12.6152,104.34
12.6658,104.34
12.7161,104.66
12.7666,104.66
12.8168,105.94
12.8674,105.94
12.9182,103.53
12.9684,103.53
13.0186,101.94
13.0690,101.94
13.1192,104.03
13.1696,104.03
13.2200,106.66
13.2704,106.66
13.3209,110.02
13.3712,110.02
13.4215,111.11
13.4717,111.11
13.5224,110.37
13.5725,110.37
13.6231,108.83
13.6732,109.20
13.7242,109.20
13.7745,106.50
13.8246,106.50
13.8748,104.54
13.9250,104.54
13.9761,103.56
14.0262,103.56
14.0769,102.44
14.1275,102.44
14.1780,103.13
14.2283,103.13
14.2784,101.52
14.3289,101.52
14.3801,99.66
14.4312,99.66
14.4815,99.19
14.5323,99.19
14.5825,97.38
14.6327,97.38
14.6831,97.21
14.7335,97.21
14.7838,98.18
14.8340,98.18
14.8845,99.69
14.9358,99.69
14.9859,103.16
15.0363,103.16
15.0868,105.41
15.1374,105.41
15.1881,108.34
15.2382,108.34
15.2885,108.89
15.3389,108.89
15.3893,110.81
15.4396,110.81
15.4898,112.78
15.5405,112.78
15.5906,111.96
15.6411,111.96
15.6916,113.16
15.7419,113.16
15.7924,112.88
15.8430,112.88
15.8930,112.25
15.9435,112.25
15.9939,110.36
16.0439,110.36
16.0945,107.15
16.1450,107.15
16.1954,109.00
16.2457,109.00
16.2960,106.97
16.3466,106.97
16.3971,105.58
16.4474,105.58
16.4984,103.44
16.5488,103.44
16.5991,101.97
16.6493,101.97
16.7000,104.14
