timestamp_s,power_W
0.0618,103.81
0.1132,100.63
0.1636,100.63
0.2140,94.54
0.2644,94.54
0.3149,97.56
0.3651,97.56
0.4157,93.43
0.4660,93.43
0.5164,93.33
0.5667,93.33
0.6170,90.37
0.6677,90.37
0.7181,89.55
0.7686,89.55
0.8189,88.10
0.8693,88.10
0.9196,91.51
0.9699,91.51
1.0204,96.88
1.0706,96.88
1.1213,103.05
1.1716,103.05
1.2219,107.93
1.2726,107.93
1.3227,113.19
1.3735,113.19
1.4239,109.82
1.4742,109.82
1.5244,110.69
1.5753,110.69
1.6254,107.23
1.6760,107.23
1.7261,109.07
1.7766,109.07
1.8267,112.30
1.8778,112.30
1.9286,114.17
1.9788,114.17
2.0293,114.23
2.0795,114.23
2.1300,112.73
2.1802,112.73
2.2306,112.94
2.2809,112.94
2.3311,112.60
2.3812,112.60
2.4314,109.32
2.4825,111.66
2.5326,111.66
2.5831,110.29
2.6335,110.29
2.6838,113.97
2.7342,113.97
2.7845,113.46
2.8354,113.46
2.8863,113.53
2.9368,113.53
2.9870,113.14
3.0373,113.14
3.0882,111.68
3.1387,111.68
3.1892,113.91
3.2393,113.91
3.2901,112.36
3.3406,112.36
3.3909,113.91
3.4412,113.91
3.4916,115.35
3.5421,115.35
3.5925,111.89
3.6430,111.89
3.6933,114.53
3.7436,114.53
3.7937,113.85
3.8441,113.85
3.8944,114.56
3.9449,114.56
3.9952,112.89
4.0457,112.89
4.0959,110.06
4.1463,110.06
4.1964,108.85
4.2469,108.85
4.2971,105.17
4.3473,105.17
4.3975,104.99
4.4482,104.99
4.4986,102.02
4.5489,102.02
4.5991,100.28
4.6491,100.28
4.6997,104.51
4.7498,104.51
4.8005,106.99
4.8507,106.99
4.9010,107.53
4.9516,107.53
5.0017,107.57
5.0521,107.57
5.1024,110.09
5.1527,110.09
5.2030,113.60
5.2546,113.60
5.3047,112.66
5.3548,112.66
5.4054,114.76
5.4555,114.76
5.5063,115.20
5.5566,115.20
5.6070,116.69
5.6576,116.69
5.7080,121.76
5.7585,121.76
5.8089,120.70
5.8596,120.70
5.9102,119.86
5.9605,119.86
6.0107,120.12
6.0610,120.12
6.1115,118.31
6.1620,118.31
6.2122,117.06
6.2629,117.06
6.3133,117.33
6.3637,117.33
6.4139,119.06
6.4645,119.06
6.5155,118.81
6.5662,118.81
6.6167,118.50
6.6672,118.50
6.7175,118.71
6.7681,118.71
6.8186,114.59
6.8690,114.59
6.9194,115.29
6.9696,115.29
7.0199,116.43
7.0703,116.43
7.1205,117.13
7.1711,117.13
7.2215,118.54
7.2720,118.54
7.3224,119.88
7.3733,119.88
7.4233,118.71
7.4736,118.71
7.5240,119.91
7.5741,119.91
7.6249,117.25
7.6750,117.25
7.7254,118.28
7.7762,118.28
7.8264,114.98
7.8769,114.98
7.9273,114.38
7.9776,114.38
8.0281,111.99
8.0784,111.99
8.1285,109.46
8.1795,109.46
8.2300,107.32
8.2803,107.32
8.3314,107.23
8.3818,107.23
8.4322,107.47
8.4825,107.47
8.5327,106.24
8.5838,106.24
8.6340,102.70
8.6848,104.36
8.7352,104.36
8.7855,104.58
8.8359,104.58
8.8868,104.73
8.9372,104.73
8.9883,105.33
9.0386,105.33
9.0888,104.08
9.1393,104.08
9.1897,106.17
9.2400,106.17
9.2906,105.87
9.3409,105.87
9.3920,105.02
9.4428,105.02
9.4937,102.69
9.5443,102.69
9.5947,104.94
9.6451,104.94
9.6955,108.18
9.7457,108.18
9.7960,108.41
9.8463,108.41
9.8965,104.46
9.9466,104.46
9.9974,106.19
10.0475,106.19
10.0982,108.01
10.1483,108.01
10.1994,107.50
10.2498,107.50
10.3000,107.25
10.3503,107.25
10.4006,104.93
10.4513,104.93
10.5016,104.90
10.5517,104.90
10.6022,106.60
10.6524,106.60
10.7024,104.62
10.7530,104.62
10.8034,103.74
10.8536,103.74
10.9039,105.04
10.9542,105.04
11.0045,105.94
11.0547,105.94
11.1049,104.03
11.1553,104.03
11.2056,105.34
11.2561,105.34
11.3064,109.38
11.3567,109.38
11.4070,108.35
11.4574,108.35
11.5079,112.63
11.5582,112.63
11.6083,114.00
11.6584,114.00
11.7085,110.08
11.7596,110.08
11.8106,108.97
11.8610,108.97
11.9121,109.32
11.9622,109.32
12.0133,108.84
12.0646,108.84
12.1149,109.00
12.1654,109.00
12.2160,112.61
12.2664,112.61
12.3167,110.73
12.3672,110.73
12.4176,108.98
12.4678,108.98
12.5181,109.31
12.5684,109.31
12.6189,109.76
12.6692,109.76
12.7196,111.19
12.7699,111.19
12.8204,114.95
12.8708,114.95
12.9217,117.73
12.9727,117.73
13.0230,117.36
13.0735,117.36
13.1235,117.77
13.1745,117.77
13.2247,117.58
13.2749,117.58
13.3256,117.38
13.3757,117.38
13.4263,118.42
13.4767,118.42
13.5273,118.57
13.5776,118.57
13.6280,118.49
13.6785,118.49
13.7293,117.43
13.7795,117.43
13.8302,116.28
13.8802,116.28
13.9310,115.89
13.9814,115.89
14.0316,115.64
14.0821,115.64
14.1326,113.57
14.1829,113.57
14.2332,113.80
14.2832,113.80
14.3336,114.76
14.3839,114.76
14.4343,115.26
14.4845,115.26
14.5350,115.36
14.5850,115.36
14.6352,116.88
14.6864,113.93
14.7364,113.93
14.7870,113.83
14.8374,113.83
14.8879,112.84
14.9379,112.84
14.9886,111.91
15.0389,111.91
15.0892,109.49
15.1394,109.49
15.1901,111.59
15.2403,111.59
15.2908,110.87
15.3412,110.87
15.3914,112.41
15.4419,112.41
15.4930,112.92
15.5438,112.92
15.5944,113.11
15.6454,113.11
15.6961,110.11
15.7462,110.11
15.7969,112.32
15.8473,112.32
15.8974,111.55
15.9483,111.55
15.9989,110.88
16.0493,110.88
16.0997,112.33
16.1498,112.33
16.2006,116.36
16.2511,116.36
16.3014,117.86
16.3519,117.86
16.4021,119.80
16.4524,119.80
16.5027,116.71
16.5531,116.71
16.6034,114.52
16.6539,114.52
