timestamp_s,power_W
0.0535,123.23
0.1042,123.02
0.1549,123.02
0.2058,122.50
0.2565,122.50
0.3075,122.14
0.3582,122.14
0.4089,120.61
0.4597,120.61
0.5104,118.52
0.5614,118.52
0.6117,115.68
0.6619,115.68
0.7128,112.84
0.7636,112.84
0.8144,110.31
0.8652,110.31
0.9160,107.59
0.9667,107.59
1.0174,104.84
1.0682,104.84
1.1191,102.75
1.1699,102.75
1.2207,101.68
1.2715,101.68
1.3221,102.41
1.3728,102.41
1.4237,103.38
1.4746,103.38
1.5255,105.42
1.5764,105.42
1.6272,108.33
1.6780,108.33
1.7288,111.83
1.7795,114.45
1.8301,114.45
1.8808,116.81
1.9316,116.81
1.9823,120.54
2.0331,120.54
2.0838,124.32
2.1346,124.32
2.1854,126.75
2.2362,126.75
2.2870,126.59
2.3378,126.59
2.3885,127.24
2.4392,127.24
2.4900,129.36
2.5409,129.36
2.5916,131.55
2.6427,131.55
2.6933,132.51
2.7434,132.51
2.7937,131.79
2.8445,131.79
2.8953,130.03
2.9461,130.03
2.9968,127.39
3.0477,127.39
3.0985,123.81
3.1493,123.81
3.2001,123.03
3.2508,123.03
3.3016,123.80
3.3518,123.80
3.4021,124.59
3.4528,124.59
3.5036,123.07
3.5543,123.07
3.6052,120.99
3.6561,120.99
3.7070,117.45
3.7577,117.45
3.8085,116.03
3.8592,116.03
3.9101,114.20
3.9608,114.20
4.0118,115.19
4.0620,115.19
4.1121,118.30
4.1627,118.30
4.2137,120.14
4.2644,120.14
4.3155,117.57
4.3663,117.57
4.4171,117.27
4.4678,117.27
4.5192,120.29
4.5703,120.29
4.6210,122.31
4.6717,122.31
4.7225,122.46
4.7733,122.46
4.8241,121.82
4.8748,121.82
4.9256,122.02
4.9763,122.02
5.0269,123.07
5.0777,123.07
5.1285,122.35
5.1792,122.35
5.2300,121.83
5.2808,123.81
5.3316,123.81
5.3824,127.37
5.4331,127.37
5.4848,128.80
5.5359,128.80
5.5866,127.01
5.6373,127.01
5.6880,127.96
5.7381,127.96
5.7884,127.54
5.8387,127.54
5.8889,129.46
5.9393,129.46
5.9902,128.61
6.0411,128.61
6.0919,128.88
6.1421,128.88
6.1925,130.02
6.2434,130.02
6.2941,127.64
6.3448,127.64
6.3955,125.67
6.4464,125.67
6.4972,126.24
6.5480,126.24
6.5988,123.64
6.6497,123.64
6.7005,121.59
6.7513,121.59
6.8020,121.01
6.8528,121.01
6.9037,123.53
6.9545,123.53
7.0054,124.19
7.0562,124.19
7.1071,123.92
7.1580,123.92
7.2087,123.44
7.2595,123.44
7.3104,121.94
7.3613,121.94
7.4120,121.41
7.4627,121.41
7.5129,119.97
7.5634,119.97
7.6142,116.08
7.6650,116.08
7.7158,117.28
7.7660,117.28
7.8164,120.26
7.8672,120.26
7.9180,121.28
7.9686,121.28
8.0194,119.85
8.0702,119.85
8.1210,118.88
8.1715,118.88
8.2225,117.65
8.2734,117.65
8.3242,116.85
8.3749,116.85
8.4257,118.03
8.4773,118.03
8.5284,121.21
8.5793,121.21
8.6300,122.05
8.6802,122.05
8.7310,121.58
8.7818,121.32
8.8327,121.32
8.8839,121.66
8.9342,121.66
8.9850,118.08
9.0357,118.08
9.0866,115.78
9.1375,115.78
9.1878,116.89
9.2385,116.89
9.2895,120.77
9.3403,120.77
9.3911,121.97
9.4418,121.97
9.4927,119.87
9.5434,119.87
9.5943,118.14
9.6451,118.14
9.6958,121.38
9.7466,121.38
9.7974,123.60
9.8482,123.60
9.8991,121.91
9.9499,121.91
10.0006,119.10
10.0513,119.10
10.1020,119.36
10.1528,119.36
10.2035,123.03
10.2542,123.03
10.3051,123.55
10.3556,123.55
10.4065,121.37
10.4573,121.37
10.5081,119.49
10.5589,119.49
10.6097,122.08
10.6606,122.08
10.7114,124.37
10.7622,124.37
10.8130,123.36
10.8638,123.36
10.9147,123.47
10.9653,123.47
11.0161,124.61
11.0669,124.61
11.1176,124.96
11.1686,124.96
11.2201,125.01
11.2710,125.01
11.3218,122.39
11.3724,122.39
11.4236,120.23
11.4740,120.23
11.5248,122.20
11.5752,122.20
11.6259,125.15
11.6768,125.15
11.7275,125.98
11.7782,125.98
11.8289,123.93
11.8797,123.93
11.9304,121.39
11.9812,121.39
12.0320,120.12
12.0828,120.12
12.1337,121.76
12.1844,124.19
12.2354,124.19
12.2861,125.34
12.3370,125.34
12.3877,124.25
12.4384,124.25
12.4892,123.74
12.5400,123.74
12.5908,122.53
12.6417,122.53
12.6925,122.25
12.7433,122.25
12.7940,122.37
12.8447,122.37
12.8956,124.28
12.9465,124.28
12.9973,126.83
13.0479,126.83
13.0987,129.06
13.1494,129.06
13.2003,128.60
13.2512,128.60
13.3020,129.17
13.3526,129.17
13.4033,131.42
13.4541,131.42
13.5050,135.20
13.5558,135.20
13.6066,138.86
13.6579,138.86
13.7088,139.66
13.7597,139.66
13.8105,139.07
13.8612,139.07
13.9118,136.57
13.9624,136.57
14.0131,134.30
14.0639,134.30
14.1148,133.11
14.1655,133.11
14.2162,131.60
14.2671,131.60
14.3178,128.99
14.3686,128.99
14.4194,128.34
14.4700,128.34
14.5209,128.37
14.5718,128.37
14.6225,126.09
14.6726,126.09
14.7230,122.60
14.7738,122.60
14.8245,120.36
14.8754,120.36
14.9262,119.30
14.9770,119.30
15.0278,121.71
15.0786,121.71
15.1294,123.44
15.1802,123.44
15.2310,123.28
15.2819,123.28
15.3327,123.65
15.3836,123.65
15.4344,123.96
15.4854,123.96
15.5362,120.82
15.5870,119.34
15.6377,119.34
15.6886,121.37
15.7394,121.37
15.7901,124.58
15.8410,124.58
15.8916,126.73
15.9422,126.73
15.9929,126.97
16.0438,126.97
16.0943,124.08
16.1453,124.08
16.1961,121.08
16.2470,121.08
16.2974,122.47
16.3481,122.47
16.3983,124.38
16.4486,124.38
16.4995,125.84
16.5502,125.84
16.6011,126.63
16.6518,126.63
16.7020,127.43
16.7525,127.43
16.8032,128.29
16.8541,128.29
16.9049,127.36
16.9554,127.36
17.0064,125.34
17.0566,125.34
17.1069,125.19
17.1577,125.19
17.2085,125.40
17.2594,125.40
17.3101,126.06
17.3608,126.06
17.4117,122.69
17.4625,122.69
17.5134,118.79
17.5641,118.79
17.6148,118.55
17.6656,118.55
17.7169,120.05
17.7673,120.05
17.8181,120.11
17.8689,120.11
17.9198,116.95
17.9705,116.95
18.0212,114.15
18.0721,114.15
18.1223,115.76
18.1734,115.76
18.2242,117.98
18.2750,117.98
18.3257,120.77
18.3766,120.77
18.4275,120.97
18.4783,120.97
18.5291,121.61
18.5800,121.61
18.6308,125.28
18.6815,125.28
18.7322,126.90
18.7830,126.90
18.8337,126.28
18.8845,126.28
18.9354,123.01
18.9862,121.83
19.0369,121.83
19.0888,125.69
19.1391,125.69
