timestamp_s,power_W
0.0930,148.80
0.1437,146.00
0.1945,146.00
0.2446,145.12
0.2952,145.12
0.3467,143.49
0.3977,143.49
0.4478,143.33
0.4982,143.33
0.5493,141.89
0.5995,141.89
0.6503,143.04
0.7007,143.04
0.7510,141.90
0.8012,141.90
0.8526,141.37
0.9029,141.37
0.9536,144.05
1.0039,144.05
1.0548,147.65
1.1050,147.65
1.1560,150.04
1.2066,151.93
1.2572,151.93
1.3077,152.46
1.3582,152.46
1.4089,152.53
1.4597,152.53
1.5102,152.18
1.5607,152.18
1.6112,151.91
1.6617,151.91
1.7126,151.40
1.7635,151.40
1.8138,150.71
1.8641,150.71
1.9150,150.40
1.9650,150.40
2.0160,150.03
2.0663,150.03
2.1170,150.69
2.1672,150.69
2.2177,151.35
2.2694,151.35
2.3204,151.22
2.3711,151.22
2.4212,152.82
2.4725,152.82
2.5228,153.08
2.5735,153.08
2.6237,152.63
2.6739,152.63
2.7243,152.39
2.7748,152.39
2.8260,153.19
2.8769,153.19
2.9282,153.47
2.9787,153.47
3.0292,153.99
3.0798,153.99
3.1300,152.87
3.1809,152.87
3.2312,152.66
3.2812,152.66
3.3313,152.72
3.3821,152.72
3.4328,152.87
3.4834,152.87
3.5343,152.92
3.5844,152.92
3.6350,152.86
3.6860,152.86
3.7366,153.94
3.7871,153.94
3.8378,153.63
3.8882,153.63
3.9386,153.22
3.9895,153.22
4.0400,153.20
4.0908,153.20
4.1414,153.54
4.1919,153.54
4.2422,153.84
4.2931,153.84
4.3435,154.37
4.3936,154.37
4.4438,154.08
4.4943,154.08
4.5443,153.96
4.5946,153.96
4.6452,153.43
4.6953,153.43
4.7456,152.68
4.7957,152.68
4.8467,153.44
4.8973,153.44
4.9478,152.01
4.9982,152.01
5.0488,151.55
5.0993,151.55
5.1495,149.94
5.1998,149.94
5.2504,150.43
5.3013,150.43
5.3514,149.68
5.4017,149.68
5.4524,149.10
5.5037,149.10
5.5549,149.03
5.6063,149.03
5.6567,150.15
5.7075,149.98
5.7580,149.98
5.8083,149.62
5.8589,149.62
5.9093,150.84
5.9596,150.84
6.0105,151.50
6.0609,151.50
6.1117,152.94
6.1620,152.94
6.2128,153.62
6.2630,153.62
6.3136,154.14
6.3646,154.14
6.4157,153.73
6.4665,153.73
6.5172,153.42
6.5677,153.42
6.6178,153.25
6.6679,153.25
6.7184,153.05
6.7689,153.05
6.8195,153.22
6.8703,153.22
6.9208,153.32
6.9715,153.32
7.0218,152.66
7.0724,152.66
7.1229,153.38
7.1731,153.38
7.2231,152.08
7.2737,152.08
7.3241,151.53
7.3742,151.53
7.4246,151.84
7.4750,151.84
7.5251,151.81
7.5761,151.81
7.6262,152.02
7.6764,152.02
7.7266,152.45
7.7772,152.45
7.8276,152.04
7.8781,152.04
7.9287,151.96
7.9791,151.96
8.0295,152.44
8.0796,152.44
8.1301,151.25
8.1812,151.25
8.2320,151.52
8.2824,151.52
8.3327,151.42
8.3835,151.42
8.4339,151.65
8.4846,151.65
8.5347,151.74
8.5853,151.74
8.6355,152.00
8.6856,152.00
8.7361,153.44
8.7863,153.44
8.8368,153.24
8.8870,153.24
8.9372,152.88
8.9877,152.88
9.0381,152.39
9.0889,152.39
9.1391,153.43
9.1896,153.43
9.2402,153.82
9.2909,153.82
9.3413,154.00
9.3918,154.00
9.4420,153.53
9.4921,153.53
9.5425,153.56
9.5931,153.56
9.6434,152.53
9.6942,152.53
9.7447,151.53
9.7953,151.53
9.8467,150.79
9.8969,150.79
9.9471,151.49
9.9978,151.49
10.0483,151.98
10.0984,151.98
10.1493,151.71
10.2000,151.71
10.2504,150.87
10.3010,150.87
10.3517,150.48
10.4031,150.48
10.4537,151.00
10.5043,151.00
10.5550,151.12
10.6057,151.12
10.6563,151.71
10.7069,151.71
10.7573,151.33
10.8075,151.33
10.8577,152.35
10.9081,152.35
10.9582,152.47
11.0084,152.57
11.0591,152.57
11.1093,152.12
11.1598,152.12
11.2105,153.18
11.2613,153.18
11.3114,152.09
11.3620,152.09
11.4123,153.51
11.4628,153.51
11.5129,152.72
11.5631,152.72
11.6140,153.01
11.6646,153.01
11.7146,153.54
11.7647,153.54
11.8151,153.25
11.8652,153.25
11.9162,153.10
11.9670,153.10
