timestamp_s,power_W
0.0601,160.49
0.1106,160.49
0.1609,156.94
0.2110,156.94
0.2621,154.53
0.3127,154.53
0.3634,153.79
0.4135,153.79
0.4637,152.47
0.5143,152.47
0.5645,152.23
0.6147,152.23
0.6655,152.99
0.7162,152.99
0.7665,151.96
0.8173,151.96
0.8674,152.56
0.9181,152.56
0.9690,156.93
1.0191,156.93
1.0692,163.24
1.1194,163.24
1.1696,166.42
1.2199,166.42
1.2708,169.10
1.3219,169.10
1.3722,169.17
1.4229,169.17
1.4732,169.84
1.5237,169.84
1.5746,170.13
1.6254,170.13
1.6762,168.85
1.7269,168.85
1.7771,169.26
1.8272,169.26
1.8775,168.46
1.9284,168.46
1.9785,166.65
2.0296,166.65
2.0799,165.69
2.1304,165.69
2.1815,166.10
2.2321,166.10
2.2827,165.92
2.3334,165.92
2.3836,166.79
2.4341,166.79
2.4853,166.74
2.5354,166.74
2.5854,166.40
2.6365,166.40
2.6869,167.27
2.7379,167.27
2.7883,167.42
2.8391,167.42
2.8892,167.69
2.9401,167.69
2.9908,169.39
3.0416,169.39
3.0922,169.90
3.1427,169.90
3.1931,170.05
3.2432,170.05
3.2935,170.89
3.3440,170.89
3.3945,169.34
3.4449,169.34
3.4961,169.60
3.5465,169.59
3.5979,169.59
3.6481,169.39
3.6984,169.39
3.7487,169.78
3.7994,169.78
3.8498,169.52
3.9004,169.52
3.9508,171.23
4.0010,171.23
4.0516,171.39
4.1021,171.39
4.1525,171.06
4.2029,171.06
4.2537,170.58
4.3041,170.58
4.3546,170.26
4.4051,170.26
4.4552,170.27
4.5058,170.27
4.5567,170.16
4.6070,170.16
4.6580,168.97
4.7087,168.97
4.7588,168.47
4.8098,168.47
4.8606,167.93
4.9108,167.93
4.9610,166.40
5.0114,166.40
5.0615,165.97
5.1129,165.97
5.1636,165.59
5.2143,165.59
5.2650,164.95
5.3160,164.95
5.3665,165.59
5.4168,165.59
5.4674,166.34
5.5177,166.34
5.5685,166.21
5.6191,166.21
5.6696,166.89
5.7201,166.89
5.7702,168.19
5.8205,168.19
5.8708,167.63
5.9213,167.63
5.9719,167.60
6.0228,167.60
6.0736,168.81
6.1241,168.81
6.1752,168.70
6.2263,168.70
6.2767,169.74
6.3271,169.74
6.3775,170.47
6.4278,170.47
6.4782,171.63
6.5293,171.63
6.5801,170.73
6.6305,170.73
6.6807,170.50
6.7310,170.50
6.7815,170.18
6.8317,170.18
6.8828,169.91
6.9332,169.91
6.9840,171.28
7.0350,171.28
7.0854,171.49
7.1356,171.49
7.1859,171.32
7.2362,171.32
7.2863,169.31
7.3364,169.31
7.3869,168.64
7.4377,168.64
7.4883,169.09
7.5390,169.09
7.5895,169.42
7.6403,169.42
7.6906,169.56
7.7413,169.56
7.7918,169.64
7.8422,169.64
7.8924,170.24
7.9431,170.24
7.9936,170.79
8.0448,170.79
8.0959,170.17
8.1464,170.17
8.1968,168.29
8.2473,168.74
8.2977,168.74
8.3482,168.95
8.3984,168.95
8.4493,167.19
8.4996,167.19
8.5503,168.43
8.6008,168.43
8.6516,169.41
8.7018,169.41
8.7519,170.24
8.8024,170.24
8.8527,171.70
8.9032,171.70
8.9537,170.30
9.0046,170.30
9.0550,170.31
9.1057,170.31
9.1563,169.50
9.2068,169.50
9.2571,169.01
9.3077,169.01
9.3583,170.46
9.4088,170.46
9.4593,171.37
9.5094,171.37
9.5596,170.27
9.6103,170.27
9.6604,169.55
9.7113,169.55
9.7615,168.23
9.8126,168.23
9.8632,168.03
9.9134,168.03
9.9644,168.24
10.0145,168.24
10.0650,167.09
10.1152,167.09
10.1654,168.31
10.2157,168.31
10.2662,169.74
10.3164,169.74
10.3672,170.84
10.4174,170.84
10.4680,170.45
10.5181,170.45
10.5685,170.04
10.6185,170.04
10.6690,170.99
10.7197,170.99
10.7703,172.56
10.8212,172.56
10.8716,172.25
10.9216,172.25
10.9717,172.33
11.0225,172.33
11.0726,172.78
11.1236,172.78
11.1748,171.97
11.2258,171.97
11.2760,173.16
11.3266,173.16
11.3776,172.36
11.4279,172.36
11.4782,173.04
11.5289,173.04
11.5793,171.53
11.6300,171.53
11.6802,171.58
11.7312,171.58
11.7814,172.04
11.8315,172.04
11.8820,169.82
11.9324,169.82
11.9830,169.77
12.0331,169.77
12.0831,169.51
12.1336,169.51
12.1837,169.84
12.2347,169.84
12.2854,168.89
12.3360,168.89
12.3865,167.70
12.4366,167.70
