timestamp_s,power_W
0.0737,156.50
0.1241,156.50
0.1745,152.50
0.2253,152.50
0.2758,152.63
0.3264,152.63
0.3767,152.31
0.4279,152.31
0.4787,152.99
0.5294,152.99
0.5802,153.85
0.6308,153.85
0.6816,151.97
0.7325,151.97
0.7826,152.57
0.8336,152.57
0.8838,152.76
0.9340,152.76
0.9841,157.15
1.0348,157.15
1.0849,162.52
1.1352,162.52
1.1858,166.23
1.2363,166.23
1.2873,167.23
1.3377,167.23
1.3885,169.00
1.4386,169.00
1.4887,168.45
1.5396,168.45
1.5900,168.20
1.6409,168.20
1.6911,168.16
1.7416,168.16
1.7921,167.68
1.8426,167.68
1.8933,168.42
1.9435,168.42
1.9935,167.19
2.0440,167.19
2.0943,167.19
2.1449,167.19
2.1956,167.31
2.2461,167.31
2.2967,166.17
2.3468,166.17
2.3978,165.75
2.4484,165.75
2.4999,165.15
2.5503,165.15
2.6005,164.28
2.6514,164.28
2.7017,164.17
2.7523,164.17
2.8029,163.54
2.8530,163.54
2.9041,163.02
2.9548,163.02
3.0056,163.63
3.0560,163.63
3.1063,163.79
3.1573,163.79
3.2079,162.99
3.2583,162.99
3.3091,163.91
3.3596,163.91
3.4102,163.81
3.4604,163.81
3.5107,163.84
3.5619,163.84
3.6133,164.60
3.6641,164.60
3.7146,165.26
3.7654,165.26
3.8158,167.47
3.8661,167.47
3.9163,168.21
3.9666,168.21
4.0172,168.19
4.0677,168.19
4.1182,168.76
4.1690,168.76
4.2195,169.55
4.2696,169.55
4.3197,168.83
4.3703,168.84
4.4209,168.84
4.4713,170.02
4.5215,170.02
4.5721,170.55
4.6225,170.55
4.6730,169.22
4.7233,169.22
4.7748,168.56
4.8260,168.56
4.8766,167.00
4.9273,167.00
4.9779,167.16
5.0282,167.16
5.0786,166.25
5.1296,166.25
5.1799,166.42
5.2311,166.42
5.2824,165.64
5.3328,165.64
5.3835,167.14
5.4336,167.14
5.4843,167.07
5.5344,167.07
5.5853,166.86
5.6354,166.86
5.6858,168.25
5.7366,168.25
5.7867,167.76
5.8370,167.76
5.8875,168.17
5.9379,168.17
5.9881,166.75
6.0382,166.75
6.0890,167.36
6.1398,167.36
6.1906,168.28
6.2411,168.28
6.2917,169.26
6.3422,169.26
6.3926,167.88
6.4429,167.88
6.4936,167.17
6.5450,167.17
6.5961,167.38
6.6468,167.38
6.6975,166.79
6.7487,166.79
6.7992,167.10
6.8493,167.10
6.9003,166.83
6.9510,166.83
7.0013,168.31
7.0515,168.31
7.1018,167.65
7.1527,167.65
7.2032,165.77
7.2533,165.77
7.3036,165.05
7.3548,165.05
7.4054,165.71
7.4560,165.71
7.5063,166.56
7.5567,166.56
7.6073,166.51
7.6575,166.51
7.7080,165.87
7.7583,165.87
7.8086,165.10
7.8590,165.10
7.9091,165.74
7.9592,165.74
8.0097,167.36
8.0603,167.36
8.1104,167.97
8.1611,167.97
8.2114,167.03
8.2620,167.03
8.3125,168.24
8.3629,168.24
8.4136,166.77
8.4641,166.77
8.5142,166.47
8.5643,166.47
8.6145,166.57
8.6646,166.57
8.7157,165.86
8.7662,165.86
8.8168,165.71
8.8674,165.71
8.9181,168.58
8.9683,168.58
9.0197,167.54
9.0699,167.54
9.1210,165.66
9.1718,168.46
9.2228,168.46
9.2730,167.84
9.3235,167.84
9.3743,168.21
9.4251,168.21
9.4753,167.79
9.5253,167.79
9.5757,167.34
9.6258,167.34
9.6764,168.01
9.7270,168.01
9.7773,168.09
9.8275,168.09
9.8777,166.05
9.9278,166.05
9.9789,166.02
10.0297,166.02
10.0805,166.62
10.1310,166.62
10.1815,166.61
10.2320,166.61
10.2829,165.98
10.3330,165.98
10.3834,166.19
10.4341,166.19
10.4847,167.31
10.5353,167.31
10.5859,166.32
10.6362,166.32
10.6871,167.36
10.7376,167.36
10.7882,167.62
10.8386,167.62
10.8888,166.58
10.9394,166.58
10.9895,167.04
11.0399,167.04
11.0902,166.60
11.1403,166.60
11.1905,165.48
11.2411,165.48
11.2916,166.19
11.3422,166.19
11.3923,166.60
11.4426,166.60
11.4932,167.21
11.5437,167.21
11.5943,168.79
11.6448,168.79
11.6951,169.12
11.7458,169.12
11.7973,168.85
11.8482,168.85
11.8990,171.01
11.9496,171.01
11.9999,171.43
12.0501,171.43
12.1008,171.83
12.1512,171.83
12.2022,173.70
12.2525,173.70
12.3026,173.03
12.3528,173.03
12.4032,172.70
12.4534,172.70
12.5039,170.81
12.5541,170.81
