step_idx,forward_wall_ms
0,78.6880
1,9.6821
2,8.8262
3,8.8185
4,11.2608
5,9.2581
6,9.1140
7,9.3876
8,8.9741
9,9.4273
10,9.3688
11,9.1343
12,9.2770
13,9.3233
14,9.7345
15,8.9720
16,9.1652
17,9.0883
18,11.3883
19,9.1329
20,9.6254
21,9.1064
22,9.1495
23,9.3351
24,9.7884
25,9.6222
26,8.9478
27,9.7589
28,10.4556
29,9.4918
30,11.3516
31,9.1572
32,8.9350
33,9.1978
34,9.3551
35,9.2184
36,11.5482
37,9.1006
38,9.0815
39,9.0055
40,9.3373
41,9.2886
42,11.9592
43,11.1377
44,9.3037
45,9.3431
46,8.9531
47,9.1392
48,11.3651
49,9.8939
50,8.9901
51,9.1912
52,9.4736
53,9.0918
54,8.8647
55,11.7339
56,9.5723
57,9.0657
58,8.9264
59,9.4482
60,12.5793
61,9.2746
62,12.4365
63,9.2556
64,11.0067
65,8.9157
66,9.5601
67,9.4458
68,9.2896
69,9.3381
70,9.8423
71,10.6831
72,9.2668
73,8.9930
74,11.1493
75,11.2680
76,10.7616
77,8.6721
78,9.4894
79,11.3122
80,9.3286
81,9.6298
82,9.2541
83,9.2129
84,11.7237
85,9.0223
86,8.9902
87,11.0482
88,9.5611
89,10.7299
90,10.9972
91,10.3670
92,9.6464
93,9.3650
94,8.5956
95,9.1834
96,9.0657
97,10.0193
98,9.2095
99,9.0609
100,9.4271
101,9.2670
102,11.9502
103,8.5832
104,9.7155
105,10.9445
106,11.4595
107,9.0988
108,10.7653
109,8.9582
110,11.4545
111,10.6628
112,11.7669
113,10.6060
114,10.9167
115,10.5205
116,9.2006
117,11.2363
118,9.5403
119,9.1022
120,9.1729
121,9.4049
122,9.4796
123,9.5607
124,9.1335
125,9.2421
126,9.5920
127,9.3905
128,9.0430
129,9.3163
130,10.7944
131,11.3817
132,9.1888
133,9.3953
134,9.1249
135,9.4046
136,11.4200
137,11.1098
138,9.3330
139,10.0567
140,9.1314
141,9.2735
142,8.8960
143,9.9658
144,9.1340
145,9.3209
146,11.8867
147,9.3905
148,11.1428
149,9.3413
150,9.4574
151,9.2539
152,9.3551
153,9.1131
154,9.6048
155,9.5325
156,9.6419
157,9.3308
158,11.3128
159,9.4379
160,9.5574
161,9.4235
162,9.3627
163,11.0444
164,12.3126
165,11.9793
166,11.9444
167,9.1530
168,9.4650
169,9.1420
170,9.5082
171,11.4305
172,9.2074
173,9.0675
174,11.1788
175,10.3974
176,9.3045
177,10.9394
178,9.1752
179,9.2103
180,9.7171
181,11.1538
182,9.2045
183,9.2000
184,10.6555
185,9.2570
186,11.6672
187,9.4989
188,9.6162
189,9.1261
190,9.0273
191,9.3762
192,10.2387
193,8.6517
194,11.1958
195,9.5456
196,9.0765
197,9.3308
198,9.4145
199,8.6608
200,10.0651
201,9.0443
202,9.3637
203,9.1889
204,9.2704
205,10.9545
206,9.6018
207,10.9172
208,11.4165
209,8.8703
210,10.2441
211,9.0935
212,9.3048
213,9.1302
214,9.2938
215,9.1691
216,9.3476
217,10.9648
218,9.0891
219,9.3138
220,9.6189
221,9.6995
222,9.3423
223,11.8238
224,9.2691
225,10.5031
226,9.3923
227,9.2624
228,10.5644
229,9.1039
230,9.5679
231,9.2288
232,9.0582
233,9.1806
234,10.9582
235,9.5229
236,10.7511
237,9.0149
238,9.3068
239,10.9164
240,8.8363
241,10.2357
242,9.3575
243,9.0744
244,8.9195
245,9.6805
246,9.0073
247,11.4369
248,9.2136
249,9.0457
250,10.6719
251,9.5334
252,9.0733
253,9.2918
254,8.9605
255,9.7080
256,9.1804
257,9.4799
258,9.2257
259,9.3252
