step_idx,forward_wall_ms
0,77.9706
1,9.2136
2,8.0750
3,7.9896
4,9.8146
5,8.4360
6,8.2965
7,8.5119
8,10.1148
9,8.4997
10,9.0073
11,8.0959
12,8.4399
13,8.4351
14,10.4273
15,8.0417
16,8.3066
17,8.3050
18,10.9487
19,8.5289
20,9.9481
21,8.0734
22,8.3601
23,9.7795
24,9.8664
25,9.5837
26,8.0620
27,9.7521
28,7.8288
29,9.6946
30,7.6558
31,9.0751
32,8.0243
33,9.6432
34,8.2496
35,10.6451
36,8.2632
37,8.0152
38,9.3760
39,7.9595
40,8.4408
41,8.9470
42,10.3147
43,8.1037
44,9.7066
45,8.3687
46,8.5650
47,8.1032
48,9.7744
49,8.3839
50,8.0152
51,8.3868
52,8.2994
53,8.1986
54,7.9956
55,10.2594
56,10.8250
57,8.7269
58,8.0361
59,9.7013
60,8.5395
61,8.6415
62,8.1393
63,8.8668
64,9.9245
65,7.9448
66,8.0793
67,10.2613
68,8.1592
69,9.2838
70,7.5950
71,10.2140
72,10.3570
73,8.5952
74,10.5616
75,8.2186
76,10.5862
77,7.8276
78,8.1318
79,8.8155
80,8.3558
81,9.8618
82,8.4036
83,8.6791
84,8.1118
85,8.0607
86,8.1983
87,8.4506
88,8.3214
89,7.9636
90,8.3114
91,8.4090
92,10.0527
93,8.9341
94,7.5575
95,8.9561
96,8.0500
97,10.3183
98,8.3295
99,8.3118
100,8.0400
101,8.9989
102,9.0556
103,7.5965
104,8.5510
105,10.4481
106,8.5445
107,8.2201
108,8.1202
109,7.8795
110,10.8121
111,8.4226
112,9.8850
113,8.1608
114,8.1686
115,8.3447
116,8.2041
117,8.9047
118,7.8477
119,8.2249
120,8.1708
121,8.5309
122,8.0269
123,8.5221
124,8.2474
125,8.3180
126,10.5961
127,8.6502
128,9.6416
129,8.3579
130,9.3200
131,8.7468
132,9.5875
133,8.3988
134,8.2102
135,8.4050
136,9.5608
137,8.4078
138,10.0628
139,8.5653
140,8.1633
