step_idx,forward_wall_ms
0,97.9678
1,9.5821
2,8.3870
3,8.2828
4,10.3861
5,8.8587
6,8.5867
7,8.9394
8,9.2292
9,8.8721
10,10.9807
11,8.5059
12,11.3575
13,8.7232
14,11.7655
15,8.3428
16,11.4331
17,8.4414
18,10.8837
19,8.2847
20,8.3078
21,10.9808
22,8.5164
23,10.2126
24,10.5701
25,9.2267
26,8.7955
27,8.8903
28,9.1140
29,9.6319
30,8.4758
31,8.8441
32,8.9135
33,8.6313
34,8.7322
35,8.6184
36,11.0812
37,8.5734
38,10.1357
39,8.5445
40,8.7311
41,8.9726
42,10.9522
43,9.6281
44,8.9268
45,10.2791
46,11.3085
47,8.8982
48,9.1293
49,8.5124
50,10.4969
51,10.5106
52,8.8723
53,8.5590
54,8.3985
55,9.2231
56,10.5285
57,8.6194
58,8.3266
59,8.8867
60,8.9131
61,8.8016
62,8.6759
63,8.8928
64,12.0863
65,8.3662
66,8.4921
67,8.5855
68,8.6001
69,8.8756
70,9.2967
71,8.8209
72,10.9355
73,11.3081
74,10.4406
75,9.0055
76,11.3542
77,8.1926
78,8.5482
79,8.7013
80,9.0948
81,9.5055
82,8.5599
83,8.7430
84,10.5455
85,10.0097
86,8.3314
87,10.5978
88,8.6116
89,10.0645
90,8.6420
91,9.5918
92,8.6360
93,9.1176
94,8.0121
95,8.6629
96,8.5228
97,8.9019
98,10.3478
99,8.3934
100,8.4571
101,8.6820
102,10.8928
103,8.4799
104,8.9817
105,8.9049
106,12.8044
107,8.7086
108,11.2398
109,8.4062
110,9.6197
111,8.8841
112,8.5509
113,9.0698
114,11.5200
115,10.3269
116,8.6925
117,8.6152
118,10.6893
119,11.2718
120,8.8622
121,8.8189
122,9.2422
123,9.0022
124,8.5774
125,8.7210
126,9.9449
127,9.0431
128,8.7089
129,10.0693
130,10.2134
131,8.8070
132,10.1647
133,8.9134
134,8.5410
135,8.8935
136,9.6557
137,10.8445
138,8.7219
139,8.9464
140,8.7388
141,8.9962
142,8.2829
143,8.6336
144,8.6110
145,8.5742
146,11.4277
147,8.7016
148,10.4952
149,8.4943
150,8.7284
151,8.4803
152,8.4357
153,8.3295
154,8.5488
155,8.8190
156,8.0122
157,8.5835
158,9.3424
159,8.6208
160,8.7101
161,10.3508
162,8.6014
163,9.5079
164,8.7681
165,9.8085
166,8.9057
167,8.3843
168,10.2032
169,8.3668
170,8.6334
171,8.6785
172,8.3824
173,8.3271
174,8.6365
175,8.3851
176,8.4677
177,8.3908
178,8.4548
179,8.4981
180,8.6338
181,8.3205
182,8.5322
183,8.4366
184,9.6926
185,8.4786
186,10.1765
187,10.1301
188,8.5409
189,10.2570
190,8.2525
191,9.0686
192,8.8384
193,8.0662
194,9.1021
195,9.2589
196,8.8746
197,8.6416
198,8.4406
199,8.3584
200,8.7289
201,10.5778
202,8.7587
203,9.8779
204,10.8999
205,8.4894
206,8.8453
207,8.5929
208,9.3378
