timestamp_s,power_W
0.0580,107.48
0.1092,107.48
0.1598,103.97
0.2107,103.97
0.2608,103.89
0.3114,103.89
0.3623,102.90
0.4132,102.90
0.4643,101.08
0.5145,101.08
0.5648,104.69
0.6153,104.69
0.6656,109.84
0.7156,109.84
0.7657,109.93
0.8160,109.93
0.8661,112.44
0.9170,112.44
0.9673,116.39
1.0177,116.39
1.0687,117.16
1.1192,117.16
1.1693,123.83
1.2201,123.83
1.2707,126.28
1.3209,126.28
1.3710,126.01
1.4214,126.01
1.4714,126.16
1.5220,126.16
1.5724,127.76
1.6235,127.76
1.6746,125.23
1.7249,125.23
1.7750,121.56
1.8256,121.56
1.8758,119.49
1.9273,119.49
1.9779,117.25
2.0287,117.25
2.0796,117.90
2.1305,117.90
2.1806,122.21
2.2306,122.21
2.2808,120.82
2.3309,120.82
2.3820,123.52
2.4330,123.52
2.4840,123.07
2.5343,123.07
2.5846,124.92
2.6356,124.92
2.6864,123.28
2.7365,123.28
2.7866,123.32
2.8376,123.32
2.8877,126.07
2.9383,126.07
2.9890,124.86
3.0398,124.86
3.0905,125.50
3.1416,125.50
3.1925,123.40
3.2426,123.40
3.2927,125.64
3.3436,125.64
3.3946,124.56
3.4455,124.56
3.4966,123.81
3.5472,123.81
3.5980,125.02
3.6487,125.02
3.6997,124.25
3.7506,124.25
3.8016,125.63
3.8517,125.63
3.9026,127.23
3.9534,127.23
4.0042,127.48
4.0552,127.48
4.1060,130.20
4.1574,131.40
4.2079,131.40
4.2587,131.15
4.3095,131.15
4.3599,131.22
4.4103,131.22
4.4604,135.07
4.5115,135.07
4.5615,137.62
4.6126,137.62
4.6627,136.75
4.7129,136.75
4.7631,136.75
4.8133,136.75
4.8642,134.69
4.9147,134.69
4.9658,131.50
5.0167,131.50
5.0669,129.03
5.1179,129.03
5.1689,127.84
5.2190,127.84
5.2698,127.98
5.3207,127.98
5.3708,129.09
5.4215,129.09
5.4725,129.71
5.5236,129.71
5.5745,127.78
5.6246,127.78
5.6755,127.31
5.7262,127.31
5.7777,128.01
5.8282,128.01
5.8791,126.30
5.9301,126.30
5.9813,126.44
6.0320,126.44
6.0830,128.75
6.1337,128.75
6.1844,129.11
6.2355,129.11
6.2866,128.18
6.3372,128.18
6.3874,126.99
6.4376,126.99
6.4878,125.34
6.5389,125.34
6.5900,124.53
6.6401,124.53
6.6906,125.34
6.7407,125.34
6.7909,124.99
6.8420,124.99
6.8931,123.91
6.9435,123.91
6.9941,125.19
7.0453,125.19
7.0962,125.56
7.1466,125.56
7.1966,125.17
7.2468,125.17
7.2972,126.58
7.3477,126.58
7.3983,128.91
7.4493,128.91
7.5002,130.90
7.5506,130.90
7.6008,132.09
7.6510,132.09
7.7020,131.79
7.7530,131.79
7.8032,131.40
7.8534,131.40
7.9035,128.44
7.9537,128.44
8.0038,128.91
8.0540,128.91
8.1046,128.87
8.1555,128.87
8.2065,129.45
8.2571,129.45
8.3074,126.57
8.3586,128.25
8.4092,128.25
8.4602,128.04
8.5103,128.04
8.5612,128.26
8.6123,128.26
8.6636,129.28
8.7150,129.28
8.7652,129.06
8.8162,129.06
8.8673,127.71
8.9182,127.71
8.9692,130.25
9.0193,130.25
9.0701,131.13
9.1220,131.13
9.1735,129.04
9.2241,129.04
9.2751,129.24
9.3260,129.24
9.3761,132.96
9.4270,132.96
9.4775,131.16
9.5279,131.16
9.5789,130.13
9.6291,130.13
9.6801,129.61
9.7310,129.61
9.7819,128.50
9.8321,128.50
9.8827,128.84
9.9335,128.84
9.9837,127.39
10.0341,127.39
10.0851,124.23
10.1359,124.23
10.1860,122.39
10.2366,122.39
10.2867,123.65
10.3376,123.65
10.3883,124.95
10.4391,124.95
10.4893,124.93
10.5395,124.93
10.5900,124.09
10.6402,124.09
10.6913,121.06
10.7414,121.06
10.7920,119.67
10.8427,119.67
10.8929,121.24
10.9430,121.24
10.9931,119.70
11.0441,119.70
11.0944,122.47
11.1449,122.47
11.1956,125.01
11.2459,125.01
11.2961,125.13
11.3468,125.13
11.3972,124.20
11.4473,124.20
11.4975,123.13
11.5485,123.13
11.5991,121.28
11.6500,121.28
11.7010,122.49
11.7517,122.49
11.8022,126.22
11.8536,126.22
11.9037,126.54
11.9547,126.54
12.0053,125.53
12.0560,125.53
12.1061,126.09
12.1571,126.09
12.2082,125.80
12.2583,125.80
12.3094,125.33
12.3595,125.29
12.4103,125.29
12.4616,125.55
12.5117,125.55
12.5620,126.50
12.6121,126.50
12.6624,127.77
12.7126,127.77
12.7636,127.21
