timestamp_s,power_W
0.0589,136.37
0.1111,129.62
0.1615,129.62
0.2124,129.86
0.2632,129.86
0.3143,129.33
0.3654,129.33
0.4164,129.64
0.4673,129.64
0.5180,129.43
0.5683,129.43
0.6183,127.43
0.6686,127.43
0.7194,127.50
0.7702,127.50
0.8210,128.67
0.8718,128.67
0.9231,130.39
0.9735,130.39
1.0249,128.42
1.0751,128.42
1.1256,135.63
1.1757,135.63
1.2265,142.64
1.2774,142.64
1.3282,142.26
1.3783,142.26
1.4288,141.75
1.4792,141.75
1.5293,142.25
1.5804,142.25
1.6305,143.90
1.6813,143.90
1.7322,145.68
1.7833,145.68
1.8342,146.63
1.8845,146.63
1.9352,145.78
1.9856,145.78
2.0357,146.27
2.0858,146.97
2.1363,146.97
2.1871,148.94
2.2375,148.94
2.2884,150.25
2.3384,150.25
2.3891,150.27
2.4395,150.27
2.4898,149.02
2.5411,149.02
2.5922,149.50
2.6432,149.50
2.6940,149.75
2.7452,149.75
2.7957,150.56
2.8466,150.56
2.8976,150.13
2.9482,150.13
2.9984,148.70
3.0491,148.70
3.1001,147.96
3.1510,147.96
3.2011,148.99
3.2515,148.99
3.3021,146.37
3.3532,146.37
3.4033,146.59
3.4549,146.59
3.5058,145.92
3.5572,145.92
3.6080,148.05
3.6589,148.05
3.7090,147.57
3.7599,147.57
3.8108,147.84
3.8608,147.84
3.9115,146.84
3.9625,146.84
4.0126,146.30
4.0633,146.30
4.1142,148.03
4.1652,148.03
4.2156,148.59
4.2656,148.59
4.3158,149.13
4.3667,149.13
4.4175,150.18
4.4684,150.18
4.5191,150.86
4.5701,150.86
4.6210,153.30
4.6714,153.30
4.7225,153.87
4.7726,153.87
4.8233,154.04
4.8742,154.04
4.9244,154.05
4.9749,154.05
5.0249,153.99
5.0754,153.99
5.1265,154.87
5.1768,154.87
5.2270,153.84
5.2776,153.84
5.3278,153.24
5.3780,153.24
5.4283,153.44
5.4800,153.44
5.5302,153.37
5.5809,153.37
5.6313,151.67
5.6822,151.67
5.7324,150.71
5.7835,150.71
5.8344,148.19
5.8846,148.19
5.9359,146.73
5.9861,146.73
6.0361,143.84
6.0873,143.84
6.1380,141.58
6.1889,140.82
6.2397,140.82
6.2910,142.04
6.3411,142.04
6.3914,142.02
6.4415,142.02
6.4920,140.88
6.5428,140.88
6.5938,141.54
6.6441,141.54
6.6944,142.09
6.7446,142.09
6.7952,143.20
6.8453,143.20
6.8962,142.51
6.9468,142.51
6.9977,143.06
7.0485,143.06
7.0995,147.02
7.1496,147.02
7.2004,147.09
7.2510,147.09
7.3018,146.36
7.3520,146.36
7.4023,146.43
7.4524,146.43
7.5026,146.73
7.5530,146.73
7.6038,146.34
7.6546,146.34
7.7054,145.19
7.7556,145.19
7.8062,146.29
7.8569,146.29
7.9069,145.15
7.9577,145.15
8.0090,145.32
8.0595,145.32
8.1103,144.48
8.1605,144.48
8.2112,144.79
8.2622,144.79
8.3122,145.62
8.3626,145.62
8.4134,146.21
8.4641,146.21
8.5145,144.19
8.5650,144.19
8.6157,143.91
8.6666,143.91
8.7175,144.08
8.7682,144.08
8.8187,145.07
8.8693,145.07
8.9201,144.29
8.9710,144.29
9.0219,144.66
9.0727,144.66
9.1238,146.64
9.1745,146.64
9.2253,148.00
9.2789,148.00
9.3294,146.51
9.3795,146.51
9.4303,145.17
9.4812,145.17
9.5320,145.59
9.5834,145.59
9.6335,148.65
9.6844,148.65
9.7346,149.54
9.7849,149.54
9.8350,150.57
9.8861,150.57
9.9362,150.75
9.9866,150.75
10.0374,150.59
10.0884,150.59
10.1385,150.77
10.1894,150.77
10.2402,150.73
10.2910,150.87
10.3419,150.87
10.3928,152.80
10.4436,152.80
10.4936,152.91
10.5443,152.91
10.5945,151.87
10.6449,151.87
10.6957,152.02
10.7466,152.02
10.7972,151.15
10.8483,151.15
10.8987,151.38
10.9492,151.38
10.9998,151.57
11.0506,151.57
11.1008,150.85
11.1510,150.85
11.2018,150.16
11.2521,150.16
11.3024,149.51
11.3529,149.51
11.4040,149.57
11.4544,149.57
11.5047,150.27
11.5556,150.27
11.6066,150.12
11.6575,150.12
11.7076,151.79
11.7577,151.79
11.8082,149.46
11.8582,149.46
11.9092,149.32
11.9599,149.32
12.0108,149.28
12.0617,149.28
12.1117,149.10
12.1628,149.10
12.2128,148.30
12.2638,148.30
12.3143,147.72
12.3647,147.72
12.4154,147.74
12.4657,147.74
12.5166,145.97
12.5670,145.97
12.6175,144.93
12.6675,144.93
12.7184,146.07
12.7691,146.07
12.8198,143.14
12.8709,143.14
12.9217,143.83
12.9719,143.83
13.0227,145.44
13.0728,145.44
13.1233,145.10
13.1742,145.10
13.2251,144.61
13.2767,144.61
13.3272,146.06
13.3783,146.06
13.4285,147.71
13.4795,147.71
13.5301,148.97
13.5812,148.97
13.6321,150.00
13.6829,150.00
13.7331,147.47
13.7832,147.47
13.8341,146.05
13.8842,146.05
13.9347,147.60
13.9850,147.60
14.0351,149.25
14.0852,149.25
14.1353,149.01
14.1862,149.01
14.2372,148.83
14.2884,148.83
14.3390,149.42
14.3898,149.42
14.4401,148.69
14.4909,148.69
14.5421,147.80
14.5928,146.75
14.6429,146.75
