timestamp_s,power_W
0.0584,140.84
0.1102,132.97
0.1604,132.97
0.2113,132.47
0.2614,132.47
0.3124,132.87
0.3629,132.87
0.4136,132.76
0.4644,132.76
0.5152,132.25
0.5653,132.25
0.6158,134.79
0.6661,134.79
0.7164,132.95
0.7667,132.95
0.8175,133.66
0.8685,133.66
0.9192,133.82
0.9693,133.82
1.0194,135.26
1.0700,135.26
1.1207,142.50
1.1709,142.50
1.2212,149.88
1.2713,149.88
1.3215,149.31
1.3715,149.31
1.4219,148.80
1.4725,148.80
1.5232,148.97
1.5734,148.97
1.6239,147.43
1.6747,147.43
1.7255,147.33
1.7757,147.33
1.8264,148.46
1.8765,148.46
1.9274,148.25
1.9785,148.25
2.0292,148.38
2.0796,148.38
2.1310,146.33
2.1815,146.33
2.2323,147.40
2.2824,147.40
2.3325,147.23
2.3826,147.23
2.4328,145.76
2.4828,145.76
2.5334,146.98
2.5844,145.88
2.6345,145.88
2.6848,146.63
2.7355,146.63
2.7858,146.85
2.8361,146.85
2.8870,146.59
2.9379,146.59
2.9889,146.91
3.0390,146.91
3.0898,147.28
3.1400,147.28
3.1905,147.10
3.2413,147.10
3.2923,147.56
3.3432,147.56
3.3937,147.57
3.4439,147.57
3.4947,148.47
3.5455,148.47
3.5956,146.66
3.6462,146.66
3.6971,148.97
3.7471,148.97
3.7976,149.70
3.8482,149.70
3.8988,149.13
3.9490,149.13
3.9991,150.30
4.0501,150.30
4.1011,151.52
4.1524,151.52
4.2030,148.78
4.2538,148.78
4.3048,149.34
4.3556,149.34
4.4061,148.44
4.4564,148.44
4.5070,148.33
4.5573,148.33
4.6075,147.65
4.6577,147.65
4.7081,147.28
4.7584,147.28
4.8091,146.44
4.8592,146.44
4.9093,145.31
4.9596,145.31
5.0102,145.91
5.0603,145.91
5.1104,143.21
5.1612,143.21
5.2118,143.94
5.2619,143.94
5.3128,145.40
5.3638,145.40
5.4139,145.97
5.4645,145.97
5.5154,146.79
5.5662,146.79
5.6163,147.25
5.6669,147.25
5.7176,148.27
5.7679,148.27
5.8179,148.04
5.8683,148.04
5.9190,147.83
5.9693,147.83
6.0194,148.15
6.0705,148.15
6.1214,147.98
6.1719,147.98
6.2230,148.56
6.2738,148.56
6.3240,145.57
6.3746,145.57
6.4255,146.41
6.4763,146.41
6.5266,147.51
6.5770,147.51
6.6274,147.25
6.6775,147.25
6.7279,147.09
6.7787,147.09
6.8296,148.07
6.8797,148.07
6.9304,148.36
6.9813,148.36
7.0322,146.91
7.0832,146.91
7.1332,145.46
7.1842,145.46
7.2343,147.07
7.2844,147.07
7.3355,147.96
7.3866,149.32
7.4369,149.32
7.4875,149.63
7.5384,149.63
7.5892,147.82
7.6401,147.82
7.6912,147.52
7.7414,147.52
7.7919,147.97
7.8420,147.97
7.8922,148.25
7.9428,148.25
7.9929,149.54
8.0430,149.54
8.0940,151.55
8.1442,151.55
8.1947,152.95
8.2449,152.95
8.2959,150.58
8.3461,150.58
8.3968,150.15
8.4470,150.15
8.4974,150.20
8.5484,150.20
8.5998,150.23
8.6502,150.23
8.7010,149.97
8.7511,149.97
8.8019,149.82
8.8521,149.82
8.9027,149.33
8.9536,149.33
9.0039,147.55
9.0542,147.55
9.1052,146.56
9.1553,146.56
9.2053,146.83
9.2558,146.83
9.3066,146.74
9.3573,146.74
9.4082,146.96
9.4587,146.96
9.5089,147.98
9.5591,147.98
9.6096,148.50
9.6604,148.50
9.7106,145.40
9.7615,145.40
9.8123,146.02
9.8625,146.02
9.9130,146.19
9.9637,146.19
10.0148,146.59
10.0656,146.59
10.1164,147.74
10.1665,147.74
10.2170,147.17
10.2679,147.17
10.3181,147.28
10.3683,147.28
10.4192,146.45
10.4702,146.45
10.5211,146.82
10.5720,146.82
10.6228,147.06
10.6736,147.06
10.7247,146.81
10.7754,146.81
10.8264,150.72
10.8772,150.72
10.9276,149.41
10.9781,149.41
11.0289,149.56
11.0792,149.56
11.1297,149.13
11.1798,149.13
11.2301,148.21
11.2807,148.21
11.3309,148.44
11.3817,148.44
11.4320,148.19
11.4825,148.19
11.5329,148.76
11.5832,148.76
11.6332,149.89
11.6841,149.89
11.7344,147.46
11.7850,147.46
11.8359,148.51
11.8868,148.51
11.9377,147.39
11.9878,148.32
12.0382,148.32
12.0887,148.36
12.1389,148.36
12.1896,147.77
12.2403,147.77
12.2913,147.88
12.3421,147.88
12.3930,147.85
12.4439,147.85
12.4940,147.72
12.5445,147.72
12.5947,148.10
12.6450,148.10
12.6959,146.22
12.7468,146.22
12.7976,147.34
12.8479,147.34
12.8980,145.82
12.9482,145.82
12.9985,144.75
13.0494,144.75
13.1001,145.79
13.1517,145.79
13.2019,145.31
13.2528,145.31
13.3036,146.73
13.3545,146.73
13.4048,144.99
13.4553,144.99
