run_id,timestamp_iso,variant_name,experiment_cell_id,model_variant,precision_mode,experiment_status,model_name,config_path,checkpoint_path,gpu_name,driver_version,cuda_version,pytorch_version,commit_hash,batch_size,warmup_steps,measured_steps,num_workers,cuda_id,dataset_note,split_note,frame_source_note,flag_compile,flag_amp,flag_preprocess_gpu,flag_compile_voxelizer,flag_nhwc,flag_memory_opt_scatter,flag_int8,flag_fp16_full,notes_amp_compile_mutually_exclusive,energy_method,prof_dataloader_mean_ms,prof_dataloader_p50_ms,prof_dataloader_p95_ms,prof_dataloader_p99_ms,prof_dataloader_std_ms,prof_h2d_mean_ms,prof_h2d_p50_ms,prof_h2d_p95_ms,prof_h2d_p99_ms,prof_h2d_std_ms,prof_read_points_mean_ms,prof_read_points_p50_ms,prof_read_points_p95_ms,prof_read_points_p99_ms,prof_read_points_std_ms,prof_cpu_prepare_mean_ms,prof_cpu_prepare_p50_ms,prof_cpu_prepare_p95_ms,prof_cpu_prepare_p99_ms,prof_cpu_prepare_std_ms,prof_data_to_gpu_pts_mean_ms,prof_data_to_gpu_pts_p50_ms,prof_data_to_gpu_pts_p95_ms,prof_data_to_gpu_pts_p99_ms,prof_data_to_gpu_pts_std_ms,prof_pre_processing_mean_ms,prof_pre_processing_p50_ms,prof_pre_processing_p95_ms,prof_pre_processing_p99_ms,prof_pre_processing_std_ms,prof_h2d_voxel_tail_mean_ms,prof_h2d_voxel_tail_p50_ms,prof_h2d_voxel_tail_p95_ms,prof_h2d_voxel_tail_p99_ms,prof_h2d_voxel_tail_std_ms,prof_forward_mean_ms,prof_forward_p50_ms,prof_forward_p95_ms,prof_forward_p99_ms,prof_forward_std_ms,prof_postprocess_mean_ms,prof_postprocess_p50_ms,prof_postprocess_p95_ms,prof_postprocess_p99_ms,prof_postprocess_std_ms,prof_full_frame_mean_ms,prof_full_frame_p50_ms,prof_full_frame_p95_ms,prof_full_frame_p99_ms,prof_full_frame_std_ms,prof_throughput_sps,prof_peak_gpu_memory_mb,prof_peak_gpu_memory_steady_mb,prof_t_rt_mean_ms,prof_mean_peak_gpu_memory_mb,prof_cuda_kernel_events,profile_output_dir,profile_latency_per_step_csv,energy_forward_mean_ms,energy_forward_p50_ms,energy_forward_p95_ms,energy_forward_p99_ms,energy_throughput_sps,energy_wall_time_s,energy_mean_power_W,energy_peak_power_W,energy_total_J,energy_samples_per_J,energy_samples_per_s_per_W,energy_output_dir,energy_samples_csv,energy_latency_per_step_csv,map_car_r11,kitti_car_3d_easy_r40,kitti_car_3d_moderate_r40,kitti_car_3d_hard_r40,eval_protocol_notes,ncu_report_path,ncu_top_kernel_name,ncu_roofline_bound,ncu_compute_intensity_flop_per_byte,ncu_dram_throughput_gbps,ncu_mem_throughput_pct_of_peak
b958d6889aa6,2026-04-23T00:50:24.571575+00:00,M0_FP32,M0_FP32,M0,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,Tesla T4,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,false,false,false,false,false,false,false,,nvml_integrated,,,,,,,,,,,8.88,8.62,11.01,12.76,1.47,,,,,,0.96,0.96,1.26,1.46,0.18,19.96,19.8,27.67,30.77,4.8,,,,,,25.78,25.76,26.81,27.75,0.66,0.56,0.55,0.69,0.86,0.08,27.46,27.46,28.83,29.92,0.89,21.2,332.2,332.2,47.26,332.1,718362,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M0_FP32/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M0_FP32/profile/latency_per_step.csv,26.11,25.56,29.23,30.77,36.32,27.53,67.6,80.4,1861.73,0.5371,0.5375,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M0_FP32/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M0_FP32/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M0_FP32/energy/energy_latency_per_step.csv,84.8167,91.7864,84.8167,81.4680,"KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
2e610cdcb6f8,2026-04-23T01:00:27.848565+00:00,M0_AMP,M0_AMP,M0,AMP,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,Tesla T4,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,true,false,false,false,false,false,false,Single mode: compile or AMP only (not both).,nvml_integrated,,,,,,,,,,,8.65,8.34,10.82,12.08,1.39,,,,,,1.15,1.12,1.41,1.56,0.2,20.42,20.27,28.07,30.18,4.8,,,,,,20.92,21.04,22.06,22.41,0.87,0.52,0.52,0.56,0.65,0.04,22.73,22.84,24.1,24.56,0.98,23.3,182.7,182.7,43.00,182.3,868245,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M0_AMP/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M0_AMP/profile/latency_per_step.csv,16.76,16.32,19.91,21.57,54.80,18.25,66.3,77.6,1211.00,0.8258,0.8261,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M0_AMP/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M0_AMP/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M0_AMP/energy/energy_latency_per_step.csv,84.7943,91.7587,84.7943,81.4553,"KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
9b9bffa18e0d,2026-04-23T02:29:30.941920+00:00,M1_FP32,M1_FP32,M1,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,true,false,false,false,false,false,false,false,Model torch.compile (FP32); no autocast/AMP in this cell.,nvml_integrated,,,,,,,,,,,7.21,7.1,8.25,9.05,0.98,,,,,,0.69,0.68,0.86,0.94,0.12,16.69,16.64,22.54,24.39,3.76,,,,,,11.96,11.93,12.36,12.97,0.35,0.49,0.48,0.54,0.61,0.05,13.29,13.24,13.91,14.7,0.45,33.5,14181.1,14181.1,29.83,10753.1,578491,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M1_FP32/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M1_FP32/profile/latency_per_step.csv,10.24,9.80,12.17,12.71,97.68,10.22,158.6,145.2,1620.68,0.6158,0.6158,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M1_FP32/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M1_FP32/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M1_FP32/energy/energy_latency_per_step.csv,82.7529,91.2450,82.7529,80.8811,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
1cfddd1bbf3f,2026-04-23T02:36:34.006709+00:00,M1_AMP,M1_AMP,M1,AMP,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,true,true,false,false,false,false,false,false,M1_AMP: torch.compile + autocast(fp16); use generous --warmup for steady latency/energy (dynamo may recompile; short runs can skew energy p99).,nvml_integrated,,,,,,,,,,,7.25,7.1,8.26,9.14,1.3,,,,,,0.72,0.71,0.9,0.96,0.11,16.8,16.73,22.9,25.07,3.84,,,,,,9.3,9.26,10.11,10.87,0.5,0.5,0.49,0.55,0.69,0.04,10.68,10.64,11.66,12.43,0.59,36.6,13944.6,13944.6,27.32,10531.9,573024,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M1_AMP/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M1_AMP/profile/latency_per_step.csv,6.88,6.38,9.11,9.74,145.30,6.87,176.0,104.7,1208.72,0.8257,0.8257,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M1_AMP/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M1_AMP/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M1_AMP/energy/energy_latency_per_step.csv,82.7710,91.2450,82.7710,80.9102,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
5e8aea096142,2026-04-23T02:41:20.806384+00:00,M2_FP32_mem_scatter,M2_FP32_mem_scatter,M2,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,false,false,false,false,true,false,false,,nvml_integrated,,,,,,,,,,,7.39,7.23,8.72,9.92,1.3,,,,,,0.7,0.7,0.87,0.95,0.1,16.53,16.48,22.38,24.16,3.75,,,,,,13.73,13.72,14.17,14.71,0.3,0.49,0.48,0.56,0.67,0.05,15.07,15.06,15.74,16.3,0.43,31.8,292.9,292.9,31.45,292.7,772281,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_scatter/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_scatter/profile/latency_per_step.csv,12.68,12.25,14.57,15.51,74.64,13.40,146.6,152.9,1964.16,0.5091,0.5092,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_scatter/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_scatter/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_scatter/energy/energy_latency_per_step.csv,82.7529,91.2450,82.7529,80.8811,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
33a51e43a201,2026-04-23T02:46:10.736028+00:00,M2_FP32_mem_conv2d,M2_FP32_mem_conv2d,M2,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,false,false,false,true,false,false,false,,nvml_integrated,,,,,,,,,,,8.29,7.66,12.22,15.72,2.13,,,,,,0.78,0.76,1.0,1.15,0.2,17.11,17.16,23.38,25.46,4.01,,,,,,13.69,13.65,14.46,15.36,0.48,0.53,0.54,0.63,0.72,0.06,15.18,15.14,16.33,17.54,0.71,31.1,294.0,294.0,32.11,293.7,769305,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_conv2d/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_conv2d/profile/latency_per_step.csv,12.93,12.30,15.47,16.88,72.09,13.87,141.6,149.6,1964.50,0.5090,0.5091,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_conv2d/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_conv2d/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_conv2d/energy/energy_latency_per_step.csv,82.7497,91.2631,82.7497,80.8983,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
bc1d2842ae63,2026-04-23T02:51:12.176741+00:00,M2_FP32_mem_both,M2_FP32_mem_both,M2,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,false,false,false,true,true,false,false,,nvml_integrated,,,,,,,,,,,7.42,7.23,8.67,10.13,1.41,,,,,,0.7,0.7,0.87,0.92,0.1,16.52,16.46,22.3,24.19,3.73,,,,,,14.68,14.68,15.06,15.41,0.27,0.5,0.49,0.55,0.61,0.04,16.04,16.04,16.65,16.98,0.4,30.9,294.0,294.0,32.40,293.7,770305,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_both/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_both/profile/latency_per_step.csv,13.77,13.21,16.04,17.19,68.57,14.58,146.3,154.9,2134.13,0.4686,0.4686,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_both/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_both/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_FP32_mem_both/energy/energy_latency_per_step.csv,82.7497,91.2631,82.7497,80.8983,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
9f34efa26c95,2026-04-23T02:56:13.057728+00:00,M2_AMP_mem_scatter,M2_AMP_mem_scatter,M2,AMP,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,true,false,false,false,true,false,false,Autocast(AMP) only; no model torch.compile (M1_AMP and M4_AMP combine both).,nvml_integrated,,,,,,,,,,,7.53,7.31,8.98,10.59,1.23,,,,,,0.73,0.73,0.9,0.96,0.11,16.66,16.52,22.74,24.19,3.8,,,,,,10.55,10.55,10.91,11.64,0.29,0.51,0.51,0.56,0.66,0.04,11.97,11.96,12.54,13.4,0.41,35.1,265.6,265.6,28.46,265.3,865670,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_scatter/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_scatter/profile/latency_per_step.csv,9.51,8.95,11.58,12.29,78.71,12.71,125.1,137.6,1589.68,0.6291,0.6292,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_scatter/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_scatter/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_scatter/energy/energy_latency_per_step.csv,82.7710,91.2450,82.7710,80.9102,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
ed8a13f017e4,2026-04-23T03:01:12.504146+00:00,M2_AMP_mem_conv2d,M2_AMP_mem_conv2d,M2,AMP,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,true,false,false,true,false,false,false,Autocast(AMP) only; no model torch.compile (M1_AMP and M4_AMP combine both).,nvml_integrated,,,,,,,,,,,7.59,7.43,8.99,10.11,1.04,,,,,,0.76,0.76,0.94,1.05,0.12,16.73,16.69,22.77,24.69,3.8,,,,,,10.21,10.18,10.79,11.81,0.34,0.52,0.52,0.57,0.65,0.04,11.68,11.65,12.44,13.38,0.45,35.4,183.1,183.1,28.23,182.8,819670,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_conv2d/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_conv2d/profile/latency_per_step.csv,9.05,8.54,10.95,11.87,79.35,12.60,115.4,121.5,1454.35,0.6876,0.6875,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_conv2d/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_conv2d/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_conv2d/energy/energy_latency_per_step.csv,82.7718,91.2450,82.7718,80.8855,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
d085e6953e8d,2026-04-23T03:06:12.864915+00:00,M2_AMP_mem_both,M2_AMP_mem_both,M2,AMP,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,true,false,false,true,true,false,false,Autocast(AMP) only; no model torch.compile (M1_AMP and M4_AMP combine both).,nvml_integrated,,,,,,,,,,,7.61,7.45,9.08,10.38,1.12,,,,,,0.75,0.75,0.91,0.96,0.11,16.62,16.45,22.56,24.66,3.79,,,,,,11.02,11.02,11.33,11.57,0.23,0.52,0.51,0.58,0.82,0.05,12.46,12.46,12.98,13.41,0.36,34.6,183.1,183.1,28.91,182.8,820670,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_both/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_both/profile/latency_per_step.csv,9.91,9.42,11.76,12.58,79.32,12.61,121.0,128.8,1525.28,0.6556,0.6555,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_both/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_both/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_t4/M2_AMP_mem_both/energy/energy_latency_per_step.csv,82.7718,91.2450,82.7718,80.8855,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
