timestamp_s,gpu_power_W,cpu_power_W
0.0589,33.44,0.00
0.1130,33.44,0.00
0.1699,41.20,0.00
0.2237,41.20,0.00
0.2771,58.21,0.00
0.3387,72.43,0.00
0.3983,72.43,0.00
0.4517,60.39,0.00
0.5060,60.39,0.00
0.5603,60.14,0.00
0.6140,60.14,0.00
0.6674,71.95,0.00
0.7240,71.95,0.00
0.7847,67.01,0.00
0.8421,66.11,0.00
0.8977,66.11,0.00
0.9540,71.81,0.00
1.0092,71.81,0.00
1.0679,71.61,0.00
1.1216,71.61,0.00
1.1765,69.06,0.00
1.2323,69.06,0.00
1.2914,71.75,0.00
1.3448,74.84,0.00
1.4013,74.84,0.00
1.4562,74.14,0.00
1.5174,74.14,0.00
1.5784,62.17,0.00
1.6379,62.17,0.00
1.6916,68.64,0.00
1.7458,68.64,0.00
1.8012,67.22,0.00
1.8614,74.69,0.00
1.9231,74.69,0.00
1.9829,63.75,0.00
2.0372,63.75,0.00
2.0917,64.20,0.00
2.1470,64.20,0.00
2.2075,65.09,0.00
2.2701,66.92,0.00
2.3297,66.92,0.00
2.3916,65.83,0.00
2.4504,65.83,0.00
2.5050,65.95,0.00
2.5602,65.95,0.00
2.6152,66.27,0.00
2.6738,68.00,0.00
2.7366,68.00,0.00
2.7975,66.17,0.00
2.8577,66.17,0.00
2.9183,64.83,0.00
2.9795,66.66,0.00
3.0342,66.66,0.00
3.0880,67.35,0.00
3.1466,67.35,0.00
3.2003,70.47,0.00
3.2538,70.47,0.00
3.3097,68.94,0.00
3.3670,68.94,0.00
3.4214,68.98,0.00
3.4745,68.98,0.00
3.5288,68.21,0.00
3.5891,67.17,0.00
3.6492,67.17,0.00
3.7096,55.81,0.00
3.7639,55.81,0.00
3.8173,67.55,0.00
3.8729,67.55,0.00
3.9325,67.41,0.00
3.9865,64.79,0.00
4.0397,64.79,0.00
4.0964,68.68,0.00
4.1540,68.68,0.00
4.2081,63.18,0.00
4.2620,63.18,0.00
4.3192,68.50,0.00
4.3808,68.50,0.00
4.4384,66.59,0.00
4.4913,62.90,0.00
4.5457,62.90,0.00
4.6002,73.02,0.00
4.6533,73.02,0.00
4.7064,66.56,0.00
4.7639,66.56,0.00
4.8246,67.19,0.00
4.8852,67.19,0.00
4.9460,68.52,0.00
4.9995,65.28,0.00
5.0536,65.28,0.00
5.1099,65.73,0.00
5.1694,65.73,0.00
5.2305,60.70,0.00
5.2910,60.70,0.00
5.3444,62.29,0.00
5.4005,62.29,0.00
5.4559,68.52,0.00
5.5135,67.72,0.00
5.5672,67.72,0.00
5.6209,72.38,0.00
5.6771,72.38,0.00
5.7368,68.35,0.00
5.7904,68.35,0.00
5.8434,63.08,0.00
5.9005,63.08,0.00
5.9603,63.18,0.00
6.0135,51.96,0.00
6.0668,51.96,0.00
6.1234,71.00,0.00
6.1829,71.00,0.00
6.2382,65.56,0.00
6.2923,65.56,0.00
6.3463,63.87,0.00
6.4075,63.87,0.00
6.4646,62.17,0.00
6.5184,68.61,0.00
6.5737,68.61,0.00
6.6305,64.06,0.00
6.6914,64.06,0.00
6.7510,66.13,0.00
6.8041,66.13,0.00
6.8577,69.88,0.00
6.9149,69.88,0.00
6.9754,70.66,0.00
7.0371,76.40,0.00
7.0987,76.40,0.00
7.1584,72.47,0.00
7.2127,72.47,0.00
7.2681,68.95,0.00
7.3233,68.95,0.00
7.3800,67.46,0.00
7.4332,57.74,0.00
7.4863,57.74,0.00
7.5447,65.28,0.00
7.6043,65.28,0.00
7.6644,62.39,0.00
7.7178,62.39,0.00
7.7711,65.60,0.00
7.8250,65.60,0.00
7.8783,76.50,0.00
7.9318,76.50,0.00
7.9894,65.42,0.00
8.0423,73.70,0.00
8.0959,73.70,0.00
8.1489,61.80,0.00
8.2021,61.80,0.00
8.2584,74.78,0.00
8.3139,74.78,0.00
8.3746,59.09,0.00
