timestamp_s,gpu_power_W,cpu_power_W
0.0629,34.71,0.00
0.1156,34.71,0.00
0.1691,49.41,0.00
0.2232,78.47,0.00
0.2828,78.47,0.00
0.3466,77.44,0.00
0.4018,77.44,0.00
0.4557,67.83,0.00
0.5103,67.83,0.00
0.5700,60.71,0.00
0.6306,76.01,0.00
0.6922,76.01,0.00
0.7528,73.80,0.00
0.8140,73.80,0.00
0.8752,62.51,0.00
0.9362,67.15,0.00
0.9899,67.15,0.00
1.0432,74.43,0.00
1.0994,74.43,0.00
1.1599,76.50,0.00
1.2139,76.50,0.00
1.2672,60.70,0.00
1.3235,60.70,0.00
1.3842,58.11,0.00
1.4449,75.81,0.00
1.5056,75.81,0.00
1.5676,67.47,0.00
1.6248,67.47,0.00
1.6780,61.55,0.00
1.7311,61.55,0.00
1.7864,59.69,0.00
1.8404,59.69,0.00
1.8935,74.88,0.00
1.9521,74.73,0.00
2.0126,74.73,0.00
2.0734,57.91,0.00
2.1340,57.91,0.00
2.1882,74.14,0.00
2.2423,74.14,0.00
2.2966,78.22,0.00
2.3583,57.94,0.00
2.4202,57.94,0.00
2.4804,62.74,0.00
2.5398,62.74,0.00
2.6018,65.95,0.00
2.6690,78.37,0.00
2.7262,78.37,0.00
2.7877,67.13,0.00
2.8484,67.13,0.00
2.9090,58.74,0.00
2.9707,58.57,0.00
3.0312,58.57,0.00
3.0918,76.80,0.00
3.1448,76.80,0.00
3.1990,73.89,0.00
3.2565,73.89,0.00
3.3108,61.07,0.00
3.3650,61.07,0.00
3.4192,70.10,0.00
3.4767,80.28,0.00
3.5309,80.28,0.00
3.5844,67.90,0.00
3.6403,67.90,0.00
3.7003,61.50,0.00
3.7625,61.50,0.00
3.8230,66.05,0.00
3.8847,72.92,0.00
3.9456,72.92,0.00
4.0069,67.28,0.00
4.0687,67.28,0.00
4.1292,59.98,0.00
4.1908,68.04,0.00
4.2504,68.04,0.00
4.3131,76.06,0.00
4.3704,76.06,0.00
4.4269,64.24,0.00
4.4821,64.24,0.00
4.5378,59.62,0.00
4.5971,70.80,0.00
4.6577,70.80,0.00
4.7192,71.26,0.00
4.7771,71.26,0.00
4.8324,61.56,0.00
4.8858,61.56,0.00
4.9427,78.47,0.00
5.0044,67.59,0.00
5.0638,67.59,0.00
5.1253,53.48,0.00
5.1856,53.48,0.00
5.2401,70.10,0.00
5.2938,70.10,0.00
5.3491,75.18,0.00
5.4092,63.83,0.00
5.4626,63.83,0.00
5.5166,61.16,0.00
5.5721,61.16,0.00
5.6343,64.61,0.00
5.6941,64.61,0.00
5.7546,73.26,0.00
5.8088,73.26,0.00
5.8630,66.21,0.00
5.9184,57.98,0.00
5.9778,57.98,0.00
6.0308,69.32,0.00
6.0839,69.32,0.00
6.1403,70.28,0.00
6.1967,70.28,0.00
6.2530,60.67,0.00
6.3084,60.67,0.00
6.3659,59.69,0.00
6.4262,75.12,0.00
6.4863,75.12,0.00
6.5404,66.76,0.00
6.5939,66.76,0.00
6.6497,60.02,0.00
6.7106,60.02,0.00
6.7723,70.36,0.00
6.8328,67.64,0.00
6.8871,67.64,0.00
6.9424,60.34,0.00
6.9956,60.34,0.00
7.0519,71.00,0.00
7.1092,71.00,0.00
7.1644,72.68,0.00
7.2190,72.68,0.00
7.2808,63.51,0.00
7.3401,59.13,0.00
7.3940,59.13,0.00
7.4473,70.50,0.00
7.5039,70.50,0.00
7.5640,77.33,0.00
7.6247,77.33,0.00
7.6790,61.68,0.00
7.7322,61.68,0.00
7.7884,70.59,0.00
7.8437,73.80,0.00
7.8979,73.80,0.00
7.9508,70.50,0.00
8.0119,70.50,0.00
8.0730,52.29,0.00
8.1324,52.29,0.00
8.1932,73.12,0.00
8.2549,75.51,0.00
8.3155,75.51,0.00
8.3762,57.12,0.00
8.4379,57.12,0.00
8.4991,61.16,0.00
8.5595,75.28,0.00
8.6193,75.28,0.00
8.6726,70.94,0.00
8.7270,70.94,0.00
8.7848,63.83,0.00
8.8440,63.83,0.00
8.9048,78.32,0.00
8.9591,72.32,0.00
9.0134,72.32,0.00
9.0686,59.13,0.00
9.1292,59.13,0.00
9.1907,74.88,0.00
9.2505,74.88,0.00
9.3111,71.53,0.00
9.3655,67.53,0.00
9.4198,67.53,0.00
9.4751,63.10,0.00
9.5358,63.10,0.00
9.5964,74.97,0.00
9.6570,74.97,0.00
9.7101,69.95,0.00
9.7659,69.95,0.00
9.8209,56.63,0.00
9.8805,63.63,0.00
9.9342,63.63,0.00
9.9884,79.84,0.00
10.0460,79.84,0.00
10.1060,69.81,0.00
10.1665,69.81,0.00
10.2270,55.68,0.00
10.2890,70.31,0.00
10.3495,70.31,0.00
10.4100,75.03,0.00
10.4723,75.03,0.00
10.5339,63.16,0.00
10.5947,70.51,0.00
10.6542,70.51,0.00
10.7166,74.29,0.00
10.7775,74.29,0.00
10.8379,58.05,0.00
10.8938,64.28,0.00
10.9478,64.28,0.00
11.0019,73.50,0.00
11.0599,73.50,0.00
11.1235,74.23,0.00
11.1831,74.23,0.00
11.2442,62.53,0.00
11.3044,56.14,0.00
11.3577,56.14,0.00
11.4117,70.50,0.00
11.4681,70.50,0.00
11.5297,74.48,0.00
11.5895,74.48,0.00
11.6517,59.66,0.00
11.7118,69.60,0.00
11.7728,69.60,0.00
11.8343,72.03,0.00
11.8960,72.03,0.00
11.9568,70.41,0.00
12.0174,59.92,0.00
12.0779,59.92,0.00
12.1417,70.93,0.00
12.2014,70.93,0.00
12.2629,73.35,0.00
12.3224,64.26,0.00
12.3757,64.26,0.00
12.4297,64.28,0.00
12.4860,64.28,0.00
12.5483,70.81,0.00
12.6078,70.81,0.00
12.6702,64.50,0.00
12.7290,64.44,0.00
12.7822,64.44,0.00
12.8358,75.23,0.00
12.8927,75.23,0.00
12.9469,72.86,0.00
13.0004,72.86,0.00
13.0566,55.58,0.00
13.1172,55.58,0.00
13.1787,64.93,0.00
13.2390,69.67,0.00
13.3009,69.67,0.00
13.3626,68.04,0.00
13.4233,68.04,0.00
13.4830,62.01,0.00
13.5369,80.28,0.00
13.5921,80.28,0.00
13.6462,68.46,0.00
13.7076,68.46,0.00
13.7695,63.75,0.00
13.8290,63.75,0.00
13.8917,63.83,0.00
13.9523,71.15,0.00
14.0127,71.15,0.00
14.0734,68.19,0.00
14.1350,68.19,0.00
14.1966,64.83,0.00
14.2565,71.58,0.00
14.3181,71.58,0.00
14.3820,69.62,0.00
14.4403,69.62,0.00
14.5007,75.37,0.00
14.5543,63.69,0.00
14.6080,63.69,0.00
14.6639,61.76,0.00
14.7252,61.76,0.00
14.7880,66.45,0.00
14.8469,66.45,0.00
14.9079,72.38,0.00
14.9686,68.32,0.00
15.0311,68.32,0.00
15.0906,62.17,0.00
15.1451,62.17,0.00
15.2003,67.39,0.00
15.2543,67.39,0.00
15.3150,71.34,0.00
15.3724,67.01,0.00
15.4255,67.01,0.00
15.4786,65.28,0.00
15.5394,65.28,0.00
15.5995,63.61,0.00
15.6605,63.61,0.00
15.7214,79.55,0.00
15.7773,69.36,0.00
15.8303,69.36,0.00
15.8887,65.52,0.00
15.9484,65.52,0.00
16.0070,69.36,0.00
16.0672,69.36,0.00
16.1205,64.18,0.00
16.1737,64.18,0.00
16.2321,62.94,0.00
16.2958,67.56,0.00
16.3533,67.56,0.00
16.4131,68.68,0.00
16.4769,68.68,0.00
16.5353,70.50,0.00
16.5972,63.69,0.00
16.6566,63.69,0.00
16.7100,71.13,0.00
16.7651,71.13,0.00
16.8235,72.43,0.00
16.8821,72.43,0.00
16.9425,65.91,0.00
17.0032,71.04,0.00
17.0649,71.04,0.00
17.1245,62.27,0.00
17.1779,62.27,0.00
17.2332,64.54,0.00
17.2895,64.54,0.00
17.3494,66.70,0.00
17.4104,67.83,0.00
17.4715,67.83,0.00
17.5331,71.58,0.00
17.5930,71.58,0.00
17.6464,67.27,0.00
17.7002,67.27,0.00
17.7574,64.20,0.00
17.8172,63.67,0.00
17.8777,63.67,0.00
17.9308,73.30,0.00
17.9842,73.30,0.00
18.0423,73.25,0.00
18.0988,73.25,0.00
18.1520,61.66,0.00
18.2052,61.66,0.00
18.2646,69.46,0.00
18.3212,71.88,0.00
18.3766,71.88,0.00
18.4318,59.59,0.00
18.4891,59.59,0.00
18.5484,64.46,0.00
18.6102,64.46,0.00
18.6721,69.13,0.00
18.7317,72.31,0.00
18.7926,72.31,0.00
18.8529,62.17,0.00
18.9073,62.17,0.00
18.9609,62.80,0.00
19.0172,62.80,0.00
19.0766,73.95,0.00
19.1298,69.43,0.00
19.1840,69.43,0.00
19.2403,68.18,0.00
19.3020,68.18,0.00
19.3586,63.83,0.00
19.4122,63.83,0.00
19.4695,71.73,0.00
19.5255,71.73,0.00
19.5850,73.95,0.00
19.6477,61.52,0.00
19.7063,61.52,0.00
19.7605,65.01,0.00
19.8138,65.01,0.00
19.8720,64.38,0.00
19.9308,64.38,0.00
19.9901,74.84,0.00
20.0518,75.42,0.00
20.1127,75.42,0.00
20.1668,67.69,0.00
20.2208,67.69,0.00
20.2783,62.31,0.00
20.3378,62.31,0.00
20.3984,70.16,0.00
20.4607,70.31,0.00
20.5203,70.31,0.00
20.5812,57.26,0.00
20.6418,57.26,0.00
20.6951,71.34,0.00
20.7486,71.34,0.00
20.8056,74.59,0.00
20.8673,66.09,0.00
20.9276,66.09,0.00
20.9877,65.72,0.00
21.0417,65.72,0.00
21.0966,69.89,0.00
21.1530,69.89,0.00
21.2137,64.67,0.00
21.2740,63.08,0.00
21.3346,63.08,0.00
21.3957,69.51,0.00
21.4567,69.51,0.00
21.5173,71.20,0.00
21.5715,58.34,0.00
21.6248,58.34,0.00
21.6817,64.28,0.00
21.7415,64.28,0.00
21.8021,68.83,0.00
21.8562,68.83,0.00
21.9104,63.96,0.00
21.9667,63.96,0.00
22.0255,62.25,0.00
22.0869,70.16,0.00
22.1490,70.16,0.00
22.2097,72.37,0.00
22.2699,72.37,0.00
22.3306,73.55,0.00
22.3929,76.31,0.00
22.4542,76.31,0.00
22.5095,69.68,0.00
22.5627,69.68,0.00
22.6171,71.03,0.00
22.6789,71.03,0.00
22.7374,68.99,0.00
22.7912,65.90,0.00
22.8453,65.90,0.00
22.9019,67.80,0.00
22.9613,67.80,0.00
23.0218,69.47,0.00
23.0750,69.47,0.00
23.1282,66.74,0.00
23.1907,66.74,0.00
23.2462,58.34,0.00
23.3078,64.36,0.00
23.3683,64.36,0.00
23.4285,57.29,0.00
23.4831,57.29,0.00
23.5374,62.15,0.00
23.5928,62.15,0.00
23.6533,70.39,0.00
23.7138,65.70,0.00
23.7755,65.70,0.00
23.8356,65.32,0.00
23.8967,65.32,0.00
23.9509,69.47,0.00
24.0052,69.47,0.00
24.0593,72.62,0.00
24.1210,59.29,0.00
24.1825,59.29,0.00
24.2430,71.04,0.00
24.3036,71.04,0.00
24.3652,71.75,0.00
24.4259,69.26,0.00
24.4878,69.26,0.00
24.5514,64.44,0.00
24.6097,64.44,0.00
24.6703,62.94,0.00
24.7255,70.06,0.00
24.7797,70.06,0.00
24.8339,67.84,0.00
24.8940,67.84,0.00
24.9499,72.38,0.00
25.0032,72.38,0.00
25.0582,71.24,0.00
25.1183,71.24,0.00
25.1798,73.40,0.00
25.2404,59.52,0.00
25.3039,59.52,0.00
25.3667,63.83,0.00
25.4242,63.83,0.00
25.4848,70.12,0.00
25.5473,68.61,0.00
25.6080,68.61,0.00
25.6673,61.07,0.00
25.7207,61.07,0.00
25.7745,69.16,0.00
25.8311,69.16,0.00
25.8916,76.89,0.00
25.9532,67.78,0.00
26.0136,67.78,0.00
26.0742,61.07,0.00
26.1353,61.07,0.00
26.1959,66.55,0.00
26.2513,75.17,0.00
26.3047,75.17,0.00
26.3610,70.69,0.00
26.4195,70.69,0.00
26.4738,65.81,0.00
26.5270,65.81,0.00
26.5872,72.77,0.00
26.6439,72.77,0.00
26.7046,74.88,0.00
26.7577,69.77,0.00
26.8118,69.77,0.00
26.8680,60.04,0.00
26.9285,60.04,0.00
26.9917,71.38,0.00
27.0501,71.38,0.00
27.1117,68.78,0.00
27.1725,69.46,0.00
27.2279,69.46,0.00
27.2833,61.85,0.00
27.3375,61.85,0.00
27.3979,71.48,0.00
